AANEST,"customerservice@anestcollective.com, career@anestcollective.com, press@anestcollective.com, dim.tse@tselekidis.gr., mfs@anest.hu., nanowoodge@gmail.com, anest@anest.hu, piie.contact@economie.fgov.be.","+32478753698, +3232190704, +32 3 219 0704, +3232191204","http://aanest.be/, http://mobile.cargoyellowpages.com/belgium/antwerp.html"
A J Veurink,"offertes@ajveurink.be, r.slim@home.nl, slimrobert71@gmail.com",null,"https://rocketreach.co/allan-lensen-email_100601706, https://rocketreach.co/robert-slim-email_12598104"
ABL,"contact@ableurope.com., abld.info@abldissaco.com",+32 3 544 00 80,"https://abl-group.com/contact-us/, https://www.abl-biomanufacturing.com/contact/"
Air Time Critical,ops@airtimecritical.com,+32 2 486 6427,"https://www.linkedin.com/company/air-time-critical-, https://www.airtimecritical.com/en/about"
A.F.L. nv (Allround Forwarding & Logistics),e.meuldermans@aflo.be.,+32 3 221 9000,"http://www.worldfreightorganization.com/member/afl, http://mobile.cargoyellowpages.com/country/BE/city/antwerp/company/32617"
Antrex Shipping n v,"info@antrex.net, chartering@antrex.net, agency@antrex.net., sales@antrex-shipping.be., salaerts@hotmail.com",null,"http://www.shippingline.org/company/be-5078/Antrex_Shipping_v.html, https://www.antrex.net/"
Animal Logistics Worldwide,"pets@animallogistics.de, contact@janvier-labs.com.",07 40779 21,"https://www.animallogistics.net/en/home-2/, http://www.pet-services.eu/contact.php"
aqualief cargo trade shipping,mail@del-risco.com.,null,"https://be.linkedin.com/in/mohamed-riyahi-86612234, https://www.freightnet.com/profile/90747.htm"
Astros,"rob_info@oma.be., showroom@astroshop.be., service@astroshop.be, rob_info@oma.be","02 373 02 11, +32 2 373 02 11","https://www.astro.oma.be/en/contact-us/, https://www.astroshop.eu/about-us/locations/belgium/i,1671"
ATS LOGISTICS N.V,"info@atsworld.co, info@atslogistics.com.","+32 14 57 00 89, +32 475 62 33 85, 04 803 8000, 014281782","https://www.forwarderspages.com/belgium/6802.html, https://www.atsworld.co/global-presence-2/"
Aviaflex Logistics,"sales@aviaflex.com, sales@aviaflex.com., ops@aviaflex.com.",+32 4 325 12 42,"https://aviaflex.com/, http://mobile.cargoyellowpages.com/country/BE/city/liege-airport/company/28306"
Belfor Logistics NV,"info@be.belfor.com, info@belforlogistics.be, postmaster@hartrodt.be","+32 2 344 82 04, +32 3 870 50 40, +32 3 87701 74","https://www.belforlogistics.be/, https://rocketreach.co/belfor-logistics-nv-profile_b746d915c53afc94"
Braanker Worldwide B.V.,"sales@braanker.com., sales@braanker.com, Oceanfreight@braanker.C., lennart@braanker.com.",null,"https://www.braanker.com/contact-en, https://www.braanker.com/contact-containertrucking-en"
Cosmo Freight ®,"gb@cosmo-freight.com., info@cosmo-bru.com., info@cosmogroup.eu, support@cosmospeedex.com, info@cosmo-trade.be.",+32 9 233 30 00,"https://www.cosmo-freight.com/, http://mobile.cargoyellowpages.com/country/BE/city/zaventem/company/1203"
CEGEC Logistics,example@yourdomain.com.,null,"https://fr.linkedin.com/in/dominique-mathern-66900b98/en, https://www.eib.org/en/press/news/belgique-des-panneaux-photovoltaiques-sur-le-toit-des-ecoles-premier-bilan-de-l-ambitieux-programme-du-segec-avec-la-bei-elena-et-belfius-banque"
DIRCO EXPRESS CARGO,"info@dircoexpresscargo.com., consular@dirco.gov.za, info-kinshasa@kpm-group.com.",null,"https://www.freightpages.org/company/dirco-express-cargo/, https://www.dircoexpresscargo.com/"
ESTRON-WATSON LOGISTICS BVBA,null,null,
ETS Abouzeid,rafael@abouzeid.be.,null,"http://mobile.cargoyellowpages.com/country/BE/city/brussels/company/28923, http://www.forwarderfastfinder.com/world/belgium/3"
Fast Transit Line,"info@ftl.be, sales@ftl.be.","+32 3 541 9676, +32 3 541 3773","https://ftl.be/contact-us/, https://ftl.be/"
Excell Consulting & Export,"charliemetus@gmail.com, contact.lovinglife@gmail.com.",null,"https://www.all-forward.com/net/excellconsultingexport, https://www.lusha.com/business/5bc151e10bd68782/"
Finnakker Maritime,null,null,
FIRAT GLOBAL LOG.LTD.,"info@firatglobal.be., BEL-info@msc.com., kevinkoon@aochk.com., Emailinfo@fgl.com.tr.",+32 35432200,"https://www.firatglobal.com/en/, https://firstgloballogistics.com/"
G. Dilissen & Zonen Int. Transports,wbach@uni-bremen.de.,null,"https://www.dilissen-transport.be/en/contact-us, https://dilissen-logistics.de/en/"
FIRAT SHIPPING &TRADING SPRL,"info@firatglobal.be, info@firatglobal.be., bulent@firatglobal.com, bianca.schiavone@invictapns.com.",+32 3 2041997,"https://www.firatglobal.com/en/, https://www.asadirectory.com/businessdirectory/firat-shipping-trading-sprl/"
foodcareplus,"info@foodcareplus.com, salaerts@hotmail.com, s.alaerts@foodcareplus.com.","+32 3 242 91 50, +32 3 242 91 54, +32 3 242 91 53, +32 3 242 9150, +32 3 248 1167","https://foodcareplus.remant.be/contact/, https://foodcareplus.remant.be/services/"
Hamann International NV,"info@hamann.be, info@hamann.be.","+32 9 333 77 77, +32 93337777","https://www.hamann.be/en/contact-coop/, https://www.hamann.be/en/"
Global Delivery System,belgium@iqid.ng.,"02 715 50 50, +32 470 08 6946, +32 3 221 2065, +32 3 221 2090, +32 3 221 2083","https://gls-group.com/BE/en/contact-center/glsforyou/, https://gls-group.com/GROUP/en/contact-form/"
Global Logistics Norfram nv/sa,"postmaster@hartrodt.be, William_liu@smsglogistics.com",+32 2 751 78 82,"https://www.carga.com/new/belgica_en.html, https://www.courierstracking.com/global-logistics-norfram-nv-sa-contact-phone-number-address/"
GodeMar  BVBA,null,null,"https://us.kompass.com/c/godemar/be0289941/, https://shipping-data.com/business/belgium/antwerp/godemar-bvba"
Idrissa bv,idrissa.dieng@pasteur.sn,null,"https://rocketreach.co/idrissa-tikane-email_71692308, https://www.dnb.com/business-directory/company-profiles.idrissa.fa6bd1f84a41697e633bcf7a84a2f440.html"
Integrated Logistics N.V.,"group.sales@mareco.be., info@icl-ltd.com, michelle@mareco.com.br., cs@ilsdelivers.com., BEL-info@msc.com.","+32 3 260 09 00, +32 3 232 19 79, +32 35432200","https://www.marecologistics.com/contact-belgium/en, https://railmarket.com/eu/profile/icl-belgium-nv"
IMS Shipping,"accounting@ims-shipping.com, sales@ims-shipping.com, container@ims-shipping.com, info@ims-shipping.com, info@ims-shipping.com.","+32 3 425 30 06, +32 3 271 12 29, +32 3 272 42 80, +32 3 236 37 04, +3232363704","https://www.ims-shipping.com/en/contact/contacts-employees, https://www.ims-shipping.com/en/contact"
Intermas NV,null,null,"https://www.intermas.com/about-us/our-locations.html, https://www.intermas.com/contact-us.html"
IMSHIP Comm.V.,"belgium@imship.com., germany@imship.com., info@china-iprhelpdesk.eu, india@iprhelpdesk.eu, OFAC_Feedback@treasury.gov",null,"https://www.imship.com/, https://www.volza.com/company-profile/imship-comm-v-29846816"
LCA Liege Cargo Agency,rh@liegecargo.com.,null,"https://liegecargo.com/contact/#:~:text=We%20will%20be%20pleased%20to%20answer%20all%20your%20questions.&text=Request%20for%20information%20%3A,info%40liegecargo.com, https://liegecargo.com/"
Libertas LLP nv,"hello@libertasllp.eu., sales@soncotra.be, christoph@libertasllp.eu","+32 57 79 78 24, +32 489 641450, +32 57 33 76 66","https://www.libertasllp.eu/en/contact, https://www.libertasllp.eu/en/privacy-policy"
Mercury Express International,"enquiries@mercury.co.zm, dubai@mercuryexpresscargo.com.",null,"http://mobile.cargoyellowpages.com/country/BE/city/brussels/company/1281, https://www.mercury.co.zm/mes/register"
LOGEX EU SRL,"info@logexsrl.com., info@logexcourier.pk, info@logex.com",null,"https://www.logexsrl.com/contacts/?lang=en, https://www.logexsrl.com/profile/?lang=en"
Maenhout,"info@chocolatier-M.be, pascal.maenhout@insead.edu.",+32 51691870,"https://rocketreach.co/marc-maenhout-email_41733376, https://rocketreach.co/philippe-maenhout-email_110825059"
Middlegate Europe N.V.,"sales@middlegate.eu, upn@middlegate.eu.",null,"https://www.middlegate.eu/contacts/, https://www.middlegate.eu/contact/zeebrugge/"
pavan flanders,info@pavan.be.,null,"https://pavan.be/en/, https://data.be/en/branch/Pavan-Flanders-Int-Hooglede-2235335504"
Polytra International Logistics,contactus@polytra.be,"+32 2 344 82 04, +32 3 205 05 01","https://polytra.be/contact-us/, https://polytra.be/"
Remant Logistics NV,"sales.cool@remant.be, marc.deweerdt@remant.be.","+32 3 303 26 01, +32 3 303 26 02","https://cool.remant.be/contact/, https://remant.be/"
Remant Globe NV,info@remantglobe.be,"+32 3 205 66 00, +32 3 303 00 06","https://globe.remant.be/contact/, https://globe.remant.be/"
Romfracht SPRL,"teodor.cimpeanu@romfracht.com., logistics@romfracht.com., spaceshipnetworks@yandex.com",null,"http://mobile.cargoyellowpages.com/country/BE/city/brussels/company/39335, https://romfracht.com/contact-us/"
S.A.T. Sea-Air Transport N.V.,null,+32 3 8669300,"http://mobile.cargoyellowpages.com/country/BE/city/brussels/company/1302, http://www.cargoyellowpages.com/en/belgium/brussels/freight-forwarders-sat-sea-air-transport-nv-1302.html"
Sauter Transport N.V.,null,null,"https://www.volza.com/company-profile/sauter-transport-nv-as-agents-for-7836592, https://www.sauter-controls.be/en/companies/contact/"
Sealiner N.V.,"rjapajoe@sealiner.nl, Info@sealiner.eu","+32 3 205 3011, +32 471 957774, +32 3 205 3019","https://www.sealiner.eu/contact/, https://rocketreach.co/sealiner-profile_b42d5905fe64dc07"
Sawari International Corporation,ServicePlus.CA@handicare.com.,+32 3 202 74 49,"https://www.cargoyellowpages.com/en/belgium/zaventem/freight-forwarders-sawari-international-corporation-nv-1304.html, http://www.shippingline.org/company/be-12084/Sawari_International_Corporation.html"
Smart personal shipping services,null,null,"https://www.msc.com/en/local-information/europe/belgium, https://smartshipkwt.com/contactUs.html"
Socar Shipping Company,"tranport@socar.be, trucks@socar.be",+32 2 520 40 77,"https://socar.be/contact/, https://socar.be/"
Soncotra Nv,sales@soncotra.be,"+32 57 33 76 66, +32 57337666","https://soncotra.be/en/contact, https://soncotra.be/nl/contact"
Storex Africa Transit bvba,"info@storex.cd., info@adbsafegate.com., hongkong@adbsafegate.com.",+32 2 400 71 73,"http://www.shippingline.org/company/be-12952/Storex_Africa_Transit_bvba.html, https://www.freightnet.com/profile/13391.htm"
"STOCCARGO SRL-STOCKCARGO International Shipping,Port Services & Transportation",null,+32 491507413,"https://www.freightnet.com/profile/59298.htm, http://stoccargotransports.bloombiz.com/"
Tailormade Logistics,"info@tml.group, sales@tml.group, jobs@tml.group, tml.ghlin@tailormade-logistics.com, tml.genk@tailormade-logistics.com, sweden@tailormade-logistics.com, sales@tailormade-logistics.com., jm@nordic-logistics.be.","+3292555858, +3292557711, +3292557780, +3292557785, +32 8984 4112","https://www.tailormade-logistics.com/en/contact, https://www.tailormade-logistics.com/nl/contact"
TMT Services,TechMediaTelecom@gmail.com.,+32 489641450,"https://www.tmtfinance.com/tmt-connect/contact-us, https://tmtbanking.com/pages/contact"
ULP Belgium bv,"info@ulp.be, piie.contact@economie.fgov.be.",null,"https://www.ulp.be/en/contact/contact, https://be.linkedin.com/in/dirk-scheir-28941731"
Tulpin Airmarketing,"operations@flightwatch.be., contacts@gefco.fr., belgium@universalfreightorg.com, reemco@skynet.be.",null,"https://tulpingroup.eu/, https://www.ostendbruges-airport.com/cargo-brokers//1000"
Transport Verlinden Peter bvba,null,+32 2 705 59 19,"https://be.linkedin.com/in/peter-verlinden-4a755879, https://www.transportation-directory.com/professional/transport-verlinden-peter-bvba-7878"
Umoja Worldwide Logistics Ltd ( Europe),"info@umojalogistics.co.rw, egide.karuranga@umojalogistics.co.rw., info@umojalogistics.co.rw., jenny@umojalogistics.co.rw., tkayiranga@umojalogistics.co.rw.",022740777,"https://umojalogistics.co.rw/, https://umojalogistics.co.rw/index.php/about-us/"
United shipping services BVBA,"services@go2uss.com., services@go2uss.com, jane@go2uss.com",+32 3 568 08 09,"http://www.go2uss.com/, https://www.crunchbase.com/organization/united-shipping-services-96df"
World Freight Agencies NV,"worldfreight@skynet.be, Yavuz.baskan@antwerpglobalshipping.com., air.be@hartrodt.com, antwerp@fednav.com.",+32 3 231 99 02,"http://handyshippingguide.com/overseas-agencies/freight-agencies-worldwide/belgium/antwerp, https://worldfreightagencies.wordpress.com/"
Wim Bosman Expeditiebedrijf,francky-vanden.boogaert@exel.com,+3233501316,"http://mobile.cargoyellowpages.com/country/BE/city/antwerp/company/1229, https://www.cargoyellowpages.com/en/belgium/antwerp/freight-forwarders-expeditiebedrijf-wim-bosman-antwerpen-nv-1229.html"
United Shipping Services Bvba,"services@go2uss.com., services@go2uss.com, jane@go2uss.com",+32 3 568 08 09,"http://www.go2uss.com/, https://www.crunchbase.com/organization/united-shipping-services-96df"
Z-tra,mail.fi@sobi.com,"+32 16 40 80 34, +32 9 248 55 55","https://zetazsystems.com/contact/, https://www.gom.com/en/company/contact"
Zeus.aero,"sales@zeus.aero, sales@zeus.aero., Hakan@zeus.aero, annica@zeus.aero., jane@zeus.aero","+32 5 946 02 03, +32 3 239 60 00, +32 471 88 13 49, +32 59460203","https://www.zeus.aero/disclaimer/#:~:text=For%20more%20information%20about%20our,B%2D8400%20Ostend%2C%20Belgium., http://www.charterbroker.aero/direct_detail.html?id=157556"
