Country,City,Company Name,Address,Phone,Website,Email
pakistan,karachi,YSL PAKISTAN,"Room 1, 7th Floor Arkay Square, Shahrah-e-Liaqat  New Challi, Karachi, Pakistan",+92 213 4256968,www.yslpakistan.com.pk,yasir@yslpakistan.com.pk
pakistan,karachi,GLOBAL FREIGHT PAKISTAN,"B-206, Anum, Classic, D.A.C.H.S, Main Sharaha-e-Faisal, Karachi, Pakistan.",+92 21 34321851,www.globalfreightintl.com,info@globalfreightintl.com
pakistan,karachi,UH EXPRESS INTERNATIONAL,"E 247, Block No 6, P.E.C.H.S, Karachi, Pakistan",-,www.uhexpress.com,sales@uhexpress.com
pakistan,karachi,SRS SHIPPING & LOGISTICS,"407, 4th Floor Marine Faisal Building, Shahra-e-Faisal Karachi, Pakistan",+922134550770,www.srsshippings.com,info@srsshippings.com
pakistan,karachi,AIR SEA WORLDWIDE LOGISTICS PAKISTAN,"17/C, Commercial Area, Block A. SMCHS, Karachi-74400, Pakistan",+92 (0)21 3455 0444,www.airseaworldwide.net,info@airseaworldwide.net
pakistan,karachi,ROYAL SHIPPING AGENCY,Office No: 3 & 4 First Floor Nagani Chamber opp APL West Wharf Road Karachi Pakistan,+922132310169,www.ijlogistics.com,royalsapak@cyber.net.pk
pakistan,karachi,3WAY LOGISTICS,"suite# 210, Amber Pride, 13/a,block-, Pechs main harah-e-faisl, Karachi, Pakstan",+9234233503,www.3waylogistics.com,kazim.balti@3waylogistics.com
pakistan,karachi,CLEAR FREIGHT INTERNATIONAL,"Office 114, Clifton Centre, Khayaban-e-Roomi, Clifton, Karachi 75400, Pakistan",+92-213-5877433,www.clearfreight.org,yasir@clearfreight.org
pakistan,karachi,AVENTIS INTERNATIONAL SHIPPING & LOGISTICS (PVT.) ...,"Office No.2c, 2nd floor, Muhammad Bukhsh & Sons Building, 23 West Wharf Road, Karachi 74000 Pak...",+92-21-32203391,www.aventisintl.com,aamir@aventisintl.com
pakistan,karachi,3 WAY LOGISTICS,"210, Amber Pride 13/A, P.E.C.H.S. Block-6, Main Shahrah-e-Faisal Road, Karachi - Pakistan.",+92-21-3423 3502,www.3waylogistics.com,operations@3waylogistics.com
pakistan,karachi,BAKHTYR GLOBAL LOGISTICS,"Suite# 413, 4th Floor, Anum Blessing, K.C.H.S. Block # 7 Shahrah-e-Faisal, Karachi, Pakisan",+9221-35405271,www.bakhtyr.com/,marketing@bakhtyr.com
pakistan,karachi,UNIVERSAL CLEARING & FORWARDING AGENCIES,"Office No. 911 9th Floor, Uni Plaza I.I Chandigarh Road, Karachi, Pakistan",+92-21-32426972,www.ugc96.com,info@ugc96.com.pk
pakistan,karachi,"SEAGOLD (PRIVATE) LIMITED, HQ-KARACHI","Suite 418-421, 4th Floor, The Plaza, G-7, Clifton Block 9, KDA Scheme #5, Karachi, Pakistan.",+92 (0)21 3285 5511,www.seagoldlimited.com,seagold@seagoldlimited.com
pakistan,karachi,CAPITAL SHIPPING AGENCY,"Suite No. 413, 4/F Chapal Plaza, Hasrat Mohani Road, Off. 1.1. Chundrigar Road, Karachi 74000, ...",+92 (0)21 3246 5851,www.csa.com.pk,sami@csa.com.pk
pakistan,karachi,XPRESS AVIATION (HK) PAKISTAN,"Xpress House,1/2-p, Block-6, P.E.C.H.S., Karachi, Pakistan",+92 21 34532470,www.xpress-aviation.com.pk,kashif.nawaz@xpress-aviation.com.pk
pakistan,karachi,HABA SPED LOGISTICS PVT LTD,"Room # 1310 , 13th Floor Chapal Plaza, Hasrat Mohani Road, Karachi, Pakistan",+92 213-2464134,www.habaspedpakistan.com,info@habaspedpakistan.com
pakistan,karachi,SATLINKS GROUP OF COMPANIES,"DHA  Karachi 75500, Pakistan",+92 (0)21 3538 1743,www.satlinksgroup.com,sahar@satlinksgroup.com
pakistan,karachi,THE VISION SHIPPING & LOGISTIC,"Suite #8/10-B 8th Floor Arkay Square, Shahra-e-Liaquat, New Challi, Karachi 74000, Pakistan",+92 (0)21 3701 3741,www.thevisionshipping.com,saqib.mehmood@thevisionshipping.com
