A.A.T.E.,"dpo@ofii.fr., mont@unc.edu",null,"https://ng.ambafrance.org/Contact-us-by-email, https://www.ofii.fr/en/mentions-legales/"
Action Freight Services,"afs@actionfreightservices.fr, contact@kflnetwork.com., AUS@ActionFreight.com",null,"https://www.tradeford.com/directory/cargo_action-freight-services-sa_d3833.html, https://www.cargoyellowpages.com/en/france/paris/freight-forwarders-action-freight-services-sa-6441.html"
A&G Cargo,"neukundenservice@deutschebahn.com., info.overseas@cargobull.com., cps.france@cargobull.com., import-logistics@merckgroup.com., TilahunTd@ethiopianairlines.com",0689564118,"https://www.dbcargo.com/rail-de-en/company/contact, https://www.dbcargo.com/rail-de-en/company/contact/regional-contacts"
ABC Ricard FL,"ricard@supermedia.pl., info@boukmanrhum.com, deborahmarengo@velier.it","01 40 11 93 95, 01 40 12 58 80","https://www.abcricardfl.com/company, http://www.shippingline.org/company/fr-4271/ABC_Ricard_FL.html"
AF INTERNATIONAL (Agence Fret International),"info@af-net.com., stephane.kuentz@channelfret-international.com.",01 41 56 78 00,"https://af-net.com/contact/, https://www.courierstracking.com/af-international-agence-fret-international-contact-phone-number-address/"
AGILITY,"TTrung@agilitylogistics.com., cmay@agility.com., contact@graal.systems.","0413518508, +33 1 39 49 58 39","http://www.siggraph.org/asia2011/sites/default/files/u4/Agility%20FE%20Contact%20Office%20List_27%20Jan%202011.pdf, https://www.agility.com/en/contact-sales/"
ALPHA DIOULMAKER COMMODITIES,"contact@dioulmaker-commodities.com, maghreb@gondrand.fr, conseilheveapalmier@gmail.com.",+33 787206439,"https://dioulmaker-commodities.com/en/contact/, https://dioulmaker-commodities.com/en/our-group/"
AGENCE MARITIME Global Freigh Services G.F.S,"douala@globalfreightageservices.com, info@gfs.com.mt",null,"http://www.gfs.com.tn/, https://www.gfsimport-export.com/"
AIR MASTER CARGO FRANCE,"law@airmaster.dk., hello@securitycargonetwork.com.",+33 1 70 76 02 32,"https://airmasters-cargo.com/en/get-in-touch/, https://www.globalaffinityalliance.com/directory/members/108648"
AIRWAN International,"contact@centrimex.com., ddsouza@aircargoint.com, jaykim@aifcompany.com",+33 2 35 03 06 23,"http://www.cargoyellowpages.com/en/france/rouen/freight-forwarders-airwan-international-6456.html, https://www.tradeford.com/directory/cargo_airwan-international_d4380.html"
ATM GLOBAL LOGISTICS FRANCE,"switzerland@atmgl.com, france@atmgloballogistics.com.",null,"https://atmgl.com/en/contact/, http://mobile.cargoyellowpages.com/company/6464/sendmail/83107"
Atm Transports Sarl,"support@ovh.com, france@atmgloballogistics.com.",null,"https://www.atm-solutions.fr/en/mentions-legales/, https://www.tradeford.com/directory/cargo_atm-global-logistics-france-sarl_d5074.html"
BATAILLE LOGISTICS,"commercial@bataille-logistics.com., erwin@nordic-logistics.eu., jm@nordic-logistics.be","+33 6 9545 2489, +33 6 95 45 24 89","https://bataille-logistics.com/en/, http://mobile.cargoyellowpages.com/company/39857/sendmail/88266"
Cargo Partner Sas,"usord@cargo-partner.com, lys@cargo-partner.com., riga@cargopartner.eu.",null,"https://www.cargo-partner.com/contact, http://mobile.cargoyellowpages.com/country/FR/city/paris/company/6479"
CACS,"contact@cac-passerelle.com, cac.delme@wanadoo.fr, lumiere.de.sigiria@orange.fr., helpdesk@cac.gov.ng",+33 387014342,"https://www.lusha.com/business/a98591f6b5c80c32/, https://artmap.com/cacpassarelle"
Cargo-Partner Lys,"usord@cargo-partner.com., lys@cargo-partner.com., riga@cargopartner.eu., vieprivee@airnautic.aero",null,"https://www.cargo-partner.com/contact, https://www.cargo-partner.com/"
Cosmo Freight,support@cosmospeedex.com,"01 83 01 03 60, 01 83 01 03 61","https://www.cosmo-freight.com/, https://www.globalaffinityalliance.com/directory/members/135471"
Cargoways,"trucking@cargowayslogistics.net, imports@cargowayslogistics.net., info@cargoways.mu, bizdev@cargoways.mu., aelybux@cargoways.mu., frwong@ecsmu.com., julia.vitko@gmail.com, info@cargoway.ee.",+33 1 41 84 04 92,"https://go2gln.com/member/68-cargoways.html, https://www.dnb.com/business-directory/company-profiles.cargoways.589c116de2fa43066760c99962406f36.html"
Davies Turner France SAS,dartfordsales@daviesturner.co.uk,null,"https://www.daviesturner.com/contact-us, https://www.daviesturner.com/"
CONCEPT ET DEVELOPPEMENT,"conceptdeveloppementpg@orange.fr, contact@exid-cd.bzh., commercial@electronique-concept.com., etude@electronique-concept.com., contact@ermaconcept.com.","06 13 63 18 97, +33 9 83 06 39 26, 01 56 65 89 98, 02 43 30 45 90","https://conceptdeveloppement.pro/mentions-legales/#:~:text=Si%20vous%20constatez%20une%20lacune,de%20navigateur%20utilis%C3%A9%2C%20%E2%80%A6)., https://conceptdeveloppement.pro/contact/"
Derudder,"christophe.derudder@derudder.fr., contact@derudder.fr, contact@agencederudder.fr, contact@derudder-traduction.fr.","+33 6 51 67 47 43, +33235537474, 03 28 66 67 12","https://derudder.fr/en/contact/, https://derudder.fr/en/about/offices/"
Debeaux Transit,"contact@groupe-deslog.com., info@debeaux.com.","+33 4 72227135, +33 1 48 62 71 43","https://www.iata.org/en/publications/directories/cargolink/directory/debeaux-transit-sas/8998/, https://debeaux.com/?page_id=382"
e-novFreight forwarding,"pressoffice@novasystems.eu., contact@nova-trading.fr., export.south@ntsa.pl, info@novarotors.com., info@nova-shipping.com",null,"https://novafreightltd.com/network/, https://nova-trading.com/en/contact-2/enquiries#:~:text=If%20necessary%2C%20please%20contact%20us,calling%20%2B48%20609%20690%20125."
Easy Freight SAS,null,"+331 7437 1060, +331 7437 1066, +331 7437 1062, +331 7437 1061, +331 7437 2288","https://www.easy-freight.fr/?lang=en, https://www.easy-freight.fr/"
EASY MOVE,"info@aneasymove.com., info@easymove-intl.com, easymove@easymove.fr, atelier@easymove.fr","0494841204, +33 1 77 62 34 38, 04 86 01 11 70","https://www.aneasymove.com/contact-us/, https://www.aneasymove.com/"
ESALCO LOGISTICS,"info@esalco.com.tr, last@esalco.com","01 60 27 10 48, +33 3 88 64 67 67","https://www.esalco.com/en/contact/, https://www.esalco.com/en/"
Exaciel Amc Logistique,null,"+33 1 34 38 58 50, +33 1 34385858, 01 34 38 58 58","http://mobile.cargoyellowpages.com/country/FR/city/paris/company/6566, http://www.cargoyellowpages.com/en/france/paris/freight-forwarders-exaciel-amc-logistique-6566.html"
Fleetever,null,0430967140,"https://fleetever.com/en/contact-us/, https://fleetever.com/contact/"
EXECUTIVE AIR AND SEA GROUPE,null,+33178787404,"https://www.defigroupe.fr/en/, https://5sln.com/387-executive-air-and-sea.html"
FIRST STLC,a.yeh@first-stlc.fr,"+33 1 48 62 26 55, +33 1 48 62 69 27","https://www.forwarderspages.com/france/9166.html, https://www.wcaworld.com/directory/members/94970"
FRACHT FRANCE,null,+33 1 74294972,"https://www.frachtgroup.com/locations, https://www.frachtgroup.com/contact-us"
France Cargo International FCI,"fci@fci-cie.com., administration@fci-cie.com, fabouzrou@fci-cie.com.","+33 1 40 85 07 76, +33 1 40 85 08 06","https://www.olofamily.com/Shop/ContactUs_34.html, https://www.projectcargonetwork.com/brochure/fci/quote"
FRETZEN,secretariat@apref.org.,null,"https://www.linkedin.com/in/heatherfrentzen, https://embassies.net/france-in-nigeria/abuja#:~:text=How%20do%20I%20contact%20the,holidays%20in%20France%20and%20Nigeria."
FREIGHT INTERNATIONAL TRANSPORTATION (FIT),fitpar@free.fr,"+33 1 34 29 09 85, +33 1 34 29 09 87, +33 1 34290985","https://www.fitpar.fr/, https://www.cargoconnections.net/brochure/fit"
GANERTRANS,null,"+33 181516800, 01 81 51 68 09, +33 1 53 68 40 40","https://ganertrans.fr/index.php?lang=GBR#:~:text=We%20privately%2Downed%20businesses%20and,by%20Air%20or%20by%20Sea., https://www.forwarderspages.com/france/9173.html"
GEFCO,jane.doe@gefco.net,+33 1 49 05 21 21,"https://www.automotivelogistics.media/al-companies/gefco/contact-us/7.contact, https://www.lusha.com/business/787b71fc85871ef4/"
Garantie Transports,"Contact@garantietransports.com, Contact@garantietransports.com., yvanloic@garantietransports.com, garantie-fort-de-france@douane.finances.gouv.fr., Ti_Customerservice@tarkett.com., jansportwarranty_uk@vfc.com.",null,"https://www.garantietransports.com/contact.html, https://www.bancomail.com/en/email-database-transports-france.html"
GARANTIE TRANSPORTS SASU,"Contact@garantietransports.com, Contact@garantietransports.com., yvanloic@garantietransports.com, GDPR@saft.com",null,"https://www.garantietransports.com/contact.html, https://entreprises.lefigaro.fr/garantie-transports-75/entreprise-917390056"
Global Delivery Concept,"contact@globaldeliveryconcept.com., store@optics-concept.fr.","+33668926802, +33 2 54 07 76 89, +33 1 30 64 05 62, +33 1 30 64 06 38","https://www.globaldeliveryconcept.com/, https://www.teralogistics.com/forwarder/global-delivery-concept/"
Geodis Projects Oil & Gas,null,null,"https://geodis.com/contact-us, https://rocketreach.co/geodis-email-format_b5c60783f42e0c54#:~:text=The%20most%20common%20GEODIS%20email,of%20GEODIS%20work%20email%20addresses."
GONDRAND,accueil.dg@gondrand.fr,"03 21 19 03 31, +33 1 45 91 77 23, +33 2 35 25 59 00","https://www.gondrand.fr/en/contact/, https://www.gondrand.fr/en/"
HLOGISTICS,"info@hlogcam.com., contact.france@kerrylogistics.com., sales@hzlogistics.nl, contact@fr.yusen-","+334 67 73 11 64, +33 1 40802250","https://www.lusha.com/business/6d01e2aa2484e05c/, https://rocketreach.co/franck-hertz-email_112991265"
LPG Transit & Trade,"contact@lpgsystems.com., info@lpghungary.hu","+33 4 92 38 39 00, 0847913498","https://www.lpgmedical.com/en/contact-us/, https://infonet.fr/entreprises/84791349800014-lpg-transit-trade/"
LTFC LOGISTICS,adeline.durand@bollore.com.,null,"https://hptoancau.com/en/shipping-vietnam-turkiye/, https://www.nagarro.com/en/blog/measuring-devops-performance-dora-metrics"
Mathez Freight Forwarding,web@mathezfreight.com,"+33 4 42 46 79 20, +33 4 42 14 30 32, +33 4 42 34 75 61, +33 6 23 12 71 16, 04 97 25 78 25","https://www.mathez-onsite-logistics.com/en/contact/addresses/#:~:text=Contacts%3A,4%2093%2029%2080%2016, https://www.mathezfreight.com/en/contact/"
NAXCO GROUP,"you@provider.tld., naxco@naxco.com","+33 1 88 13 11 70, +33 149642000","https://www.naxco.com/contact.html, https://www.lusha.com/business/4cf8054d67bf884d/"
