"Country","City","Company Name","Address","Phone","Website","Email","Error"
"algeria","annaba","ALSHIPLINK","07, Rue Mezigueche Med Laid, Annaba, Algiers, Algeria","+213 38 16 48","www.alshiplink-dz.com","ops@alshiplink-dz.com","The ""Phone"" field is empty or partially filled in."
"algeria","bejaia","GENERAL SHIP SUPPLY & LOGISTICS","Promotion Immobiliere EPBTP Bloc C N 115, Bejaia, 06000 Algeria","0661801110","www.gssalgeria.com","a.harfi@gssalgeria.com","The ""Phone"" field is empty or partially filled in."
"algeria","oran","FMI-ALGERIE",", Algeria","+213 (7)21 446400","www.fmigroupe.com","nhennous@fmialgerie.dz","""Personal address"" is already in use or denied"
"algeria","algiers","FMI-ALGERIE","Coop ANNASR, No 60 Les Vergers, Kouba, Algiers, Algeria","+213 (7)21 446400","www.fmigroupe.com","d.subra@fmigroupe.fr","The ""d.subra@fmigroupe.fr"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"algeria","algiers","MARMEDSA BEMARINE, S.A.R.L.","115 Lotissement La Cadat, Les Sources B.M.R., 2020, Algiers/Alger, Algeria","+213 (0)2156 2170","www.marmedsabemarine.com","jlorente@marmedsabemarine.com","The ""jlorente@marmedsabemarine.com"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"algeria","annaba","ALSHIPLINK","07, Rue Mezigueche Med Laid, Annaba, Algiers, Algeria","+213 38 16 48","www.alshiplink-dz.com","ops@alshiplink-dz.com","The ""Phone"" field is empty or partially filled in."
"algeria","bejaia","GENERAL SHIP SUPPLY & LOGISTICS","Promotion Immobiliere EPBTP Bloc C N 115, Bejaia, 06000 Algeria","0661801110","www.gssalgeria.com","a.harfi@gssalgeria.com","The ""Phone"" field is empty or partially filled in."
"algeria","hassi messaoud","PANALPINA ALGERIE",", Algeria","+213 (7)21 23 00 11","www.panalpina.com","info.northafrica@panalpina.com","The ""info.northafrica@panalpina.com"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"algeria","oran","FMI-ALGERIE",", Algeria","+213 (7)21 446400","www.fmigroupe.com","nhennous@fmialgerie.dz","""Personal address"" is already in use or denied"
"algeria","setif","EXPRESS LINE SHIPPING LLC - EL EULMA OFFICE","Maine Business Centre, 2nd Floor, Office No.27-1st, November Street, El Eulma, 19600 Setif, Algeria","+213 (7)3 686 6687","www.expresslineuae.com","info@expresslineuae.com","The ""info@expresslineuae.com"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"algeria","zeralda","TPF FORWARDING NETWORK (ALGERIA)","Zeralda, Alger","+216 71 444 258","www.tpfnetwork.org","info.tpf.algeria@eurotrans-int.com","The ""info.tpf.algeria@eurotrans-int.com"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"andorra","andorra","NAGRUP ? ANDORRA","Carretera de la Comella, 29 - Andorra, Andorra","+376 801400","www.nagrup.com","sac@nagrup.com","The ""sac@nagrup.com"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"angola","lagos","DANSTARS INTERNATIONAL AGENCIES LTD","16, Burma Road, Opposite Honda Place, Apapa, Lagos, Angola","+234 80 3373 0089","www.danstars.com","info@danstars.com","The ""info@danstars.com"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"angola","luanda","FMLIDER CONSULTORIA / PRESTACAO DE SERVICOS, LDA.","Travessa de Mocambique, N. 10, 2do Andar, Apart. B, Luanda, Angola","+244 222724703","www.fmlider.co.ao","nuno.mota@fmlider.co.ao","The ""nuno.mota@fmlider.co.ao"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"angola","luanda","AEROLO AFRICA LTD ANGOLA","Rua Marien Nguabi, 149, R/C Maianga, Luanda, Angola","+235 725219638","www.aerologafrica.com","angola@aerologafrica.com","The ""Phone"" field is empty or partially filled in."
"angola","luanda","TEU TRANSIT?RIO LDA",", Angola","","www.teutransitario.pt","commercial@teutransitario.pt","The ""Phone"" field is required; please fill in it."
"angola","luanda","BELETRANS ANGOLA - LOGISTICA LDA",", Angola","+244 (0)91 996 1926","www.beletrans.pt","beletrans.angola@gmail.com","The ""Phone"" field is empty or partially filled in."
