"name","address","phone","website","profileUrl","isPremiumMember"
"ASL Logistics","Suite # 713, 7th Floor, Tower C, AFZA, United Arab Emirates, House # 32, Road # 13, Street # 15, Wazir Akbar Khan, Kabul, Afghanistan, Kabul, Kabul, 24041","+971562600021","http://www.asl-int.com/","https://www.freightnet.com/profile/49854.htm","Yes"
"FGI Solutions","FGi Complex, Industrial Area, PD9 , Kabul, Kabul, Afghanistan, 10007","","","https://www.freightnet.com/profile/255689.htm","No"
"GRS Logistics (Green Road Ship)","District 4th, Taimani , Kabul, Kabul, 008","","","https://www.freightnet.com/profile/162147.htm","No"
"White Geese Logistics","House # 10, Street 1 , 3rd District, Dehbory, Kabul, 1006","","","https://www.freightnet.com/profile/260958.htm","No"
"Bilal & Ehsan IBS","Hairatan, Afghanistan , Hairatan, Afghanistan, 1741","","","https://www.freightnet.com/profile/256591.htm","No"
"Aeroparcel","Kabul Nendari, District 8, Kabul, Afghanistan , Kabul, Kabul, 1005","","","https://www.freightnet.com/profile/189979.htm","No"
"Ocean world logistics","Kabu , Kabul, Kabul, Kabul, 112","","","https://www.freightnet.com/profile/245775.htm","No"
"WWEA","Shahr-e-now  , Kabul, Afghanistan, 1001","","","https://www.freightnet.com/profile/177563.htm","No"
"Flying Carpet Express","Jebel Ali Free Zone , Warehouse No. FZLIU10AB08, Dubai UAE , Dubai, Dubai, 60881","","","https://www.freightnet.com/profile/204446.htm","No"
"AeroParcel","Kabul Nendari Street, Distract 8, Kabul – Afghanistan. , Kabul City, Kabul Afghanistan, 1007","","","https://www.freightnet.com/profile/201758.htm","No"
"Sky Ariana Int'l Transit & Forwarding Ltd","Shahidano Chowk MaShahAllah Market , Kandahar, Afghanistan, 0093","","","https://www.freightnet.com/profile/177812.htm","No"
"ABS SHIPPING / NOOR PAK LTD","OFFICE # 92 3RD FLOOR ATAL MARKET KANDAHAR  , office # 5 jadah maiwand Kabul, KND/KBL, Afghanistan, 1008/3801","","","https://www.freightnet.com/profile/171409.htm","No"
"Afghan Shipping & Logistics","House No 4, Policharkhi Industrial Zone , Kabul, Kabul, 1003","","","https://www.freightnet.com/profile/170197.htm","No"
"Galaxy International Transit & Forwarding","H. 102, Sherpur Main Road, Kabul, Afghanistan , Kabul, Afghanistan, 1001","","","https://www.freightnet.com/profile/160239.htm","No"
"FGi Logistics Inc.","255, Lane 6, 15th St, Wazir Akbar Khan , , Kabul, 340","","","https://www.freightnet.com/profile/155495.htm","No"
"KIFFCO -  Kings-Line Intl Freight Forwarding Co","Kabul International Airport Road, Khoja Rawash  , Kabul, Afghanistan, 5419 - Central Post Office Kabul","","","https://www.freightnet.com/profile/95721.htm","No"
"JAIS INTERNATIONAL PVT LTD","HOUSE 6 O PECHS KARACHI  , KARACHI, PAKISTAN, 75400","","","https://www.freightnet.com/profile/151528.htm","No"
"Lia Logistics","House # 52, Street 5,, Taimany Watt, Kabul, 92400","","","https://www.freightnet.com/profile/146303.htm","No"
"Afghan Young Generation Transportation Company ( AYG CARGO )","Kart-e-Char , Kabul Afghanistan  , Kabul, Afghanistan, 1001","","","https://www.freightnet.com/profile/140070.htm","No"
"RAD Group","House # 71 street # 01 Qala- E- Fatullah Kabul – Afghanistan ,  House # 71 street # 01 Qala- E- Fatullah Kabul – Afghanistan, kabul, Afghanistan, 26000","","","https://www.freightnet.com/profile/135910.htm","No"
"FHI","Shir Poor Street one , Kabul, Afghanistan, 260000","","","https://www.freightnet.com/profile/135909.htm","No"
"ACTCO- Afghan Container Transport Co.","No.43, ST. No.2 , West of Charahi Haji Yakub , Kabul,","","","https://www.freightnet.com/profile/8681.htm","No"
"TrustPort SCS","Kolala Pushta , Radio Kleed Street, Kabul, 100000","","","https://www.freightnet.com/profile/52075.htm","No"
"FG International","Suit I-03, Commercial Tower, 14th Street, Wazir Akbar Khan,  Kabul, Afghanistan. , CA, USA, Kabul, Afghanistan, 101","","","https://www.freightnet.com/profile/109753.htm","No"
"tt","rheyrheeye.    yeeyey , tt, tt, 636363","","","https://www.freightnet.com/profile/95616.htm","No"
"Noor Pak Logistics Int'l","Kabul , Kabul, Afghanistan, 1","","","https://www.freightnet.com/profile/87880.htm","No"
"Mountain Rock Transportation","Kolola Pushta Shar-e-Now, Kabul Afghanistan , Kolola Pushta Shar-e-Now, Kabul Afghanistan, Kabul, Afghanitan, 25000","","","https://www.freightnet.com/profile/61186.htm","No"
"ERSAY TRANSPORT","STREET , KABUL, KABUL, 10245","","","https://www.freightnet.com/profile/54856.htm","No"
"Haji Wardak International Company","Haji Wardak House , Behind Indian Embassy, Kabul,","","","https://www.freightnet.com/profile/7224.htm","No"
"FIZA Logistics (PVT) Ltd","FL 18, Main Road , , Kabul,","","","https://www.freightnet.com/profile/8240.htm","No"
"First Global Logistics Services Co.ltd","Kabul Business Center Shahr naw kabul Afghanistan , Heratan City Sediq karimi commercial building, Kabul, Afghanistan, 24000","","","https://www.freightnet.com/profile/57294.htm","No"
"Global Logistix Syndicate Pakistan Afghanistan","Street 15 Wazir Akber Khan Rd , Kabul, Afghanistan, 776677","","","https://www.freightnet.com/profile/88128.htm","No"
"ALT ""Al-Munarat Logistics and Transportation","House No. G-163, 9th Street, Taimani , Kabul, Kabul, 1860","","","https://www.freightnet.com/profile/96658.htm","No"
