"name","address","phone","website","profileUrl","isPremiumMember"
"Vectonavis","Mihal Duri , Tirana, Albania, 1000","","","https://www.freightnet.com/profile/216138.htm","No"
"MCM Cargo","XK, Xhorxh Bush, Prishtina 10000 , MCM Cargo Zyra Qendrore, rr. Eqrem Çabej, Prishtin, Prishtina, Kosovo, 10000","","","https://www.freightnet.com/profile/246181.htm","No"
"CELATRANS","LAGJA 04, RRUGA EGNATIA , LAGJA 15, RRUGA MIQESIA, DURRES, Albania, 2001","","","https://www.freightnet.com/profile/208328.htm","No"
"Railtrans Albania shpk","Porti Detar Durres  , Durres, Albania, 2001","","","https://www.freightnet.com/profile/167167.htm","No"
"ALBMARINE SHIPPING CO","Lagjia No. 3 RRuga Egnatia , Durres, Albania, 2000","","","https://www.freightnet.com/profile/155719.htm","No"
"SADOTRANS LOGISTICS SH.P.K.","Rruga e Durresit, Sheshi Karl Topia, Pallati prane Ring Center , Shkalla 1, K7, Ap.45, TIRANA, ALBANIA, 1007","","","https://www.freightnet.com/profile/135417.htm","No"
"Transalbania Ltd","Rruga Deshmoret E 4 Shkurtit, No 6 , , Tiranes,","","","https://www.freightnet.com/profile/1554.htm","No"
"Dedja Shipping","Rr.Taulantia ,Lagja 1 , Durres ,Albania, Durres, Albania, 2000","","","https://www.freightnet.com/profile/93521.htm","No"
"Arbanon","L.4 , RR.Iljaz Reka , Durres Port, Tirane / Durres, Albania, 2000","","","https://www.freightnet.com/profile/63596.htm","No"
"Mega Group","Mine Peza,Nr 17 , Tirana, Albania, 1000","","","https://www.freightnet.com/profile/84418.htm","No"
"Dubai Shipment Freight Forwarding","Rr.Taulantia ,Lagja 1, Durres ,Albania , Durres, Albania, 2000","","","https://www.freightnet.com/profile/97286.htm","No"
"Albanian Cargo Logistics","Tirana International Airport , Cargo Building, Tirana, Albania, 1000","","","https://www.freightnet.com/profile/106965.htm","No"
"A.M.L ltd","Rruga Transballkanike; Perballe Gjykates se Apelit , Bulevardi “Gjergj Fishta”;ALPAS CENTER -- 1st Entry, 2nd Floor, Office No.: 1 Tirana, Vlore, Albania, 9400","","","https://www.freightnet.com/profile/94845.htm","No"
"BKR & INTICO","LAGJA 11 DURRES , Tirane, Tiranes, 99999","","","https://www.freightnet.com/profile/51491.htm","No"
"SBA PH.S.K.","Myslyn Shyri str , P124/2, SH. 3, APT 41, Tirane, Tiranes,","","","https://www.freightnet.com/profile/19283.htm","No"
"Shega-Trans Shipping SA","Tefta Tashko Str. No.10 , Tirane, Tiranes, 00355","","","https://www.freightnet.com/profile/13693.htm","No"
