"name","address","phone","website","profileUrl","isPremiumMember"
"M&M Militzer & Munch","oopérative Mohamed Boudiaf - 16 rue Hamdani Lahcen, 1er étage , Hydra, ALGER , Algiers, Algeria, algeria, 16000","","","https://www.freightnet.com/profile/217636.htm","No"
"M&M Militzer et Munch Algerie","Coopérative Mohamed Boudiaf - 16 rue Hamdani Lahcen, 1er étage, Hydra walid.rezki@mumnet.com - 16000 ALGER  , Algiers, Algeria, 16000","","","https://www.freightnet.com/profile/191766.htm","No"
"MY WY CONSULT","26 MOHAMED AL AYACHI STREET , BELOUIZDAD, ALGIERS, ALGERIA, 16010","","","https://www.freightnet.com/profile/239453.htm","No"
"BandB shipping","zone urbain garidi 1  n c 07 et 8 bt G 2N6 , Alger, Algeria, 16000","","","https://www.freightnet.com/profile/253207.htm","No"
"geotrans logistics","bourouba alger , alger, algerie, 16230","","","https://www.freightnet.com/profile/82334.htm","No"
"Alshiplink Ltd","7, rue Mezigueche Med Laid , quartier de l'etoile, Annaba, Algeria, 23000","","","https://www.freightnet.com/profile/236106.htm","No"
"THO SHIPPING","Coop el fath villa 09 garidi 2 kouba , Alger, Algeria, 16000","","","https://www.freightnet.com/profile/243896.htm","No"
"SARL SVPM INTERNATIONAL","dar el beida alger algeria , skikda algeria, algeria, algeria, 16033","","","https://www.freightnet.com/profile/239359.htm","No"
"Pharmalliance","Domaine Kouchi Idir  , Ouled Fayet, Alger, Algeria, 16000","","","https://www.freightnet.com/profile/220881.htm","No"
"ALTISA","05 Rue Abane Ramdane 16000 Alger centre , Algiers, Algiers, 16000","","","https://www.freightnet.com/profile/204373.htm","No"
"Mecheri maritime services sarl mms","Cite 296 logement bt n 7 n 6 ain naadja , Ain naadja, Ain naadja, Gué de constantine, 16331","","","https://www.freightnet.com/profile/203105.htm","No"
"Altisa","05 Rue Abane Remdane Alger , Algiers, Algeria, 16.000","","","https://www.freightnet.com/profile/190316.htm","No"
"Logistic Partner SARL","Cité les bananiers Bat A40 N°2 , Bab-Ezzouar, Alger, 16000","","","https://www.freightnet.com/profile/8155.htm","No"
"GLOBAL LOGISTICS PARTNER sarl","88, Rue Harkat Djamel, Pins maritimes , , Algiers, 16058","","","https://www.freightnet.com/profile/13948.htm","No"
"UNION TRANS","ORAN - ALGERIA , CITE DES OUVRIERS N°2 LOT 2 DAR EL-BEIDA ALGIERS - ALGERIA, ORAN, ALGERIA, 31000","","","https://www.freightnet.com/profile/105127.htm","No"
"SOGEMCO SPA","Algiers center , ALGIERS, Algieria, 16000","","","https://www.freightnet.com/profile/110961.htm","No"
"TPF Forwarding Network (Algeria)","ZERALDA ALGER , ZERALDA, Algeria, 16101","","","https://www.freightnet.com/profile/108465.htm","No"
"Arcon Logistic sarl","Zone activite Zeralda N 71 , , Alger, 16000","","","https://www.freightnet.com/profile/13644.htm","No"
"Alshiplink","Centre d , Annaba, Alger, 23000","","","https://www.freightnet.com/profile/11889.htm","No"
"Aca Freight System","56, Dar Diaf Cheraga , , Alger, 16027","","","https://www.freightnet.com/profile/13645.htm","No"
"Aljo Shipping & Services","17 rue Blaise Pascal  , , Alger, 16000","","","https://www.freightnet.com/profile/10209.htm","No"
"Transit E-Mordjane","01 Rue Lakhdar Saidi , Bab-El-Oued, Alger, 16000","","","https://www.freightnet.com/profile/11410.htm","No"
"Algerian Agency Service","Algiers 25 Hasiba Ben Boulali , , Alger, 16000","","","https://www.freightnet.com/profile/18457.htm","No"
"Flash Transit Sarl","14 Boul Med 5  , , Alger, 16000","","","https://www.freightnet.com/profile/20266.htm","No"
"Alshic Algeria","17 Bld R. Benabdelmalek  , Annaba, Alger, 001","","","https://www.freightnet.com/profile/20442.htm","No"
"SARL GREEN LINE SHIPPING","ALGER , ALGER, ALGER, 16000","","","https://www.freightnet.com/profile/265650.htm","No"
