"name","address","phone","website","profileUrl","isPremiumMember"
"PT Borneo Artha Lestari","Jl.keramat basirih kubah rt 10,no 47 , Banjarmasin, Indonesia, 70245","","","https://www.freightnet.com/profile/255139.htm","No"
"African Harbour Shipping GmbH","Cond. America Plaza  , Talatona, Luanda, Angola, 4057","","","https://www.freightnet.com/profile/177153.htm","No"
"Cargo Care","Rua Ramalho Ortigao 42-48 , Luanda, Angola, 0000","","","https://www.freightnet.com/profile/194020.htm","No"
"Edna J T Comercio e P Serviços Lda","Rua Dr Pinto Azeredo 23 , Luanda, Angola, 0000","","","https://www.freightnet.com/profile/208668.htm","No"
"AFRISIL GLOBAL FORWARDING LTD","Rua Francisco das Necessidades Castelo Branco 46 , Luanda,, Luanda, Luanda Angola, 46703","","","https://www.freightnet.com/profile/193826.htm","No"
"TechnoTrans - Transitários Internacionais, Lda.","Rua Rei Katyavala, Nº138 , Luanda, Ingombotas, .","","","https://www.freightnet.com/profile/85615.htm","No"
"bureau veritas angola","rua joao de barros -n56 , luanda, luanda, 5612","","","https://www.freightnet.com/profile/101361.htm","No"
"Horizon Coast Transitario E Tourismo","Luanda , Luanda, Angola, 244","","","https://www.freightnet.com/profile/82297.htm","No"
"AMI","Estrada de Cacuaco , n 288, Luanda,","","","https://www.freightnet.com/profile/16692.htm","No"
"Neotransitos, Lda","Rua Francisco das Necessidades Castelo Branco 75 , , Luanda,","","","https://www.freightnet.com/profile/18883.htm","No"
"Beletrans Angola - Logistica Lda","Rua Rainha Ginga nº 12 - Piso 3 , , Luanda,","","","https://www.freightnet.com/profile/23974.htm","No"
