"name","address","phone","website","profileUrl","isPremiumMember"
"JPEV Logistics SRL","Av.Corrientes 753 piso 13 B, CABA, Buenos Aires, 1407","+5491169196475","","https://www.freightnet.com/profile/227465.htm","Yes"
"AFFARI GROUP SRL","LAVALLE 437 4º  A, CABA, Buenos Aires, C1047AAI","5411 4394-2735","http://www.affari.com.ar/","https://www.freightnet.com/profile/51520.htm","Yes"
"Permex SRL","Av Vélez Sarfield 4100 , Ricchieri 3331, CORDOBA - CORDOBA CAPITAL, CORDOBA, 5016","","","https://www.freightnet.com/profile/264771.htm","No"
"All America Freight Services Corp","Soface, S.A. , Alsina 495 - 3er. Piso, Buenos Aires, C1087AAE","","","https://www.freightnet.com/profile/9977.htm","No"
"Global Starship S.R.L.","Florida 15 , CABA, CABA, 1005","","","https://www.freightnet.com/profile/257606.htm","No"
"Argentina Comercio Internacional S.R.L.","Piedras 335, Piso 2 Of. 10 , , Buenos Aires, C1070AAG","","","https://www.freightnet.com/profile/12392.htm","No"
"CUPA SHIPPING, S.A.","Olazabal 3876 , Lanus Oeste, Buenos Aires, Buenos Aires, 1824","","","https://www.freightnet.com/profile/218646.htm","No"
"ESTUDIO LIGORI","BALCARCE 226  , CABA, ARGENTINA, 1064","","","https://www.freightnet.com/profile/255899.htm","No"
"Cargas del Sur del Plata","Belgrano 615 , Buenos Aires, Buenos Aires, 1092","","","https://www.freightnet.com/profile/242710.htm","No"
"Swan Logistics","268 Suipacha St. , CABA, ARGENTINA, 1008","","","https://www.freightnet.com/profile/251761.htm","No"
"FINVESA LOGISTICA SA","CERRITO 1320 PISO 12, OF C , CIUDAD AUTONOMA DE BUENOS AIRES, BUENOS AIRES, 1010","","","https://www.freightnet.com/profile/160073.htm","No"
"Anaya San Martín Freight Forwarder","Alem 424  , Caba, Buenos Aires, 1003AAR","","","https://www.freightnet.com/profile/21815.htm","No"
"Americana Shipping Group SRL","Av. Corrientes 640 - 3er Piso - 40 A , , Buenos Aires, C1043AAS","","","https://www.freightnet.com/profile/12811.htm","No"
"Tlogistica","Lobato 996 , Almirante Brown, Argentina, 1849","","","https://www.freightnet.com/profile/148365.htm","No"
"FIRST LOGISTIC CARGO SA","RIOBAMBA 429 - PISO 3 - OF. 310 , CABA - BUENOS AIRES, ARGENTINA, C1025ABI","","","https://www.freightnet.com/profile/151202.htm","No"
"Smart Logistics SA","Avda Belgrano 485 4th floor 9 , , Buenos Aires, 1092","","","https://www.freightnet.com/profile/23121.htm","No"
"MissionLine Logistics S.A.","Acassuso 548 , San Isidro, Buenos Aires, B1642CGL","","","https://www.freightnet.com/profile/13300.htm","No"
"ATA LOGISTICS ARGENTINA (IATA CARGO AGENT)","Bco encalada 2192 , San Isidro, Bs As, 1609","","","https://www.freightnet.com/profile/119737.htm","No"
"GOLD LOGISTICS S.A","Bolivar 238 4to A , Capital Federal, Argentina, 1066","","","https://www.freightnet.com/profile/223943.htm","No"
"Delia R. Flores Logística Internacional S.A.","Azopardo 477 - 1º Of. 1 , , Buenos Aires, C1107ADE","","","https://www.freightnet.com/profile/3014.htm","No"
"SIGMA INTERNATIONAL LOGISTICS SRL","FLORIDA 253 9TH FLOOR , SUITE L, C.A.B.A, ARGENTINA, C1005AAE","","","https://www.freightnet.com/profile/137339.htm","No"
"TMI SA","Huarpes 539 , Mendoza, Argentina, 5500","","","https://www.freightnet.com/profile/166739.htm","No"
"Almar Rosario S.R.L.","Corrientes 653 - P 6 , Rosario, Santa Fe, 2000","","","https://www.freightnet.com/profile/216802.htm","No"
"Neocargo","Defensa 275 1 8 , Buenos Aires, CABA, 1065","","","https://www.freightnet.com/profile/215285.htm","No"
"SIF Argentina","Adolfo Alsina N° 756 Piso 9 , Buenos Aires, Buenos Aires, C1087AAL","","","https://www.freightnet.com/profile/158733.htm","No"
"Crossing Continents Logistics S.R.L.","Rivadavia 1157 Piso 5 , , Buenos Aires, 1033","","","https://www.freightnet.com/profile/20861.htm","No"
"GM CARGO SRL","BELGRANO AVENUE 687 , 3rd Floor - Room 12, BUENOS AIRES CITY, C1092AAG","","","https://www.freightnet.com/profile/15145.htm","No"
"Comexarg SRL","Sarmiento 1031 9B , Rosario, Argentina, 2000","","","https://www.freightnet.com/profile/129043.htm","No"
"Almar Internacional SA","Monseñor Magliano 3051 , San Isidro, Buenos Aires, 1642","","","https://www.freightnet.com/profile/181727.htm","No"
"Ganimai S.R.L.","Moreno 748 , CABA, Buenos Aires, 1067","","","https://www.freightnet.com/profile/152452.htm","No"
"atlas shipping","bernardo irigoyen 972  , buenos aires, argentina buenos aires, 1072","","","https://www.freightnet.com/profile/172923.htm","No"
"GREEN LOG SRL","RECONQUISTA 572 , BUENOS AIRES, ARGENTINA, 1003","","","https://www.freightnet.com/profile/166507.htm","No"
"Grupo Operadores sa","Av Rivadavia 1367 1B , Buenos Aires, Buenos Aires Argentina, 1033","","","https://www.freightnet.com/profile/171742.htm","No"
"Bymar Transforwarding SRL","Mexico 441  Floor 2 Suite C , Buenos Aires, Argentina, 1097","","","https://www.freightnet.com/profile/129880.htm","No"
"Sietemares Cargas","Beruti 3737 4º , , Buenos Aires,","","","https://www.freightnet.com/profile/8515.htm","No"
