"name","address","phone","website","profileUrl","isPremiumMember"
"Silk Road Logistic Group","Armenia, No 239,2nd floor, 2nd Building, 17 Pavstos Buzand St, Yeravan, Armenia, 0069","+37433929953","http://www.skrd.am/","https://www.freightnet.com/profile/243186.htm","Yes"
"SMART EXPRESS LLC","Komitas 49 ave., Yerevan, YEREVAN, 0051","093540840","https://smartxpress.am/","https://www.freightnet.com/profile/253341.htm","Yes"
"Vectura LLC","Shinararner 32/61 , Yerevan, Armenia, 0038","","","https://www.freightnet.com/profile/215543.htm","No"
"Garant Logistics LLC","38/3 Komitas Avenue , Yerevan, State, 0051","","","https://www.freightnet.com/profile/248264.htm","No"
"Spinnaker Group LLC","Abelyan 6/4 , TGA Business Center, Yerevan, Yerevan, 0038","","","https://www.freightnet.com/profile/256079.htm","No"
"AMBERT Logistics,LLC","31A, Marshal Baghramian Ave. , Suite 5, Yerevan, Armenia, 00019","","","https://www.freightnet.com/profile/62513.htm","No"
"Valantis Group","Abelyan 6/4 , Yerevan, Armenia, 0038","","","https://www.freightnet.com/profile/254727.htm","No"
"Valantis Group","Abelyan St., 6/4 Building , Yerevan, Armenia, 0038","","","https://www.freightnet.com/profile/236984.htm","No"
"Garant Logistics","Komitas ave 38/3 , Yerevan, Armenia, 002","","","https://www.freightnet.com/profile/248581.htm","No"
"Areon Logistics","Abelyan St., 6/4 Building , Yerevan, Armenia, 0022","","","https://www.freightnet.com/profile/236983.htm","No"
"International Freight Transport","Moldovakan 4/2 , Apartment No.12 , Yerevan, Yerevan/Armenia, 0096","","","https://www.freightnet.com/profile/202275.htm","No"
"Fairyland Logistics","107A Buzand Str. , Yerevan, Armenia, 0002","","","https://www.freightnet.com/profile/182141.htm","No"
"Sati Trans","21 Mesrop Mashtots ave., Yerevan, Armenia , Yerevan, Yerevan, 0002","","","https://www.freightnet.com/profile/156173.htm","No"
"EGN Logistics","Mamikonyants 38 , Yerevan, Armenia, 0001","","","https://www.freightnet.com/profile/162521.htm","No"
"Unitrans Ltd.","Hanrapetutyan 22, section 4 , Yerevan, Yerevan, 0010","","","https://www.freightnet.com/profile/159488.htm","No"
"Expert Logistics (Lady Meri Group LLC)","Atoyan street 47 , Yerevan, Yerevan, 0041","","","https://www.freightnet.com/profile/158138.htm","No"
"Imextrans LLC","12A Vagharshyan street, 0012, Yerevan, RA , Yerevan, Armenia, 0014","","","https://www.freightnet.com/profile/147057.htm","No"
"Shant Television","Leningradyan 31/3 street, 24 fl , Kievyan 16 street, Yerevan, Yerevan, 0031","","","https://www.freightnet.com/profile/105062.htm","No"
"VIP TRANS LLC","Azatutyan street 24 , Yerevan city, Armenia, 0008","","","https://www.freightnet.com/profile/134834.htm","No"
"Avita Logistics","Artsakhi str 30 , Yerevan, Yerevan, 0041","","","https://www.freightnet.com/profile/97848.htm","No"
"TourTranslex LLC","Nor Norq, H. Avetisyan 5/1,fl. 6 , Yerevan, Hovhannisyan, 0092","","","https://www.freightnet.com/profile/128947.htm","No"
"Global Logistics LLC","Yekmalyan 6 , Yerevan, Armenia, 0002","","","https://www.freightnet.com/profile/118751.htm","No"
"GTI Logistics LLC","Sose street , , Yerevan, 0019","","","https://www.freightnet.com/profile/51509.htm","No"
"ANRIVA-TRANS LLC","17 Arzumanyan , Yerevan, Yerevan, 0099","","","https://www.freightnet.com/profile/88211.htm","No"
"Mira Trans LLC","32 Tigran Mets Ave , Yerevan, Armenia, 0018","","","https://www.freightnet.com/profile/81938.htm","No"
"East West Logistic","22 Hanrapetutyan Street, section #10 , Yerevan, Armenia, 0010","","","https://www.freightnet.com/profile/56666.htm","No"
"Seaborne International, Jv. Jsc.","15 Deghatan Street , , Yerevan, 375010","","","https://www.freightnet.com/profile/3818.htm","No"
"Ambertco International Transport Ltd.","81 Bagratunyats Ave , Shengavit, Yerevan, 375005","","","https://www.freightnet.com/profile/4087.htm","No"
"Apaven Co Ltd","Abelyan Street 6/1 , , Yerevan, 375038","","","https://www.freightnet.com/profile/20495.htm","No"
"Meltrans Co Ltd","Mkrchyan str.10 , , Yerevan, 375010","","","https://www.freightnet.com/profile/20498.htm","No"
"Trans-Alliance Co Ltd","21/3-2 Pushkin str , , Yerevan,","","","https://www.freightnet.com/profile/20499.htm","No"
"Cargo Alliance LLC","8 Vardanants str., ap.224 , Yerevan, Armenia, 0060","","","https://www.freightnet.com/profile/85072.htm","No"
