"name","address","phone","website","profileUrl","isPremiumMember"
"Airbridge Cargo Logistics Australia","Sydney Australia , Sydney, Australia, 2212","","","https://www.freightnet.com/profile/260940.htm","No"
"FAMOUS PACIFIC SHIPPING (VIC) PTY LTD","170 AUSTRALIS DRIVE , DERRIMUT, Victoria, 3026","","","https://www.freightnet.com/profile/186808.htm","No"
"Link Logistics International Pty Ltd","Unit 3 , 4 Sinclair Place Cambridge, Tasmania, Australia, 7170","","","https://www.freightnet.com/profile/186442.htm","No"
"Freelance Shipping Pty Ltd","2 portside crescent   , Maryville, NEW SOUTH WALES, 2293","","","https://www.freightnet.com/profile/185742.htm","No"
"Seabridge","Unit B1 , 5 Grevillea Place, Brisbane, QLD, 4008","","","https://www.freightnet.com/profile/114188.htm","No"
"Exportair","26 Fricker Rd , Perth International Airport, WA, 6105","","","https://www.freightnet.com/profile/111588.htm","No"
"Express-Link","Unit 2/18 Colin Jamieson Drive , Welshpool, WA, 6106","","","https://www.freightnet.com/profile/110018.htm","No"
"Cargo Master Pty Ltd","1st Floor/637 Military Road , Mosman, NSW, 2088","","","https://www.freightnet.com/profile/97817.htm","No"
"Chapman Freeborn Airchartering","20A, 80-82 Keilor Road, Essendon North , Melbourne, Victoria, 3041","","","https://www.freightnet.com/profile/60613.htm","No"
"McPhee Freight Pty Ltd","Wyndham Building , Level 9 Corporate Court, Bundall, Queensland, 4216","","","https://www.freightnet.com/profile/64323.htm","No"
"Qantas Freight","Link Road , Mascot, New South Wales, 2020","","","https://www.freightnet.com/profile/9109.htm","No"
"Adagold Aviation","PO Box 454 , Hamilton, Brisbane, Queensland, 4005","","","https://www.freightnet.com/profile/9139.htm","No"
