"name","address","phone","website","profileUrl","isPremiumMember"
"Affordable Air & Sea Freight Services Pty Ltd","2 MONTECLAIR AVENUE, LIVERPOOL, NSW, 2170","+61 1300 45 45 80","http://www.aasfs.com.au/","https://www.freightnet.com/profile/119024.htm","Yes"
"CFFWORLD TRANSPORT | GLOBAL FREIGHT AND CUSTOMS COMPLIANCE","LEVEL 26, 1 - 7 BLIGH STREET, SYDNEY, NEW SOUTH WALES, 2000","+61-1300887612","https://www.cffworld.com/","https://www.freightnet.com/profile/16674.htm","Yes"
"KMLT Customs & Logistics Specialists Pty Ltd","13 Northpoint place, BOMBO, NSW, 2533","0419497176","http://www.kmltcl.com/","https://www.freightnet.com/profile/259278.htm","Yes"
"Trans national LTD.","Mott Street , Melbourne, Melbourne, 3004","","","https://www.freightnet.com/profile/161317.htm","No"
"Access Logistics Management","Unit 1, 35 Mordaunt Circuit , Canning Vale, Western Australia, 6155","","","https://www.freightnet.com/profile/19383.htm","No"
"ASR LOGISTICS PTY LTD","PO BOX 415  , ALTONA NORTH, VICTORIA AUSTRALIA, 3025","","","https://www.freightnet.com/profile/169156.htm","No"
"FYN LOGISTICS AUST P/L","PO BOX 335 , SOUTH HURSTVILLE, New South Wales, 2221","","","https://www.freightnet.com/profile/19005.htm","No"
"KTH CUSTOMS PTY LTD","103 JOHN ST , LIDCOMBE, NSW, 2141","","","https://www.freightnet.com/profile/139239.htm","No"
"GFS PTY LTD","34 OVATA DVE , TULLAMARINE, MELBOURNE VIC, AUSTRALIA, 3043","","","https://www.freightnet.com/profile/115938.htm","No"
"Express-Link","Unit 2/18 Colin Jamieson Drive , Perth, Western Australia, 6106","","","https://www.freightnet.com/profile/101031.htm","No"
