"name","address","phone","website","profileUrl","isPremiumMember"
"CLARKE GLOBAL LOGISTICS PTY LTD","BLDG A SUITE 3 85 TURNER STREET, PORT MELBOURNE, VIC, 3207","61 3 9854 3000","http://www.clarkeglobal.com.au/","https://www.freightnet.com/profile/83784.htm","Yes"
"AIR MENZIES INTERNATIONAL","19-21 Mace Way, MELBOURNE AIRPORT  VIC  3045, MELBOURNE AIRPORT, VIC, 3045","0491079202","","https://www.freightnet.com/profile/262959.htm","Yes"
"Uniair Cargo","Unit 6, 25 Ossary st, Mascot, NSW, 2020","61433772119","http://www.uniaircargo.com.au/","https://www.freightnet.com/profile/140608.htm","Yes"
"Ausken Logistics","29/74 Willandra Dr, Epping, VIC, 3076","+61391910075","http://www.ausken.com.au/","https://www.freightnet.com/profile/183784.htm","Yes"
"D & D Worldwide Logistics","SUITE 11, 10 MOORABOOL STREET, GEELONG, VIC, 3220","03 5222 2579","http://www.ddwlogistics.com/","https://www.freightnet.com/profile/83216.htm","Yes"
"Babiker shipping Pty Ltd","50 Callander Rd, Noble Park Victoria, Noble Park, VIC, 3174","41010487","https://www.babikershipping.com.au/","https://www.freightnet.com/profile/255513.htm","Yes"
"Freightnet International","P.O. Box 537, 9c International Square, Tullamarine, Victoria, 3043","+613 9335 4511","","https://www.freightnet.com/profile/9412.htm","Yes"
"Aviall Group // Air Charter Specialists","PO Box 79, BALACLAVA, VICTORIA, 3183","412501784","","https://www.freightnet.com/profile/257403.htm","Yes"
"MCC World International Pty  Ltd","18 /44 Sparks Ave , Fairfield, VIC, 3078","","","https://www.freightnet.com/profile/264784.htm","No"
"Ausken Logistics","29/74 ,  Willandra Dr, Epping, VIC, 3076","","","https://www.freightnet.com/profile/244815.htm","No"
"Excel Logistics Pty Ltd","P.O.Box 365 , Panania, New South Wales, 2213","","","https://www.freightnet.com/profile/52574.htm","No"
"AVANTI Freight Managment","Unit 4 , 43 Links Ave North, Eagle Farm (Brisbane), Queensland, 4009","","","https://www.freightnet.com/profile/57520.htm","No"
"AIR MENZIES INTERNATIONAL","19-21 Mace Way, MELBOURNE AIRPORT  VIC  3045 , MELBOURNE AIRPORT, VIC, 3045","","","https://www.freightnet.com/profile/262957.htm","No"
"SWT Logistics","Unit 7, 11-13 Lord St  , Botany, Australia, 2019","","","https://www.freightnet.com/profile/258926.htm","No"
"JETFAST EXPRESS PTY LTD","157 Burwood Rd Unit #129 , Hawthorn, VIC, 3122","","","https://www.freightnet.com/profile/162305.htm","No"
"Excel Worldwide Logistics Pty Ltd","33A Yellowbox Drive , Craigieburn, VIC, 3064","","","https://www.freightnet.com/profile/259872.htm","No"
"East West Express","Unit 2, 7 Superior Drive , Dandenong South, Victoria, 3175","","","https://www.freightnet.com/profile/257406.htm","No"
"KBF Logistics PTY Ltd","1 14 Manly Street Werribee  , Werribee, Victoria, 3030","","","https://www.freightnet.com/profile/220951.htm","No"
"Freightnet International","Unit 8B, 443 West Botany Street , Rockdale, NSW, 2216","","","https://www.freightnet.com/profile/92642.htm","No"
"Pivot Freight Solutions","Suite 8, 165-171 , Broadwater Terrace, Redland Bay, QLD, 4165","","","https://www.freightnet.com/profile/252489.htm","No"
"Think Global Logistics (TGL)","Level 2, 88 George Street The Rocks NSW 2000 , The Rocks, Australia, 2000","","","https://www.freightnet.com/profile/249570.htm","No"
"Poseidon Freight Pty Ltd","45B Hardie St , Mascot, Sydney, New South Wales, 2020","","","https://www.freightnet.com/profile/3050.htm","No"
"Dynamic Freight Management","155 Fison Avenue West 4009 Eagle Farm , Brisbane, QLD, 4009","","","https://www.freightnet.com/profile/111440.htm","No"
"Ordayee&co pty ltd","15 Stub st , kensington, Australia, 3031","","","https://www.freightnet.com/profile/226852.htm","No"
"Lou Valsecchi & Associates","10 Thermal Chase , Bibra Lake, Western Australia, 6163","","","https://www.freightnet.com/profile/140473.htm","No"
"Express Freight Management","Unit 11, 67 Bancroft Rd , Pinkenbar, Brisbane, Queensland, 4008","","","https://www.freightnet.com/profile/113011.htm","No"
"MCL Freight & Customs","75 Queen Victoria St , Fremantle, WA, 6160","","","https://www.freightnet.com/profile/243334.htm","No"
"Logistix Au Pty Ltd","201 Sussex St  , Sydney, New South Wales, 2000","","","https://www.freightnet.com/profile/51675.htm","No"
"Venture Freight Australia","POBox 703 , Tullamarine, Victoria, 3043","","","https://www.freightnet.com/profile/64733.htm","No"
"Cargo Australia Pty.Ltd","41 Albatross Ave , Hinchinbrook, NSW, 2168","","","https://www.freightnet.com/profile/99996.htm","No"
"MTF LOGISTICS PTY LTD","LEVEL 14, 122 ARTHUR STREET , NORTH SYDNEY, NSW, 2060","","","https://www.freightnet.com/profile/149718.htm","No"
"STS CARGO PTY LTD","42 Boorea St , LIDCOMBE, NSW, 2141","","","https://www.freightnet.com/profile/193254.htm","No"
"Cargoimpex","3 Cacia Avenue  , Seven Hills, NSW, 2147","","","https://www.freightnet.com/profile/225980.htm","No"
"Pacific Freight Link Australia PTY LTD","1-3 Westminster Avenue , DEE WHY, New South Wales, 2099","","","https://www.freightnet.com/profile/226141.htm","No"
"Transco Cargo","206-208 Discovery Road  , Dandenong South, Victoria, 3175","","","https://www.freightnet.com/profile/189844.htm","No"
"ABBA Logistics","Unit 8, 36 Ralph Street , Alexandria, NSW Sydney, 2015","","","https://www.freightnet.com/profile/56417.htm","No"
"TFG Global Pty Ltd","Level 1, 3/39 Barrie Road , Tullamarine, Victoria, 3043","","","https://www.freightnet.com/profile/219919.htm","No"
"Cargotrans International Freight","2A International Square , Tullamarine, Victoria, 3043","","","https://www.freightnet.com/profile/103829.htm","No"
"Export freight systems","14 cook parade  , Lemon tree passage, Nsw, 2319","","","https://www.freightnet.com/profile/172273.htm","No"
"Magellan Logistics","35 Catalina Dr , TULLAMARINE, VIC, 3043","","","https://www.freightnet.com/profile/213787.htm","No"
"TNP Global Logistics Pty Ltd","1/5 Mountain Crescent  , Mulgrave, Victoria, 3170","","","https://www.freightnet.com/profile/194325.htm","No"
"G. & J. Leyshon & Sons Pty. Ltd.","231a St. Vincent Street , Port Adelaide, South Australia, 5015","","","https://www.freightnet.com/profile/51.htm","No"
"Oxen Logistics","Suite 66, 20-40 Meagher Street , Chippendale, NSW, 2008","","","https://www.freightnet.com/profile/163296.htm","No"
"Pack & Send Mt Waverley","171 Waverley Rd , Mount Waverley, Victoria, 3149","","","https://www.freightnet.com/profile/24116.htm","No"
"Australia Freight Forwarder","15 Kendall ST , Clyde, NSW, 2142","","","https://www.freightnet.com/profile/135585.htm","No"
"Galaxy Freight International P/L","3/12-14 Northumberland Road , , New South Wales, 2229","","","https://www.freightnet.com/profile/54070.htm","No"
"BEST WAY CARGO","16 MOORE ST , BEXLEY, NSW AUSTRALIA, 2207","","","https://www.freightnet.com/profile/137527.htm","No"
"Race","16 Powdrill Road , Prestons, NSW, 2170","","","https://www.freightnet.com/profile/193525.htm","No"
"MHK CORPS PTY LTD","302/77 , Galada Avenue, Parkville, VIC, 3052","","","https://www.freightnet.com/profile/161442.htm","No"
"TSL Australia","43 High Street , Prahran, Victoria, 3181","","","https://www.freightnet.com/profile/14715.htm","No"
"Roman transport Pty ltd","19 Pembrey Road , Cairnlea, vic, 3023","","","https://www.freightnet.com/profile/187454.htm","No"
"PROFESSIONAL FREIGHT SERVICES PTY LTD","UNIT 6, 4-6 COMMERCIAL COURT , TULLAMARINE, VIC, 3043","","","https://www.freightnet.com/profile/139813.htm","No"
"Direction Freight International","81b Lipson Street , Port Adelaide, South Australia, 5015","","","https://www.freightnet.com/profile/160892.htm","No"
"Freight Solution","po Box 374 Yarraville , Yarraville, Victoria, 3013","","","https://www.freightnet.com/profile/154175.htm","No"
"Bollinger Shipping Agency Pty Ltd","6th Floor, 100 William St , Sydney, New South Wales, 2011","","","https://www.freightnet.com/profile/50.htm","No"
"Cargoconnect","Unit 5, 1 Westringia Road , Brisbane Airport, Brisbane, QLD, 4008","","","https://www.freightnet.com/profile/175093.htm","No"
"Freight & Customs Management International","405 Princes Highway , St Peters, New South Wales, 2044","","","https://www.freightnet.com/profile/20457.htm","No"
"EXPORTAIR","UNIT 3/ 26 FRICKER ROAD , PERTH INTERNATIONAL AIRPORT, PERTH, WESTERN AUSTRALIA, 6104","","","https://www.freightnet.com/profile/82255.htm","No"
"Dragon Logistics","Po Box 2157 , Greenvale, VIC, 3059","","","https://www.freightnet.com/profile/153894.htm","No"
"Australia International Logistics Pty Ltd","P.o Box 18047 , Clifford Gardens, QLD, 4350","","","https://www.freightnet.com/profile/152644.htm","No"
"Freightnet International Pty Ltd","P.O. Box 128 , Botany, Sydney, NSW, 1455","","","https://www.freightnet.com/profile/160159.htm","No"
"Moving Your World","P.O BOX 208 , OYSTER BAY, NSW, 2225","","","https://www.freightnet.com/profile/55357.htm","No"
"Exim Global Logistics","1F 33 Lambeck Drive , PO Box 525, Tullamarine, Victoria, 3043","","","https://www.freightnet.com/profile/134991.htm","No"
"Shiprite International","16 Waigani Avenue , DEER PARK, Victoria, 3023","","","https://www.freightnet.com/profile/154612.htm","No"
"Star Freight Services Pty Ltd","World Trade Centre Tower 4 611 Flinders Street , Melbourne, Vic, 3005","","","https://www.freightnet.com/profile/154490.htm","No"
"Raw Global","6 Palmer Parade , Cremorne, Victoria, 3121","","","https://www.freightnet.com/profile/151045.htm","No"
"Norfolk Forwarding Services","box 515 , Norfolk Island, NSW, 2899","","","https://www.freightnet.com/profile/150951.htm","No"
"Russell Bayliss Freight Consultancy and Brokers","27 Daniel Drive , Melbourne, Australia, 3555","","","https://www.freightnet.com/profile/143310.htm","No"
"loins recycling program Ghana","Accra  , tema moto way, kumasi, Accra Ghana, 00233 2331","","","https://www.freightnet.com/profile/145268.htm","No"
"Red Nav Pty Ltd","26/110 Inspiration Drive , WA6065 Wangara, Perth, WA, 6065","","","https://www.freightnet.com/profile/141316.htm","No"
"DH Pacific Freight","Point Cook , Melbourne, VIC, 3030","","","https://www.freightnet.com/profile/131566.htm","No"
"Hills Logistics","Level 12 37 Bligh Street , Sydney, NSW, 2000","","","https://www.freightnet.com/profile/138209.htm","No"
"BR International Logistics Pty Ltd.","1A Amour Street , Milperra, NSW, 2214","","","https://www.freightnet.com/profile/135765.htm","No"
"Peter Hodder & Associates PTY Ltd","Unit 4 Level 3 No 14 Queens Road , P O Box 7102, Melbourne, Victoria, 8004","","","https://www.freightnet.com/profile/8817.htm","No"
"freight forwader","5 john st , LIDCOMBE, NSW, 2141","","","https://www.freightnet.com/profile/137040.htm","No"
"Global air & sea services","10b flight drive, tullamarine , melbourne, Victoria, 3043","","","https://www.freightnet.com/profile/136277.htm","No"
"AUSSIE AIR & SEA","MELBOURNE AIRPORT REGION , PO BOX 2190, Sunbury, Victoria, 3429","","","https://www.freightnet.com/profile/130631.htm","No"
"Bell Total Logistics Pty Ltd","P.O.Box 417 , Bldg 2,117 Lambeck Drive, Tullamarine, Victoria, 3043","","","https://www.freightnet.com/profile/2743.htm","No"
"Bell Total Logistics Pty Ltd","50 Sherriff Street , Underdale, Adelaide, South Australia, 5032","","","https://www.freightnet.com/profile/3494.htm","No"
"Bell Total Logistics Pty Ltd","Unit 5, 30 Perry Street , Matraville, Sydney, New South Wales, 2036","","","https://www.freightnet.com/profile/3495.htm","No"
"Student Freight Australia","PO Box 2190 , Sunbury, Melbourne, Victoria, 3429","","","https://www.freightnet.com/profile/15500.htm","No"
"Excel Worldwide Logistics","2/33 Yellowbox Drive , Craigieburn, Victoria, 3064","","","https://www.freightnet.com/profile/100771.htm","No"
"Meridian Freight","Suite 218, 30-40 Harcourt Parade , Rosebery, Sydney, New South Wales, 2018","","","https://www.freightnet.com/profile/52.htm","No"
"All Ports International Logistics NSW Pty Ltd","Level 2, 1753 Botany Road Banksmeadow , Sydney, NSW, 2019","","","https://www.freightnet.com/profile/57855.htm","No"
"Shohphord global cargo ltd","22 covelee circuit  , Covelee circuit, Nsw, 2068","","","https://www.freightnet.com/profile/130315.htm","No"
"Professional Freight Services","Unit 6/4-6 Commercial Court , Tullamarine, Victoria, 3043","","","https://www.freightnet.com/profile/130169.htm","No"
"Express Freight Management","Po Box 909 , 12 Hercules Street, Hamilton, Brisbane, Queensland, 4007","","","https://www.freightnet.com/profile/2784.htm","No"
"KALIA EXPORT IMPORT SERVICES trade as Kalia freight forwarding","341A Beamish Street , campsie, Sydney NSW, 2194","","","https://www.freightnet.com/profile/53689.htm","No"
"Transolve Global","Level 7, 17-19 Alberta Street , Sydney, New South Wales, 2000","","","https://www.freightnet.com/profile/20311.htm","No"
