"name","address","phone","website","profileUrl","isPremiumMember"
"FERCAM Austria","Moslbichi, 78 , Kundl, Austria, 6250","","","https://www.freightnet.com/profile/236261.htm","No"
"Air Sea Land s.r.o.","Vlastimila pecha 1289/4 , Brno, Austria, 627 00","","","https://www.freightnet.com/profile/186236.htm","No"
"ILG International Logistic Gateway GmbH","Air Cargo Center, Object 263/3/03-310 , Vienna International Airport, AT, 1300","","","https://www.freightnet.com/profile/186239.htm","No"
"Daco Logistics GmbH","Gluckgasse 1 , , Wien, A-1010","","","https://www.freightnet.com/profile/2408.htm","No"
"Jet Trans Speditions GmbH","Egger Lienz Str. 1d , Innsbruck, Tirol, 6020","","","https://www.freightnet.com/profile/9955.htm","No"
"Zenit Spedition GmbH & CoKG","Handelszentrum 7, Bergheim 5101, Salzburg, Austria , Bergheim, Salzburg, 5101","","","https://www.freightnet.com/profile/116537.htm","No"
"Multifreight","Dr. Otto Neurathgasse 3 , , Wien, 1220","","","https://www.freightnet.com/profile/14669.htm","No"
"Maurice Ward GmbH","Object 263 , Room 156, Wien, 1300","","","https://www.freightnet.com/profile/19587.htm","No"
"Columbus-Cargo Int. Forwarders Ltd","Seitenhafenstr.11-13 , , Wien, A-1020","","","https://www.freightnet.com/profile/12611.htm","No"
"Nilcargo","Nilcargo Spedition Stutterheimstr. 16-18/3/1.101 1150 Wien Austria , Vienna, Austria, 1150","","","https://www.freightnet.com/profile/93156.htm","No"
"Cargomind GmbH","Liesinger Platz 1/41 , , Wien, 1230","","","https://www.freightnet.com/profile/15073.htm","No"
"Deka Spedition","Seitenhafenstr.15 , , Wien, 1020","","","https://www.freightnet.com/profile/1120.htm","No"
"Delacher Logistics AG + Co KG","Am Gueterbahnhof , Postfach 30, Vorarlberg, 6960","","","https://www.freightnet.com/profile/12559.htm","No"
"drtdr","drtdrt , drtdrt, drgdgr, drgdrgdr, 6584584","","","https://www.freightnet.com/profile/51043.htm","No"
"International Logistic Gateway GmbH","Köglerweg 50 , Graz, Steiermark, 8042","","","https://www.freightnet.com/profile/10262.htm","No"
"Geest Transport Agencies GmbH","Wienerbergstr. 11b , , Wien, 1100","","","https://www.freightnet.com/profile/251.htm","No"
"Condor Speditions- Transport Gmbh & Co","Samergasse 27 , , Salzburg, 5020","","","https://www.freightnet.com/profile/1164.htm","No"
"Frigologo Kühllogistik Gmbh","Gewerbestrasse 13 , Seekirchen, Salzburg, 5201","","","https://www.freightnet.com/profile/3901.htm","No"
"Mistral Spedition GMBH","Seebacher Allee 36 , Villach, Kärnten,","","","https://www.freightnet.com/profile/6541.htm","No"
"Karl Augustin Transport GmbH","Wolfholzgasse 18 , Brunn am Gebirge, Niederosterreich,","","","https://www.freightnet.com/profile/6914.htm","No"
"Wisco Int. Spedition GmbH.","Adriastrasse 3 , Nordbahnhof, Wien, 1020","","","https://www.freightnet.com/profile/17757.htm","No"
"Jas Forwarding Austria GmbH","Objekt 263 , Stiege 4 - 2. Stock, Wien, 1300","","","https://www.freightnet.com/profile/19053.htm","No"
"TPF Forwarding Network (Austria)","Egger Lienz Straße 1 , Innsbruck, Austria, A-6020","","","https://www.freightnet.com/profile/117408.htm","No"
