"name","address","phone","website","profileUrl","isPremiumMember"
"MM LOGISTICS AND SHIIPPING LLC","Yasamal district  593, A.Salamzadə str 2 C, floor 3 Bakı, city Azerbaijan , Baku, Azaerbaycan Baku, AZ1147","","","https://www.freightnet.com/profile/258712.htm","No"
"Quantum Logistics Solutions","Mikhail Nesterov 1b , Баку, Baku, AZ1023","","","https://www.freightnet.com/profile/254181.htm","No"
"AZ SHIPPING LLC","Ziya Bunyadov av, 1965, Chinar Park Business Center , Chinar Park Business Center, Baku, Narimanov, AZ1108","","","https://www.freightnet.com/profile/249483.htm","No"
"IKRA Logistics MENA","3rd floor Falez Plaza, C. Mammadguluzadeh Str. 189, Baku , Jafza 13 building LB13132, Jebel Ali Freezone, bacu, azrabaijan, 55167","","","https://www.freightnet.com/profile/233679.htm","No"
"Freight Masters","Chinar Plaza , H. Aliyev ave. 152, Baku, Azerbaijan, AZ1029","","","https://www.freightnet.com/profile/228448.htm","No"
"MA Logistic","Baku , Baku, Khirdalan, AZ1060","","","https://www.freightnet.com/profile/198266.htm","No"
"Dialog Freight Ltd","6th Floor, Caspian Plaza III , 44 Jafar Jabbarli Street, Baku, Absheron, AZ1065","","","https://www.freightnet.com/profile/196179.htm","No"
"Contact logistics","Baku Azerbaijan , Baku, Baku, Az1000","","","https://www.freightnet.com/profile/193519.htm","No"
"Unitrans Logistics Ltd","Ayaz Ismayilov str 35 C, 5th floor, 115 , Baku, Azerbaijan, AZ1025","","","https://www.freightnet.com/profile/118210.htm","No"
"Fromag Baku LLC","SDN Group Business Centre 8th Floor , Alasgar Gayibov str. 10G, Baku, Azerbaijan, AZ 1029","","","https://www.freightnet.com/profile/149866.htm","No"
"LV Caspian Limited","37, Khojaly Street , Baku, Azerbaijan, AZ1025","","","https://www.freightnet.com/profile/127535.htm","No"
"GETS GLOBAL LOJİSTİK","BAKU AZERBAYCAN , FLORYA BAKIRKOY ISTANBUL, İSTANBUL, BAKIRKOY, 34500","","","https://www.freightnet.com/profile/120901.htm","No"
"A2 Cargo","Samed Vurgun str. 34, AF Business Center, Office No.5, 4th floor , Baku, Azerbaijan, AZ1000","","","https://www.freightnet.com/profile/109826.htm","No"
"Formag - Baku","str. Samed Vurgun /str.Suleiman Ragimov, 20th Floor, World Business Centre, 309 quarter,, Baku, Abseron, AZ 1009","","","https://www.freightnet.com/profile/16520.htm","No"
"ABA Company LLC","Z.Taghiyev 15/3 street, ap. 8 , Baku, Azerbaijan, Az 1000","","","https://www.freightnet.com/profile/61976.htm","No"
"AGEX Trans","Khatai Dist., Babek Ave., 62/2T , Baku, Azerbaijan, AZ1026","","","https://www.freightnet.com/profile/65166.htm","No"
"STrans Ltd.","F.Ibrahimbekov Str.,12 , S. Vurgun str., 11/42, Baku, Abseron, AZ-1001","","","https://www.freightnet.com/profile/50771.htm","No"
"Forward Cargo Services Ltd","Badamdar Highway, 364A , Baku, Azerbaijan, 1023","","","https://www.freightnet.com/profile/58252.htm","No"
"M&M Militzer & Muench  Baku Ltd","68, S. Rakhman Str , Baku, Abseron, 1110","","","https://www.freightnet.com/profile/16529.htm","No"
"Blue Water Shipping Caspian Ltd","Wellington Heights, Apt AG, 8 Shahbazi str , Baku, Abseron,","","","https://www.freightnet.com/profile/8096.htm","No"
"Express Limited","Firdousi Str.,18 , Baku, Abseron, 370004","","","https://www.freightnet.com/profile/2122.htm","No"
"Trans Caspian Alliance Ltd","M.Gashgay str., 748 ave. , Baku, Abseron, AZ1000","","","https://www.freightnet.com/profile/5836.htm","No"
"Willi-F Ltd","M. Magomaev Lane , House 10 apt.14, Icheri Sheher, Baku, Abseron, AZ1004","","","https://www.freightnet.com/profile/8906.htm","No"
"SinTrans","44 J. Jabbarli str , Caspian Plaza, Baku, Abseron, 1065","","","https://www.freightnet.com/profile/10446.htm","No"
"ACE Forwarding Caspian Ltd","63 Hasan Aliyev Str , Baku, Abseron, AZ1110","","","https://www.freightnet.com/profile/13717.htm","No"
"Baku Cargo","Mir Calal str 23 , Baku, Abseron, AZ 1029","","","https://www.freightnet.com/profile/13937.htm","No"
"Argomar Oil","34,Nizami Str. Isr Pla , Baku, Abseron, 1000","","","https://www.freightnet.com/profile/16509.htm","No"
"Besttrans","18 Orujov Str., Apt. 29 , Baku, Abseron, 1025","","","https://www.freightnet.com/profile/16513.htm","No"
"Gulf Stream","40, Jafar Jabbarli Str , Baku, Abseron, 1000","","","https://www.freightnet.com/profile/16524.htm","No"
"Metrole Int. Ltd","16, Bunyad Sardarov Str. , Baku, Abseron, 1000","","","https://www.freightnet.com/profile/16530.htm","No"
"Trans Global Projects","73, Mehti Huseyn Str , Baku, Abseron, 1000","","","https://www.freightnet.com/profile/16537.htm","No"
"Yol Trans","3/2, F. Bayramov Str , Baku, Abseron, 1000","","","https://www.freightnet.com/profile/16539.htm","No"
"Safe Logistics & Courier Services","18 A. Jalilov streer , Baku, Abseron, 1011","","","https://www.freightnet.com/profile/17624.htm","No"
"Baku Cargo Terminal","Heydar Aliyev International Airport , Baku, Abseron, AZ1033","","","https://www.freightnet.com/profile/20234.htm","No"
"Sharaf Shipping Azerbaijan LLC","Azerbaijan Avenue 21, Office No 60, 2nd floor , Baku, Abseron, AZ 1000","","","https://www.freightnet.com/profile/21175.htm","No"
"International Logistics Systems","55 Z. Aliyeva Street , Baku, Azerbaijan, AZ1010","","","https://www.freightnet.com/profile/58882.htm","No"
"R-Logistics","Arif Heydarov 115, Baku , Baku, Azerbaijan, AZ1033","","","https://www.freightnet.com/profile/131266.htm","No"
