"name","address","phone","website","profileUrl","isPremiumMember"
"dorbes international","saha kobir mazar road , chala bhon ,azampur dhaka, dhaka, bangladesh, 1230","+8801704483919","","https://www.freightnet.com/profile/217786.htm","Yes"
"SMART AIR CARGO SERVICES","House -04, Road-11, Sector-01, Uttara, Dhaka -1230 , Dhaka, Bangladesh, 1230","","","https://www.freightnet.com/profile/265994.htm","No"
"Babul Cargo International","sorokunjo,hoimonti building,flat.no.15,3/26/6 sultangong,rayerbazar,dhaka-1209,bangladesh , do, Dhaka, Bangladesh, 1209","","","https://www.freightnet.com/profile/263284.htm","No"
"Rasull trading","P40 riyaz bagh Dhaka Bangladesh  , Do, Dhaka, Bangladesh, 1213","","","https://www.freightnet.com/profile/245058.htm","No"
"SMI COURIER, CARGO & SHIPPING","House-34, Road-01, Sector-03 , Uttara-1230, Dhaka, Dhaka, Bangladesh, 1230","","","https://www.freightnet.com/profile/133735.htm","No"
"Rajdhani Air Cargo Avation","VILl:Romonpur,Post:Muljan,Thana+Zilla: Manikgong , Manikgong, Resident, 1802","","","https://www.freightnet.com/profile/219549.htm","No"
"Express World Services","Go-93(1st Floor)Mini PlazaGulshan Baddah link Road,Middle Badda, Dhaka-1212,BangladeshTel:9852998 , same, Dhaka City, Dhaka, 1212","","","https://www.freightnet.com/profile/185124.htm","No"
"TLC Service Ltd.","18 Erectors House , Kemal Ataturk Avenue, Dhaka, Bangladesh, 1213","","","https://www.freightnet.com/profile/250634.htm","No"
"Sparrow mart","116, south goran, khilgaon dhaka , Dhaka, Bangladesh, 1219","","","https://www.freightnet.com/profile/230362.htm","No"
"Pacific Wave INC","House#539, Road#8, Dhaka, Bangladesh, 1216","","","https://www.freightnet.com/profile/208502.htm","No"
"WORLD FAMOUS LOGISTICS (BD)","House-53,55, Level-3, Road-3, Block-B, Niketon, Gulshan-1 , Dhaka, Bangladesh, 1212","","","https://www.freightnet.com/profile/204562.htm","No"
"Brothers Air Express","74/45, Sekander Market, Nandan kanon Housing, Flat-6/C, Ershal, Ashkona, Dakkhikhan,, Dhaka, DAKKHINKHAN, 1230","","","https://www.freightnet.com/profile/225252.htm","No"
"Air Fare BD","House-66, Road-01, Sec-12, Uttara , Dhaka, Dhaka, 1230","","","https://www.freightnet.com/profile/188702.htm","No"
"Ali Corporation","167/1/C, East-Kafrul Dhaka, Cantonment , Dhaka, Dhaka, 1206","","","https://www.freightnet.com/profile/183092.htm","No"
"SICHO Freight Solutions Limited","Unit- B2,House 41, Road-7 , Block G,, Banani, Dhaka, Bangladesh, 1213","","","https://www.freightnet.com/profile/177622.htm","No"
"Bpex Express & Logistic Ltd","111/A bramonpolly , J C guho Road, Mymensingh, Bangladesh, 2200","","","https://www.freightnet.com/profile/160724.htm","No"
"Topshine Cargo Services LTD.","House no-10, Road no-2,Sector-2,Block-D , Zohirul Islam City,Aftabnagor,Badda., Dhaka, Bangladesh, 1219","","","https://www.freightnet.com/profile/153590.htm","No"
"UNIGLOBAL","ROAD-13A,BLOCK-C,HOUSE-101(4TH FLOOR) , ROAD-13A,BLOCK-C,HOUSE-101(4TH FLOOR), DHAKA, BANGLADESH, 1212","","","https://www.freightnet.com/profile/152706.htm","No"
"Shaptoshi logistics ltd","Building no: 06, Suite A(5), road no # SW(H) Gulshan Avenue 1, Dhaka, Bangladesh, 1212","","","https://www.freightnet.com/profile/142428.htm","No"
"Span Travel & Logistics Ltd.","Plot no#42, Road no#135, Jabbar Tower, Gulshan-1, Dhaka-1212, Dhaka, Dhaka, 1212","","","https://www.freightnet.com/profile/139328.htm","No"
"CSL Corporation","Ka-59,Post Office Road,Khilkhet,Dhaka , Dhaka, Bangladesh, 1229","","","https://www.freightnet.com/profile/131619.htm","No"
"Global Freight Links","House# 27,Road # 12 ,Block# F,Niketan,Gulshan , Dhaka, Gulshan, 1212","","","https://www.freightnet.com/profile/134264.htm","No"
"Optimus Express and Logistics","House# 257, Road# 3, Baridhara Dohs , Dhaka, Bangladesh, 1206","","","https://www.freightnet.com/profile/113154.htm","No"
"H.R.M. Corporation Ltd","suite # 05, Level # 12, 67, Naya palton , City Heart building , Dhaka, Bangladesh, 1000","","","https://www.freightnet.com/profile/96532.htm","No"
"Seabridge Logistics Ltd.","House:546,Road:11 , Baitul Aman,Housing Society, Dhaka, Bangladesh, 1207","","","https://www.freightnet.com/profile/52802.htm","No"
"Skylark frieght services","h-24,rd,02, sec, 09, uttara , , Dhaka, 1230","","","https://www.freightnet.com/profile/50948.htm","No"
"SHIKMI EXPRESS & LOGISTICS SERVICES","House # 24 -A5, Road 18,Block -J, Banani,, Dhaka, Bangladesh, 1213","","","https://www.freightnet.com/profile/57974.htm","No"
"Premier Express Worldwide","394/1 D.I.T. Road, 3rd Floor, Rampura, Dhaka, Dhaka, 1219","","","https://www.freightnet.com/profile/56403.htm","No"
"Bismillah Airlines","Arafat Tower  , 94 DIT RD Mailbag, Dhaka, 1217","","","https://www.freightnet.com/profile/18330.htm","No"
"WESTAR INTERNATIONAL (PVT) LTD","Rajlaxmi Complex (5th Floor) , Plot-25, Road-7, Sector-3, Uttara, Dhaka, 1230","","","https://www.freightnet.com/profile/117858.htm","No"
