"name","address","phone","website","profileUrl","isPremiumMember"
"National Cargo Services","National Group Bangladesh, 161, Strand Road, Saber Plaza (2nd floor), Barik Building Circle, Agrabad, Chittagong, Bangladesh, 4100","+8801678062503","http://www.nationalgroupbd.com/","https://www.freightnet.com/profile/143132.htm","Yes"
"Manuma Shipping Lines","Chamber of Commerce, Agrabad, Chittagong, Other, 4100","01718093949","","https://www.freightnet.com/profile/180471.htm","Yes"
"BT Shipping","Noor Chamber, 34, Agrabad C/A, Chattogram, Chittagong, Chittagong, 4100","01815614120","http://www.btshipping.org/","https://www.freightnet.com/profile/168691.htm","Yes"
"RS Logistics Ltd","Road 19, House 262, New DOHS Mohakhali, Dhaka, Bangladesh, 1206","+8801738301115","http://www.rslogisticsbd.com/","https://www.freightnet.com/profile/137663.htm","Yes"
"RK FREIGHT LIMITED","House 01/A, Road 01, Setor 01, Uttara, Dhaka, Bangladesh, 1230","008801710897764","http://www.rkfreightltd.com/","https://www.freightnet.com/profile/148870.htm","Yes"
"CONFER CONTAINER LINE","Shatabdi Centre Rm#G-5(5TH FL,),292,Inner Circular, Road,Fakirapool,Dhaka-1000,Bangladesh., Dhaka, Dhaka, 1000","01713030591","http://confer-bd.com/","https://www.freightnet.com/profile/172144.htm","Yes"
"Marvel Freight Limited","House # 120, Flat-B-2, Road # 01, Block # F Banani,Dhaka ,email: khorshed@marvelgroupbd.com, Noor Chamber (3rd Floor), 34, Agrabad C/AChittagong-4100,email: khorshed@marvelgroupbd.com, Dhaka1213, Chittagong, 4100","+8801713001307","http://www.marvelgroupbd.com/","https://www.freightnet.com/profile/7637.htm","Yes"
"N Pacific Shipping Lines","Gawsia Bhaban, 5th Floor,156 SK Mujib road, Agrabad, C/A, Chattogram, Bangladesh, Chattogram, Bangladesh, 4100","88-02333310449, 880-1781129339(Whats app)","https://npacificshippingline.com/","https://www.freightnet.com/profile/251167.htm","Yes"
"ANTOR FREIGHT INTERNATIONAL","Abul Mansur Bhaban, 57/60 Azu Shah by lane, Agrabad, Chattogram, Chattogram, 4100","8801817261992","http://www.antorfreightbd.com/","https://www.freightnet.com/profile/242641.htm","Yes"
"TNM GLOBAL LOGISTICS","House-35, Road-12, Sector-04, Uttara, Dhaka, Bangladesh, 88/89 Agrabad, Pathantuli, Chattogram, Bangladesh, Dhaka, Bangladesh, 1230","+8801711432612","http://www.tnm-gl.com/","https://www.freightnet.com/profile/223829.htm","Yes"
"FNI Logistics Bangladesh Ltd","House 1, Road 5, Sector 1, Dhaka, Bangladesh, 1230","88 02 58957544","https://www.fnilogisticsltd.com/","https://www.freightnet.com/profile/262586.htm","Yes"
"ARK LOGISTICS","Aligarh House (1st Floor),146, Motijheel C/A,Dhaka-1000,Bangladesh., Mabud Chowdhury Center, Room No 5(C),3rd Floor,Fakirhat Bailane(Nuru Mia Lane), Chattagram, Bangladesh, Dhaka, Bangladesh, +880","+8801769990002","http://www.arklogisticsbd.com/","https://www.freightnet.com/profile/243846.htm","Yes"
"Ocean Bridge Shipping services","Road=14 House=05 sector=01 uttara, H-14, Dhaka, Bangladesh, 1230","+8801749757760","http://www.obssbd.com/","https://www.freightnet.com/profile/178521.htm","Yes"
"CDZ Global Logistics Ltd.","Lima Centre (5th floor) 204-B, Tejgaon Gulshan Link Road, Tejgaon, Dhaka 1208, Dhaka, Bangladesh, 1208","+8801730345181","","https://www.freightnet.com/profile/260042.htm","Yes"
"NABA Freight Services Ltd.","Fatema Heights, second floor (C2) 16, Agrabad C/A , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/263516.htm","No"
"Global Sea Air Cargo Service","KA 44/1 JOAR SHAHARA, LICHU BAGAN ROAD, VATARA, DHAKA-1229, BANGLADESH , DHAKA, BANGLADESH, 1229","","","https://www.freightnet.com/profile/233941.htm","No"
"Fast Forward Log","Wali Mansion(Ist floor) , 599, SK Mujib Road, Chowmuhani, Chattogram, Bangladesh, 4100","","","https://www.freightnet.com/profile/254330.htm","No"
"GLOBAL TRANS NETWORK LTD.","""Camelia house"", Plot-9 (5th floor), Road-13, Sector-4, Uttara, Dhaka-1230, Bangladesh , Dhaka, Bangladesh, 1230","","","https://www.freightnet.com/profile/265014.htm","No"
"Teamwork Logistics Limited","House-13,Road-16,Sector-03, Uttara Model Town, Dhaka - 1230, Dhaka, 1230","","","https://www.freightnet.com/profile/249681.htm","No"
"Crescent Cargo Services","Six Star Building (2nd. Floor), 413/B Agrabad C/A. , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/60518.htm","No"
"Best Global Shipping Lines","House:591, Road: 09, Avenue: 05, Mirpur DOHS,, Dhaka, Bangladesh, 1216","","","https://www.freightnet.com/profile/249863.htm","No"
"Secure Logistics Company Limited","House -16, Road -9/C, Nikunja-1, Dhaka , Dhaka, Bangladesh, 1229","","","https://www.freightnet.com/profile/264449.htm","No"
"Freight Lines (BD)","6 MOTIJHEEL C/A, 4TH FLOOR, DHAKA-1000,BANGLADESH , 1106, SK, MUJIB ROAD, CHITTAGONG, DHAKA, BANGLADESH, 1000","","","https://www.freightnet.com/profile/150771.htm","No"
"Awesome Network Ltd","House # 363 (4th Floor), Road # 5 Eastern Side , Baridhara DOHS, Dhaka, Bangladesh, 1206","","","https://www.freightnet.com/profile/160591.htm","No"
"Expert Freight limited","Southland Centre,(6th Floor),05.Agrabad Commercial Area, Chittagong-Bangladesh , Chittagong, Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/251476.htm","No"
"Rox International","House-65, Road-17, Block-C, Banani, Dhaka-1213, Bangladesh , Dhaka, Bangladesh, Dhaka-1213","","","https://www.freightnet.com/profile/245368.htm","No"
"Transport Partner Ltd","HOUSE# 248, LANE 3, BARIDHARA, DOHS, DHAKA - 1206 , BANGLADESH , DHAKA, Dhaka, 1206","","","https://www.freightnet.com/profile/259842.htm","No"
"VELEXO LOGISTICS","House No:704,Road no:24,CDA R/A ,Agrabad,Chittagong ,Bangladesh. , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/182869.htm","No"
"Sea Club Lines Ltd","Islam Chamber, 3fl  Agrabad , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/202145.htm","No"
"RMK WORLD FREIGHT LIMITED","House-51(5th floor), Road-15(Robindra Sharoni), Sector-03, Uttara , Dhaka, Bangladesh, 1230","","","https://www.freightnet.com/profile/262591.htm","No"
"Sky Bangla Aviation Limited","Sonartori Tower (7th Floor) , 12, Sonargoan Road, Dhaka 1000, Bangladesh, .","","","https://www.freightnet.com/profile/166450.htm","No"
"OCEAN BRIDGE SHIPPING SERVICES","ROAD=30 HOUSE=434 NEW DOHS MOHAKHALI , Jabed Tower (3Rd floor) 485 Sk Mujib Road Agrabad chittagong, DHAKA-1206, BANGLADESH, 1206","","","https://www.freightnet.com/profile/112594.htm","No"
"Cargobox Bangladesh Ltd","House No. 03, Road No. 04 , Sector no. 01, Dhaka, Bangladesh, 1230","","","https://www.freightnet.com/profile/262039.htm","No"
"JMT EXPRESS","48 , kazi nazrul islam avenue, Dhaka, Bangladesh, 1215","","","https://www.freightnet.com/profile/218013.htm","No"
"JMH Logistics Ltd.","4 Mohakhali C/A, Level-3 , Bir Uttom A. K. Khandakor Road., Dhaka, Dhaka, 1212","","","https://www.freightnet.com/profile/169024.htm","No"
"KHAN FREIGHT & LOGISTICS","Nazuba Manson(GF),Plot:10 & 12,Road No: 05,Block: G, Halishahar, Chittagong, Bangladesh , Chittagong, Bangladesh, 4216","","","https://www.freightnet.com/profile/262078.htm","No"
"fair deal shipping ltd","banani , banani, bangladesh, 1213","","","https://www.freightnet.com/profile/262024.htm","No"
"ASSOCIATE FREIGHT LTD","HOUSE#12, ROAD-02, MIRPUR-11, DHAKA , KA 25/35/36 SOUTH BADDA, BADDA, GULSHAN DHAKA, Badda, DHAKA, 1212","","","https://www.freightnet.com/profile/261932.htm","No"
"RADIUS LOGISTICS BANGLADESH","A.H.Tower (14/FL), Suite # 08, Plot # 56, Road # 02, Sector # 3,Uttara C/A, Dhaka-1230, Bangladesh,","","","https://www.freightnet.com/profile/115783.htm","No"
"PRIME CARGO TRANSPORTATION SYSTEMS LTD","Hashim Tower (7th Floor)  , 205/1-A Gulshan-Tejgaon Link Road  Gulshan., Dhaka, Bangladesh, 1212, Mobile: +8801711945828 (WhatsApp)","","","https://www.freightnet.com/profile/257454.htm","No"
"Mariners Transport System Co.Ltd","Isabella Tower (6th Floor)  Level # 6, Plot # 1, Road # 7, Block # G  P.C Road , Halishahar Housing Estate, Chittagong, Bangladesh , Isabella Tower (6th Floor)  Level # 6, Plot # 1, Road # 7, Block # G  P.C Road , Halishahar Housing Estate, Chittagong, Bangladesh, Chittagong, BANGLADESH, 4100","","","https://www.freightnet.com/profile/92765.htm","No"
"TWExpress - Int'l freight forwarder sea & air","House No # 602,5TH Floor.  , Road No # 08,Avenue No # 06., Mirpur DOHS. Dhaka-1216, Bangladesh, 1216","","","https://www.freightnet.com/profile/111827.htm","No"
"Bengal Airlift Limited","Landmark Building 13th Floor, Gulshan-2 , Dhaka, Bangladesh, 1212","","","https://www.freightnet.com/profile/261201.htm","No"
"Freightcon International services Ltd","49 Motijheel C/A 8th floor, Room n-907 Dhaka-1000, Bangladesh . , Dhaka, Bangladesh, 1000","","","https://www.freightnet.com/profile/204796.htm","No"
"Glink Freight Limited","Plot No.7 (Lift-4), Road No. 13, Sector No.1, Uttara, Dhaka- 1230, Bangladesh , SM Tower (Lift-2) 50/1, Agrabad, C/A, Chittagong-4100, Bangladesh, Dhaka, Bangladesh, 1230","","","https://www.freightnet.com/profile/260593.htm","No"
"KHAN LOGISTICS LTD","ROAD NO. 9 HOUSE NO.5 SECTOR 3 UTTARA ,DHAKA -1230,BANGLADESH  , UTTARA , DHAKA, BANGLADESH, DHAKA 1230","","","https://www.freightnet.com/profile/260368.htm","No"
"AFS Global Logistics Ltd.","B-110 (2nd Floor), Road 8, New D.O.H.S., Mohakhali , overseas@afsbd.com, Dhaka, Dhaka, 1206","","","https://www.freightnet.com/profile/10667.htm","No"
"C-LINE SHIPPING AND LOGISTIC","Corporate Ofiice: Suvastu Tower, House-20 (9th Floor), Road-Shah Jalal Avenue, Sector-4, Uttara, Dhaka-1230 , Dhaka, Bangladesh, 1230","","","https://www.freightnet.com/profile/171320.htm","No"
"SINOBEN CARGO SYSTEM LTD","60,AGRABAD C/A (2ND FLOOR) , , Chittagong, 4100","","","https://www.freightnet.com/profile/52091.htm","No"
"SEA BORNE INTERNATIONAL","Darr-e-sahidi building(3rd floor),69,agrabad,chittagong , SAGUFTA  DE JAMIL ,R#23/B,H#01,GULSHAN-01,Dhaka, chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/259721.htm","No"
"Edison Logistics Limited","7th Floor, Rangs Babylonia, Bir Uttam Mir Shawkat Road, Tejgaon I/A, Dhaka, Bangladesh, 1208","","","https://www.freightnet.com/profile/257562.htm","No"
"Rehima Express Line c/o Ocean Transportation Services","522 SK Mujib Road (4th Floor), Agrabad C/A, Chattogram, Chattogram, 4100","","","https://www.freightnet.com/profile/259310.htm","No"
"Dorbes International","Floor-03, House-98100, Road-10, Block-D, Niketon, Gulshan-1, Dhaka-1212, Bangladesh , Corporate Address: Floor-03, House-98/100, Road-10, Block-D, Niketon, Gulshan-1, Dhaka-1212, Bangladesh, Dhaka, bangladesh, 1212","","","https://www.freightnet.com/profile/258918.htm","No"
"R&P Logistics","Floor-03, House-98100, Road-10, Block-D, Niketon, Gulshan-1, Dhaka-1212, Bangladesh , Corporate Address: Floor-03, House-98/100, Road-10, Block-D, Niketon, Gulshan-1, Dhaka-1212, Bangladesh, Dhaka, bangladesh, 1212","","","https://www.freightnet.com/profile/258917.htm","No"
"Sam International","Narayanganj  , Narayanganj, Dhaka, +8801950015581","","","https://www.freightnet.com/profile/258736.htm","No"
"CUBE Transportation","23, GOPIBAG, 1ST LANE , Dhaka, Bangladesh, 1203","","","https://www.freightnet.com/profile/158504.htm","No"
"Primeway Logistics Ltd","Uttara, Dhaka,Bangladesh , Dhaka, Bangladesh, 1230","","","https://www.freightnet.com/profile/258022.htm","No"
"Freightcon International Services Ltd","49, Motijheel C/A, 8Th Floor, Suite#907 , Dhaka, Bangladesh, 1000","","","https://www.freightnet.com/profile/227876.htm","No"
"AMC INTERNATIONAL COMPANY","180/b, Baba House, Chowdhurypara, Khilgaon, Dhaka-1219 , Rahman Mansion, 161, Motijheel C/A, Dhaka-1000, Dhaka, Dhaka Division, 1219","","","https://www.freightnet.com/profile/257373.htm","No"
"SPEEDY SHIPPING (BD) LIMITED","House:04,Road:11,Sector:01,Uttara Model Town, Dhaka. , Dhaka, BANGLADESH, 1230","","","https://www.freightnet.com/profile/257408.htm","No"
"Alliance Global Logistics","House #486 (1st Floor), Road #32, New DOHS Mohakhali , Dhaka, Bangladesh, 1206","","","https://www.freightnet.com/profile/179190.htm","No"
"GTS Logistics International Ltd","MS Center, 8 Mohakhali C/A, Dhaka, Bangladesh , Dhaka, Bangladesh, 1212","","","https://www.freightnet.com/profile/256885.htm","No"
"Skyline Aviation","House 7, Lane 6, Block A, Section 10, Mirpur, Ground Floor, Dhaka, Bangladesh, 1216","","","https://www.freightnet.com/profile/256916.htm","No"
"NOOR AIR CARGO LIMITED","House # 22 , Road # 18, Uttara, Dhaka, 1230","","","https://www.freightnet.com/profile/256398.htm","No"
"APOLLOLINE Shipping Service","House 06, Road 17/B , Sector 12, Dhaka, Dhaka, 1230","","","https://www.freightnet.com/profile/254755.htm","No"
"SEA BORNE INTERNATIONAL","Road 23/B, House 1, Gulshan 1, Dhaka , 69, Agrabad C/A, (3rd Floor), Chittagong-4100, Dhaka, Bangladesh, 1212","","","https://www.freightnet.com/profile/255509.htm","No"
"SKM SHIPPING & LOGISTIC SERVICES","AMEER COURT (1ST FLOOR) , 1022, AGRABAD C/A, CHITTAGONG., BANGLADESH, 4100","","","https://www.freightnet.com/profile/235245.htm","No"
"Regent Container Line","56 Agrabad C/A  , Jibon Bima Bhaban (2nd Floor), Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/235020.htm","No"
"TT SHIPPING AND LOGISTICS","Day Night Shiraj Tower, Ta- 114(4th Floor), Gulshan- Badda Link Road, Dhaka, Dhaka, 1212","","","https://www.freightnet.com/profile/254639.htm","No"
"Innovate Logistics & Services","M.F. Tower ((6th Floor) , 57/60, Badamtoli, Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/157251.htm","No"
"NASH Logistics Ltd","Nib House (1st Floor) , 32 Agrabad C/A, Chittagong, 4100","","","https://www.freightnet.com/profile/5525.htm","No"
"CGATE NAVIGATION LIMITED","Bangladesh,Dhaka-1212,Banani,Road-13 (C),BLOCK-E , Ctg,Agrabad,Shahajadi Chamber 7th floor., Dhaka, BANGLADESH, 1212","","","https://www.freightnet.com/profile/254117.htm","No"
"J - Freight Logistics","House - 16 (Ground Floor), Road - 05, Sector - 01 , Uttara Model Town, Dhaka, 1230","","","https://www.freightnet.com/profile/193052.htm","No"
"Fast Freight International","Parabat Center(4th Floor), 472, Sk. Mujib Road, Agrabad, Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/148839.htm","No"
"AMBROSIA SHIPPING LTD","Saber Tower (3rd Floor), 161, Strand Road, Barek Building Mor, Agrabad,, Chattogram, Chittagong, 4100","","","https://www.freightnet.com/profile/251847.htm","No"
"Brisk Logistics International Ltd.","House # 431, Road # 30, New DOHS Mohakhali,, Dhaka, Bangladesh, 1206","","","https://www.freightnet.com/profile/252394.htm","No"
"Ban-Viet Company Limited","OAK Ridge, House#55, Road#08, Block# D, Niketon, Gulshan, Dhaka , Dhaka, Bangladesh, 1213","","","https://www.freightnet.com/profile/252427.htm","No"
"Big International Company Ltd-Bangladesh","House no: 14 Road no: 06 Sector no: 01 Uttara , Dhaka-1230 , 613/2 Gazipur , 1230, Dhaka, Bangladesh, 1230","","","https://www.freightnet.com/profile/97192.htm","No"
"BRISK LOGISTICS INTERNATIONAL LTD","Dhaka Office: House # 431(4th Floor), Road # 30, New DOHS,  Mohakhali, Dhaka-1206, Bangladesh. , Dhaka, Bangladesh, 1206","","","https://www.freightnet.com/profile/219241.htm","No"
"Mars Air & Sea freight","House No.431(3rd Floor), Road No.30, New Dohs,Mohakhali, Dhaka -1206, Dhaka, Bangladesh, 1206","","","https://www.freightnet.com/profile/225613.htm","No"
"Winsome Impex Logistic","House no: 225, Ak Tower, Sk Mujib road, Agrabad , Chattogram, Bangladesh, 4100","","","https://www.freightnet.com/profile/215040.htm","No"
"Marshal Logistics Services","Zakir Mansion - 4th Floor, 1693, Sheikh Mujib Road, Chittagong, Bangladesh, 4200","","","https://www.freightnet.com/profile/111176.htm","No"
"Unique Trade Centre","22 no., J.M. Paradise, 1st Floor, Momin Road, Andarkilla , Chattogram, Bangladesh, 4000","","","https://www.freightnet.com/profile/241157.htm","No"
"CONFER CONTAINER LINE","Shatabdi Centre Rm # 5-G (5TH FL,), 292,Inner Circular Road, Fakirapool, Dhaka-1000, Bangladesh. , Dhaka, BANGLADESH, 100","","","https://www.freightnet.com/profile/244668.htm","No"
"HUB FREIGHT (BANGLADESH) LTD","9/18 Eastern Plaza(8th floor),70 Bir Uttam CR Dutta Road,Hatir Pool , , Dhaka, 1205","","","https://www.freightnet.com/profile/21984.htm","No"
"Freight Compass Logistics Bangladesh Ltd","139/1, Akhand Villa (4th floor), Matikata, Dhaka Cantt, Dhaka-1206 , Dhaka, Bangladesh, 1206","","","https://www.freightnet.com/profile/218959.htm","No"
"Ultramarine Cargo Services Ltd","290/2 Sonargaon Road (2nd floor) , , Dhaka, 1205","","","https://www.freightnet.com/profile/51051.htm","No"
"Rahat Corporate","Garments Goli Chowrasta , East Padardia, Dhaka, Bangladesh, 1212","","","https://www.freightnet.com/profile/245251.htm","No"
"SKY FREIGHT INTERNATIONAL LTD","HOUSE#26/A,ROAD#02,SECTOR#03,UTTARA,DHAKA-1230 , DHAKA, BANGLADESH, 1230","","","https://www.freightnet.com/profile/177515.htm","No"
"Cargo One Limited","House 03 ( 5th floor ), Road 15, Uttara , Sector 01, Dhaka, Bangladesh, 1230","","","https://www.freightnet.com/profile/186318.htm","No"
"AFFINITY LOGISTICS LTD","8990 , Chittagong-4100,Bangladesh, CHITTAGONG, Bangladesh, 4100","","","https://www.freightnet.com/profile/243540.htm","No"
"Mars Freight Bangladesh Ltd.","56/2 Dynasty Wahed Tower, West panthapath, Lake Circus, Kalabagan, Dhaka-1205 , Dhaka, Bangladesh, 1205","","","https://www.freightnet.com/profile/241983.htm","No"
"Atlas Logistics Bangladesh (Pvt) Ltd.","Prime Tower (9th floor), 180-181, Syed Nazrul Islam Sarani, Bijoynagar , dhaka, Bangladesh, 1000","","","https://www.freightnet.com/profile/240859.htm","No"
"TOWER FREIGHT LOGISTICS LTD.","DHAKA , DHAKA, Bangladesh, 1936","","","https://www.freightnet.com/profile/219653.htm","No"
"AIR AND SEA FREIGHT LIMITED","HOUSE-694 (1ST FLOOR), ROAD: 09, MAIN ROAD, MIRPUR DOHS , DHAKA., BANGLADESH, 1216","","","https://www.freightnet.com/profile/227872.htm","No"
