"name","address","phone","website","profileUrl","isPremiumMember"
"ASIATIC FLEET SERVICES","Unit 01, 4th floor, Hazi para Singapore market, Agrabad Access Road, Chittagong port in Bangladesh. , Unit 02, 4th foor, Singapore market, Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/264422.htm","No"
"OceanGate Marine International","3rd Floor, Singapore Market, Hazipara,  Agrabad Access Road , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/263451.htm","No"
"N.K. Marine Service","South Land Center, Office Block (8th Floor) , Agrabad Access Road, Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/262407.htm","No"
"Bangladesh Ship Supply","Daar-E-Shahidi (3rd Floor), 69, Agrabad C/A , Chittagong, Chittagong, 4100","","","https://www.freightnet.com/profile/133660.htm","No"
"NMC Ship Supply","Mouri Corner, 4th Floor, Boropole, G Block, Halishahar, Chittagong, Chittagong, 4216","","","https://www.freightnet.com/profile/224640.htm","No"
"SeaAll international","19/5 SRB Road, Banglabazar, Near Rashid Building, 4100 Chittagong , Chittagong, Bangladesh, 4317","","","https://www.freightnet.com/profile/223535.htm","No"
"NMC Ship Supply","Mouri Corner, 4th Floor , Boropole, G Block, Halishahar, Chittagong, 4216","","","https://www.freightnet.com/profile/224438.htm","No"
"International Marine Distribution","Jahin Complex, Port Connecting Road, 4100 Halishahar. , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/200311.htm","No"
"Anahita Ship Supplies-Chittagong","69 Majirghat, East Madarbari, Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/207849.htm","No"
"SeaServ international","19/5 SRB Road, Banglabazar , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/198028.htm","No"
"Gulf Marine Services","Chittagong , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/100007.htm","No"
"Southwind Marine Trade","Tr. Bldg (Level-1) B. M School Lane. , Chittagong, Bangladesh., 4100","","","https://www.freightnet.com/profile/185495.htm","No"
"Zebun Marine Link","House # 14, 1st Floor, Road # 01, Block # L, HaliShahar, AgraBad, Chittagong – 4100, Bangladesh. , accord building(1st Floor)991/1030,gosaildanga,strand road,chattogram-4100,Bangladesh, chattogram, Bangladesh, 4100","","","https://www.freightnet.com/profile/182339.htm","No"
"MAA MARINE SUPPLIER","19/5 SRV ROAD BANGLABAZAR , NEAR RASHID BUILDING, CHITTAGONG, BANGLADESH, 4100","","","https://www.freightnet.com/profile/179686.htm","No"
"M/S. SAS Marine Service","Shafi Bhabon ( 1st Floor ) Panwala Para, North Agrabad. Chittagong, Bangladesh. , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/169969.htm","No"
"Peninsula Marine Services","15, mehadibag road , Chittagong, Chittagong, 4000","","","https://www.freightnet.com/profile/161620.htm","No"
"POSEIDON MARINE SERVICES","KHATUNGANJ , , Chittagong, 4000","","","https://www.freightnet.com/profile/51771.htm","No"
"Innovation Marine International","110, Abdul Latif Market(2nd floor), Near 03 no port gate. , Fakirhat, Bandar, Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/54639.htm","No"
"SEA GEARS","198/A, Port Connecting Road Nimtola,Bandor, Chittagong, Bangladesh , 198/A, Port Connecting Road Nimtola,Bandor, Chittagong, Bangladesh, CHITTAGONG, BANGLADESH, 4100","","","https://www.freightnet.com/profile/143288.htm","No"
"TAREQUE ENTERPRISE","Arup Bhaban (1st floor), 107 Agrabad C/A , Chittagong, Chittagong, 4100","","","https://www.freightnet.com/profile/120039.htm","No"
"N.J. MARINE SUPPLIERS","100,Strand Road, Kulsuma Building,2nd floor, Mazirghat,Chittagong , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/100216.htm","No"
"Southwind Marine Trade","Tr. Bldg Level-1 B. M Shchool Lane , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/107233.htm","No"
"Seawave Marine Service- CGPBD","Amrito plaza 3rd Floor, 7, Sk. Mujib Road, Chittagong, Chittagong, 4100","","","https://www.freightnet.com/profile/88260.htm","No"
"Trade Made Corporation","2311/A, North Agrabad, Chittagong , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/111197.htm","No"
"SIS Logistical System Ltd","House. B-175, Road, 23, New DOHS Mohakhali , Sajib Plaza (2nd Floor), 12/A P.C. Road, Block- G, Halishahar Housing Estate, Chittagong - 4216, Dhaka, Bangladesh, 1206","","","https://www.freightnet.com/profile/109129.htm","No"
"United Fleet Services","8Ghosail Danga, Chittagong port. , Chittagong, Bandar, 4100","","","https://www.freightnet.com/profile/105615.htm","No"
"FMC MARINE GROUP(FMC)","1627-A, Zakir Hossain road, Nasirabad,Chittagong.Bangladesh , chittagong, Bd, 4225","","","https://www.freightnet.com/profile/105495.htm","No"
"Lily Shipping Service","Bondar tila city corporation market 2nd floor , Bondar tila city corporation market 2nd floor, Chittagong port, Bangladesh Chittagong, 4100","","","https://www.freightnet.com/profile/92935.htm","No"
"KMS-Khawja Marine Services","960,B-Naglane , Goshildanga, Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/90506.htm","No"
"Goodwill Ship Management","Konna Villa, New Mooring, South Halishahar , Chittagong, Chittagong, ASIA, 4100","","","https://www.freightnet.com/profile/88309.htm","No"
"Active BD Ship Chandler Company","Pintu Villa, New Mooring, South Halishahar , Chittagong,Bangladesh., Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/87492.htm","No"
"A1 shipping Line","Bandartila City Corporation market ,2nd Floor Chittagong , Bangladesh. , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/85430.htm","No"
"A Mahua Merine Services","M/S. Mahua Marine Services M. N. Mansion. 2514/A. Alisha Para nearest of  train line. south haly shohore .bondor tila.  Chittagong, Bangladesh. , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/62535.htm","No"
"M/S. IQRA ENTERPRISE","Office:- 107, Fakir hat Road, Bandar, Chittagong, Bangladesh , Office:- 107, Fakir hat Road, Bandar, Chittagong, Bangladesh, CHITTAGONG, BANGLADESH, 4300","","","https://www.freightnet.com/profile/63423.htm","No"
"Universal Marine Supplies","231,Strand Road,Banglabazar , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/62221.htm","No"
"SEA ANCHOR MARINE SERVICE","Amanat tower , 2nd floor, Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/57909.htm","No"
"M/S MADINA ENTERPRISE","P.C Road, Nimtola, Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/55892.htm","No"
"Seasafe","Ayub Trade Centre (8th Floor) , 1269/B Sheikh Mujib Road, Agrabad, Chittagong, 4100","","","https://www.freightnet.com/profile/54254.htm","No"
"Sikder Marine Services","Haji Mohammed Ali Building (1st Floor) , 960, B-Nag Lane, Gosail Danga, Agrabad, Chittagong, 4100","","","https://www.freightnet.com/profile/19168.htm","No"
"SEA ANCHOR MARINE SERVICE","Jajor Mansion, 2nd floor, 58 goshial danga, near shargorika, chittagong, bangladesh, 4100","","","https://www.freightnet.com/profile/81848.htm","No"
"M/s. Chittagong Sea King","Akmal Ali Road, Bandar , Chittagong, Chittagong, 4218","","","https://www.freightnet.com/profile/88274.htm","No"
"Oceantra Ship Supply & Trading Int'l","Commercial Area , Agrabad, CHITTAGONG, Agrabad, 4100","","","https://www.freightnet.com/profile/103250.htm","No"
"Ocean Fleet Services","Taher Building (1st floor) Barik Mia School Laine,8 Gosaildanga,Agrabad, ---, Chittagong, ctg/Bangladesh, 4100","","","https://www.freightnet.com/profile/108355.htm","No"
