"name","address","phone","website","profileUrl","isPremiumMember"
"Eastern Overseas Shipping Lines  Ltd.","HS 19 & 20,Road no.113/A. Gulshan-2. , Dhaka, Bangladesh, 1212","","","https://www.freightnet.com/profile/182045.htm","No"
"Sea King Marine Services Limited","10th Floor, Akthruzzaman Center, 21/22- Agrabad C/A, Chittagong Bangladesh. , Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/195500.htm","No"
"Chittagong Port Agent","Daar-E-Shahidi (3rd Floor) , 69, Agrabad C/A, Chittagong, Bangladesh, 4100","","","https://www.freightnet.com/profile/129908.htm","No"
"Blossom Shipping Services Ltd.","Newmuring , Bandar, Chittagong, 4100","","","https://www.freightnet.com/profile/115854.htm","No"
"Sea Lloyd","Banasree , Dhaka, Dhaka, Bangladesh, 1000","","","https://www.freightnet.com/profile/137201.htm","No"
"ABLE SHIPPING LINE","AGRABAD C/A , CHITTAGONG, CHITTAGONG, BANGLADESH, 4100","","","https://www.freightnet.com/profile/115452.htm","No"
"PROMINENT SHIPPING LINES LTD","71 Motijheel C/A, 3rd Floor, Dhaka -1000,bangladesh , 10 sk. mujib road, barik building agrabad, chittagong, bangladesh, Dhaka, Dhaka, 1000","","","https://www.freightnet.com/profile/83064.htm","No"
"China Shipping Container Co. Ltd","Rupayan Karim Tower (8th Floor), 80 VIP Road, Kakrail, DHAKA, Dhaka, 1000","","","https://www.freightnet.com/profile/5949.htm","No"
"ALIF INTERNATIONAL AGENCY","Uday Chand Supar Market (3rd Floor) , 7, Sk. Mujib Road, Chittagong, Chittagong","","","https://www.freightnet.com/profile/53384.htm","No"
"Marine Agency Service Ltd","Faruk Chambers , Agrabad, Chittagong, 4100","","","https://www.freightnet.com/profile/11618.htm","No"
"Great Way Marine International","House No-10, Road No-6, Block-G, Halishahar H/E, Chittagong, Chittagong, 4100","","","https://www.freightnet.com/profile/94888.htm","No"
"js shipping ltd","shafi bhaban level 1 agrabad c/a bangladesh , chittagong, bangladesh, 4100","","","https://www.freightnet.com/profile/114531.htm","No"
