"name","address","phone","website","profileUrl","isPremiumMember"
"Worldwide Freight & Cargo Services","Marine Trading Complex , Black Rock Main Road, Bridgetown, Barbados, 0000","","","https://www.freightnet.com/profile/141734.htm","No"
"Ideal Logistics Solutions","#48 Lower Gall Hill , Christ Church, Barbados, BB17057","","","https://www.freightnet.com/profile/144428.htm","No"
"Alinnza Barbados Ltd","Carters Road , Bridgetown, Bridgetown, 00000","","","https://www.freightnet.com/profile/220510.htm","No"
"246 SHIP DIRECT","OLD OCEAN PARK COMPLEX , BALL PARK CHRIST CHURCH, Bridgetown, BB, 00000","","","https://www.freightnet.com/profile/142499.htm","No"
"CARIBBEAN TRADE LOGISTICS ADVISORS INC","Suite #1, Corner St. Leonard's Avenue & Westbury Road , Bridgetown, St. Michael, BB11152","","","https://www.freightnet.com/profile/150237.htm","No"
"PEAK Customs Agency","""Asher"" Yearwood Development #2 , Clevedale, Black Rock, St. Michael, 12032","","","https://www.freightnet.com/profile/106949.htm","No"
"Caribbean Freight & Cargo Services","Glebe Land No.1 , St George, Bridgetown, Barbados, 00000","","","https://www.freightnet.com/profile/115801.htm","No"
"GGCB  Consolidation","Lower Deacons Road, St. Michael,","","","https://www.freightnet.com/profile/2539.htm","No"
"Eric Hassell & Son Limited","Carlisle House , Hincks Street, Bridgetown,","","","https://www.freightnet.com/profile/9195.htm","No"
"Professional Brokers Agency Co Ltd","P.O.Box F-42330 , Freeport, Grand Bahama Island,","","","https://www.freightnet.com/profile/9199.htm","No"
"Caribbean American Shipping","P.O.Box 3662 , St.Georges, Grenada,","","","https://www.freightnet.com/profile/9202.htm","No"
"Alwin Brown Customs Broker Services","Building #2 Grantley Adams Intl Estate , Christ Church,","","","https://www.freightnet.com/profile/9209.htm","No"
"Renwals Import & Export Services","Crumpton Street, Bridgetown,","","","https://www.freightnet.com/profile/9210.htm","No"
"BJ Customs & Consolidators","Speightstown , St Peter, Saint Michael, 00000","","","https://www.freightnet.com/profile/19230.htm","No"
"WorldWide Freighting Agencies","29 Tulip Drive  , Warners Park, Christ Church, Barbados, B14009","","","https://www.freightnet.com/profile/21491.htm","No"
