"name","address","phone","website","profileUrl","isPremiumMember"
"F&D International Logistics","Valkenlaan 68, Antwerpen-Kapellen, Vlaanderen, B-2950","+3233048057","http://www.fdi-logistics.com/","https://www.freightnet.com/profile/261889.htm","Yes"
"FIRAT SHIPPING &TRADING SPRL","RUE DES FRANCS ARQUBUSIERS 31, VISE, LIEGE, 4600","0489826385","http://www.firatglobal.com/","https://www.freightnet.com/profile/232171.htm","Yes"
"Zeus.aero","Nieuwpoortsesteenweg 943, Ostend, Flanders, 8400","+3259460203","https://www.zeus.aero/","https://www.freightnet.com/profile/190197.htm","Yes"
"VIRA","kortrijksepoortstraat 257 bus 102 , Gent, belgium, 9000","","","https://www.freightnet.com/profile/253535.htm","No"
"OMNIFREIGHT BV","Belgium , Antwerp, Antwerp, Italielei 211","","","https://www.freightnet.com/profile/252724.htm","No"
"DIRCO EXPRESS CARGO","LOCAL 015, AVENUE DE LOUISE 65 , BRUXELLES, BELGIQUE, 1050","","","https://www.freightnet.com/profile/207451.htm","No"
"Libertas LLP nv","Frankrijklaan 29-31 , Poperinge, Belgium, 8970","","","https://www.freightnet.com/profile/171579.htm","No"
"IMS Shipping","Duboisstraat 39 , Antwerp, Antwerp, 2060","","","https://www.freightnet.com/profile/96428.htm","No"
"Umoja Worldwide Logistics Ltd ( Europe)","Machelen , Machelen, Belgique, 1830","","","https://www.freightnet.com/profile/236722.htm","No"
"Naz Bv","Haantjeslei  , 136, Antwerpen, Zuid, 2018","","","https://www.freightnet.com/profile/248465.htm","No"
"PRIORITY T.","Stefan cel Mare no.24 , ANTWERPEN, Belgium, 110002","","","https://www.freightnet.com/profile/135593.htm","No"
"LOGEX EU SRL","Boulevard Louis Mettewie 46/33 1080 Molenbeek-Saint-Jean , Brussels, Belgium, 1080","","","https://www.freightnet.com/profile/224898.htm","No"
"Braanker Worldwide B.V.","Nieuwland Parc 211 , Alblasserdam, Nederlands, 2952 DC","","","https://www.freightnet.com/profile/148216.htm","No"
"Idrissa bv","Maatsweg 12 , , Antwerp, 2060","","","https://www.freightnet.com/profile/195738.htm","No"
"Z-tra","Belegstraat , Antwerpen, Antwerpen, 2018","","","https://www.freightnet.com/profile/159683.htm","No"
"ULP Belgium bv","Schouwkensstraat 7 , Antwerpen, Antwerp, 2030","","","https://www.freightnet.com/profile/184443.htm","No"
"TMT Services","Wolvenstraat , ROOSDAAL, Vlaams Brabant, 1760","","","https://www.freightnet.com/profile/85846.htm","No"
"Excell Consulting & Export","Place du Marché 4 , Verviers, Liège, 4800","","","https://www.freightnet.com/profile/162344.htm","No"
"Air Time Critical - emergency air freight","BELGIUM - Brussels airport Zaventem - 706 Brucargo , cargo partner office, Machelen, Zaventem Airport, 1830","","","https://www.freightnet.com/profile/134897.htm","No"
"Romfracht SPRL","Rue Joseph Stevens 7 , Bruxelles, Belgium, 1000","","","https://www.freightnet.com/profile/154339.htm","No"
"foodcareplus","Sneeuwbeslaan 14 , Wilrijk, Antwerp, 2610","","","https://www.freightnet.com/profile/146562.htm","No"
"Cosmo Freight ®","rue es Sables 12/A Bt 202 , Brussels, Brussels, 1000","","","https://www.freightnet.com/profile/92270.htm","No"
"AANEST","PLUVIERSTRAAT 7 , ANTWERP, BELGIUM, 2050","","","https://www.freightnet.com/profile/56947.htm","No"
"World Freight Agencies NV","Rijnkaai 20 , , Antwerpen - Anvers, 2000","","","https://www.freightnet.com/profile/12499.htm","No"
"GCL OVERSEAS BVBA","STARRENHOFLAAN 43 / 01 , KAPELLEN, Antwerp, 2950","","","https://www.freightnet.com/profile/98383.htm","No"
"Astros","Noorderlaan 139 , , Antwerpen - Anvers, B-2000","","","https://www.freightnet.com/profile/387.htm","No"
"pavan flanders","westlaan 466/2 , roeselare, west vlaanderen, 8800","","","https://www.freightnet.com/profile/91674.htm","No"
"Remant Logistics NV","Oudeleeuwenrui 25 , Antwerpen, Antwerpen, 2000","","","https://www.freightnet.com/profile/253.htm","No"
"Hamann International NV","Molenbergstraat 10 , , Antwerpen - Anvers, B-2000","","","https://www.freightnet.com/profile/703.htm","No"
"Antrex Shipping n v","Verschansingstraat 54/13 , , Antwerpen - Anvers,","","","https://www.freightnet.com/profile/7754.htm","No"
"IMSHIP Comm.V.","Frankrijklei 24, Bus 4-A  , Vlaanderen, Antwerpen - Anvers, 2000","","","https://www.freightnet.com/profile/20366.htm","No"
"Finnakker Maritime","Franklin Rooseveltplaats 12 , Antwerpen, Belgium, 2060","","","https://www.freightnet.com/profile/118225.htm","No"
"aqualief cargo trade shipping","16 place A. Lemmens , bussels, belgium, 1070","","","https://www.freightnet.com/profile/90747.htm","No"
"ETS Abouzeid","Rue Heyvaert 102-104 , Brussels, Belgium, 1070","","","https://www.freightnet.com/profile/104532.htm","No"
"Animal Logistics Worldwide","Bedrijvenzone Machelen Cargo , Building 733 - 1st floor, Machelen, Belgium, 1830","","","https://www.freightnet.com/profile/109519.htm","No"
"Aviaflex Logistics","bldg 17 , Liege Airport, Grace -Hollogne, Belgium, 4460","","","https://www.freightnet.com/profile/96314.htm","No"
"Remant Globe NV","Oude Leeuwenrui 25-27 , , Antwerpen - Anvers, 2000","","","https://www.freightnet.com/profile/21690.htm","No"
"Sealiner N.V.","Noorderlaan 127 A , , Antwerpen - Anvers, B2030","","","https://www.freightnet.com/profile/10110.htm","No"
