"name","address","phone","website","profileUrl","isPremiumMember"
"Kales Airline Services","Building 735 3 , Brucargo, Bruxelles - Brussel, 1931","","","https://www.freightnet.com/profile/21529.htm","No"
"Air Logistics Group","Hector Henneaulaan 144 3 , Zaventem, Vlaams Brabant - Brabant Flamand, 1930","","","https://www.freightnet.com/profile/21519.htm","No"
"ACT Airline Representative","Building 706 Bus 91 , Room 7108, Brucargo, Bruxelles - Brussel, 1931","","","https://www.freightnet.com/profile/21517.htm","No"
"Cargo Wings","Building 704 Bus 10 , Room 119, Brucargo, Bruxelles - Brussel, 1931","","","https://www.freightnet.com/profile/21523.htm","No"
"Global Airline Services","Building 706 Bus 72 , Room 7113, Brucargo, Bruxelles - Brussel, 1931","","","https://www.freightnet.com/profile/21525.htm","No"
"Inter Aviation Services Bvba","Building 709 Bus 23 Room 132 , Brucargo, Bruxelles - Brussel, 1931","","","https://www.freightnet.com/profile/21528.htm","No"
"Network Airline Services","Ringweg, Building 26 , Zaventem, Vlaams Brabant - Brabant Flamand, 1930","","","https://www.freightnet.com/profile/21530.htm","No"
"Spreadair","Building 704 Bus 2 , Room 117, Brucargo, Bruxelles - Brussel, 1931","","","https://www.freightnet.com/profile/21532.htm","No"
"Swift Airline Services","Bosstraat 13 , Zaventem, Vlaams Brabant - Brabant Flamand, 1930","","","https://www.freightnet.com/profile/21533.htm","No"
"Via 17 (C/O Air Canada)","Building 712 , Bus 3, Brucargo, Bruxelles - Brussel, 1931","","","https://www.freightnet.com/profile/21534.htm","No"
