"name","address","phone","website","profileUrl","isPremiumMember"
"Duncan Logistics TRANSPORTEJNG By ROSANIEL SRL","Calle Calama No 59 Esquina Cobija UV125 MZ30 BARRIO CALAMA , SANTA CRUZ DE LA SIERRA, SANTA CRUZ DE LA SIERRA, 0591","+59178001014  + 59175035588","http://www.transportejng.com/","https://www.freightnet.com/profile/199656.htm","Yes"
"Navicargo S.R.L.","Juan de la Riva Nº 1406 , , La Paz,","","","https://www.freightnet.com/profile/24005.htm","No"
"OPEN LOGISTICS SRL","CALLE LOS PINOS NRO 42 , ESQUINA LAS PALMERAS, SANTA CRUZ, BOLIVIA, 0000","","","https://www.freightnet.com/profile/260587.htm","No"
"BIC Lines","Av. 20 de Octubre 2601 , La Paz, La Paz, 000","","","https://www.freightnet.com/profile/207282.htm","No"
"c/cochabamba 710 fl7 ofc. 3","Cochabamba 710 ofc. 3 Fl7 , Santa Cruz de la Sierra, Santa Cruz, 6992812","","","https://www.freightnet.com/profile/144478.htm","No"
"Quantum Log´s SRL","Calle Rio Forus No. 3375 , , Bolivia,","","","https://www.freightnet.com/profile/112853.htm","No"
"Logistics Gear (Engranaje de la Logistica Ltda.)","Av. 14 de septiembre zona Obrajes , Mario Mercado piso 5 of 506, La Paz, 00000","","","https://www.freightnet.com/profile/226900.htm","No"
"CMS SOLUTIONS SRL","CALLE COMERCIO 890 , LA PAZ, BOLIVIA, 0000","","","https://www.freightnet.com/profile/233846.htm","No"
"ALLWORLD TRANSPORT BOLIVIA SRL","MIRAFLORES ESQUINA AV BRASIL PISO 13 , LA PAZ, BOLIVIA, 000","","","https://www.freightnet.com/profile/107441.htm","No"
"LOGISTA","641 Bolivar St. , Santa Cruz de la Sierra, Bolivia, 3230","","","https://www.freightnet.com/profile/207611.htm","No"
"SKY CARGO S.R.L.","La Paz-Bolivia: C/Uyustus No. 739, Galería “Clavel” 2do Nivel, Oficina 10 Telf.: 2971587 - 2463247 // Santa Cruz:  Calle Pari Esq. René Moreno N° 25 Edif: ""Don Alcides"" planta alta of: 218 , Iquique Chile: Recinto Amurallado Zofri Mza 17 Galpon 12 A Telf. (56-57) 573150 / Fax: (56-57) 573153 / Cel: (56) 9-74081188, La Paz, La Paz, 591","","","https://www.freightnet.com/profile/151299.htm","No"
"Bolivian Intermoadal Container Lines Srl","Av. 20 Octubre No.- 2601 esq. Pinilla  , Edif. Julia Elena 2do Mezzanine, La Paz, Bolivia, Casilla 1626","","","https://www.freightnet.com/profile/104270.htm","No"
"QUANTUM LOG´S S.R.L","CALLE RIO FORUS 3375 , BARRIO HAMACAS, SANTA CRUZ DE LA SIERRA, BOLIVIA, 701","","","https://www.freightnet.com/profile/130119.htm","No"
"Bolivian Intermodal Container Lines","Av. 20 De Octubre 2601 , Edif Julia Elena 2nd floor, La Paz,","","","https://www.freightnet.com/profile/11080.htm","No"
"Partners Logistics Ltda. (Bolivia)","Calle 24 de Septiembre esq. Bolivar , Shopping Bolivar Tercer Nivel of. 180, Santa Cruz, Bolivia, 1175","","","https://www.freightnet.com/profile/46676.htm","No"
"DEZE LTDA.","Edif. Olimpia N° 1354, piso 2. Of. 201 , Calle Hugo Estrada N° 86, MIRAFLORES, LA PAZ, 591-2","","","https://www.freightnet.com/profile/97825.htm","No"
"HERMES - Trans S.R.L.","Av. Santa Cruz N° 310 Esq.  , Arenales, Santa Cruz,","","","https://www.freightnet.com/profile/8020.htm","No"
"SUR CARGO SRL","C. Pedro Salazar 615 Of 2A Edif Ma. Inmaculada Sopocachi , La Paz, BOLIVIA, 000000","","","https://www.freightnet.com/profile/104064.htm","No"
"Helu Trans Ltda.","Av. Arce 2314 , Edif. Fundacion Federico Demmer P 1 Of 1, La Paz,","","","https://www.freightnet.com/profile/4974.htm","No"
"EXTERCOM CARGO S.R.L.","Calle Comercio # 830 Edif. ISMAR piso 1 Of. 8 Zona Central , LA PAZ, BOLIVIA, 591","","","https://www.freightnet.com/profile/98548.htm","No"
"Netcargo & Logistic","Calle Tarija No. 207 , La Paz, Bolivia, 591","","","https://www.freightnet.com/profile/86130.htm","No"
"Masterline Logistics","Av Arce 2799, Edif. Fortaleza F/14 , San Jorge, La Paz, 002","","","https://www.freightnet.com/profile/19750.htm","No"
"Ag Logistics Bolivia","Av. Noel Kempff Mercado, 3º anillo interno  # 1230  ""Edificio El Alamo"" , Santa Cruz de la Sierra, Bolivia, 3245","","","https://www.freightnet.com/profile/55375.htm","No"
"REDLINES GROUP","LA PAZ: Av. Mariscal Santa Cruz 1364 Edif. La Primera Torre ""A"" Piso7 of3 , SANTA CRUZ: C. Rene Moreno 299 Esq. pari EDif. Don Alcides P1 Of 207, La Paz, Santa Cruz, Santiago de Chile, Bolivia - Chile, 6992812","","","https://www.freightnet.com/profile/57258.htm","No"
"Deze Ltda","Edif. Litoral Piso 11 Of. 1 , Calle Colon No. 150, Calle Rep. Dominicana 1875, La Paz,","","","https://www.freightnet.com/profile/7899.htm","No"
"HERMES - Trans S.R.L.","Av. 16 de Julio 1800 Edif. Cosmos, piso 11° , , La Paz,","","","https://www.freightnet.com/profile/7843.htm","No"
"Yicheng Logistics Bolivia S.R.L.","Barrio Las Palmas, Calle Barcelona esq. Av. Las Palmas , Edificio Barbery P.B. Of. 4, Santa Cruz, SCZ","","","https://www.freightnet.com/profile/14462.htm","No"
"MAT Karga S.R.L.","Av. Montenegro 1420 Edif. SM Arcangel Mezanine of 2 , , La Paz, 591","","","https://www.freightnet.com/profile/14565.htm","No"
"DAS Logistics Ltda","Barrio Maquina Vieja UV 1 Mza. 16 , , Santa Cruz, SCZ3","","","https://www.freightnet.com/profile/16090.htm","No"
"ANDEX BOX CORP","Pasaje Villegas 1229 Zona San Jorge La Paz , Carretera a Oruro Km. 100 Belén Iquiaca-La Paz, La Paz, Zona San Jorge","","","https://www.freightnet.com/profile/50237.htm","No"
"SIG Bolivia","Isabel La Catolica 655 , , La Paz, M6R 3B4","","","https://www.freightnet.com/profile/16353.htm","No"
"asasas","asxsads asada, asasxa, 12356, asada, asasxa, 12356","","","https://www.freightnet.com/profile/44372.htm","No"
"Cardinal Cargo Solutions","Av. Ecuador # 2164 Edif Carla Patricia, Piso 7 of. 03 , La Paz, Bolivia, Zona Sopocachi","","","https://www.freightnet.com/profile/129157.htm","No"
