"name","address","phone","website","profileUrl","isPremiumMember"
"Antrand Solutions Brazil","R Ezequiel Mantoanelli, 375, Indaiatuba, SP, 13332756","5511 98326-8394","http://www.antrand.com.br/","https://www.freightnet.com/profile/141636.htm","Yes"
"Spring Logistic","Senador Nereu Ramos,352, Guabirotuba, Curitiba, Parana, 81510070","554132691625","http://www.springlogistic.com/","https://www.freightnet.com/profile/249542.htm","Yes"
"Phoenix  Logistica - Since 1992 - BRAZIL","Praca da Republica, 87 cj 84, cotacao@phoenixltda.com.br, Santos, Sao Paulo, 11013-010","+55 13 3232-5577","http://www.phoenixltda.com.br/en","https://www.freightnet.com/profile/7365.htm","Yes"
"JM LOGISTICA IMPORTAÇÃO E EXPORTAÇÃO","RUA ITAPURA, 1245, SAO PAULO, SP BRAZIL, 03310000","11974648003","http://www.jmlogistica.com.br/","https://www.freightnet.com/profile/259369.htm","Yes"
"A1 Logistics","Rua 700, 637, Centro, Balneario Camboriu, Santa Catarina, 88330620","+55 47 3048 1030","","https://www.freightnet.com/profile/225709.htm","Yes"
"Speak Logistics - NVOCC- Logistics Company in Brazil","contato@speaklogistics.com.br , Av. Paulista, 509, conj 1604, São Paulo, São Paulo, Brazil, 01311910","+55 11 3285 3329","https://speaklog.com.br/","https://www.freightnet.com/profile/146389.htm","Yes"
"BLUE LINE LOGISTICS","AV. MARCOS KONDER, 1207, SALA 113 , ITAJAI, SANTA CATARINA, 88301303","","","https://www.freightnet.com/profile/201127.htm","No"
"Last Logistica Internacional","AV ALFREDO IGNACIO NOGUEIRA PENIDO , São Jose dos Campos, São Paulo, Brazil, 12.246-000","","","https://www.freightnet.com/profile/263706.htm","No"
"THREE LOGISTICS INTL","R. AMADOR BUENO 181 , SANTOS, BRAZIL, 11013912","","","https://www.freightnet.com/profile/154301.htm","No"
"AMTrans Logistics","R. Laguna 157 , 201, Itajai, Santa Catarina, 88301-460","","","https://www.freightnet.com/profile/134651.htm","No"
"Sullog Freight Forward Agents","Rua Baronesa do Cerro Azul 2575 B , Paranaguá, Parana, 83206-225","","","https://www.freightnet.com/profile/230897.htm","No"
"Welt Shipping","Av. Nilo Bittencourt, 306 , Itajaí, Santa Catarina/Brazil, 88312400","","","https://www.freightnet.com/profile/247002.htm","No"
"Star Cargo Global e Logistica Ltda","AV ANTONIO ARTIOLI, 570 – ED: FLIMS – BLOCO: B1 – CJ 110    , CAMPINAS – SAO PAULO  – BRASIL, CAMPINAS - SAO PAULO - BRASIL, CEP: 13049-253","","","https://www.freightnet.com/profile/208067.htm","No"
"HAGUE LOG","R. SAMUEL HEUSI , 463 SL 207, ITAJAI, SANTA CATARINA, 88301320","","","https://www.freightnet.com/profile/220301.htm","No"
"Translink Transportes & Logistica Ltda","Rua Mauricio Oscar da Rocha e Silva, 287 , Jardim Palmares, Ribeirao Preto , Ribeirao Preto, Sao Paulo, Brazil, 14092-580","","","https://www.freightnet.com/profile/139894.htm","No"
"Fast Shipping","Rua Samuel Heusi, 579 , Sala 701, Itajaí, Santa Catarina, 88301-320","","","https://www.freightnet.com/profile/261061.htm","No"
"BRL","Av das nações Unidas , 14171, Sao Paulo, SP, 04794-000","","","https://www.freightnet.com/profile/182884.htm","No"
"Fast Shipping Brazil","Rua Samuel Heusi, 539, sala 701 - Itajaí SC , Itajaí, SC, 88301320","","","https://www.freightnet.com/profile/256977.htm","No"
"MARELO - Brazil","R. Adriano Pereira, 427 , Sala 03, Mogi das Cruzes, SP, 08750-177","","","https://www.freightnet.com/profile/167757.htm","No"
"Santos Global Logística Ltda","Rua Rio Grande do Norte, 75 - Cj. 33 , Santos, São Paulo, 11065-460","","","https://www.freightnet.com/profile/96334.htm","No"
"Blue Line Logistics","AV. MARCOS KONDER, 1207, SL 113 , BAIRRO CENTRO - ZIPCODE 88301303, ITAJAI, SANTA CATARINA, 88301303","","","https://www.freightnet.com/profile/150095.htm","No"
"AUSCORP - Freight Forwarding & Logistics","Operations in all ports and aiports in Brazil , Air freight, Sea freight, Trucking (inland), Customs Clearance,","","","https://www.freightnet.com/profile/13540.htm","No"
"CONTROL LOG SERVICE","RUA CARLOS LEAL EVANS 81 , JARDIM STA. FRANCISCA, Guarulhos, Sao Paulo, 07024020","","","https://www.freightnet.com/profile/119588.htm","No"
