"name","address","phone","website","profileUrl","isPremiumMember"
"A LOGISTICS LTD","119 ILIYANTZI BLVD, SOFIA, BULGARIA, 1220","+359888555493","http://www.alogistics.bg/","https://www.freightnet.com/profile/64432.htm","Yes"
"Trans Systems Ltd","Elin Pelin 22 , Sofia, BULGARIA, 1164","","","https://www.freightnet.com/profile/259906.htm","No"
"Георги Илиев 2006 ЕООД","Илия Батаклиев 4 , Гоце Делчев, Благоевград, 2900","","","https://www.freightnet.com/profile/259325.htm","No"
"A.T.TOMOV LTD","PEYO QVOROV 2 , SANDANSKI, BULGARIA, 2800","","","https://www.freightnet.com/profile/252712.htm","No"
"Kiko 95 ltd","Mitko Palauzov 20 , 20, Petrich, Blagoevgrad, 2881","","","https://www.freightnet.com/profile/249571.htm","No"
"IDEAL TRANS-BG  EOOD","r-n Trakia, bl.107, vh.E, et.3 , ap. 7, Plovdiv, Bulgaria, 4023","","","https://www.freightnet.com/profile/224351.htm","No"
"DM Transport OOD","Vasil Aprilov 3 , Blagoevgrad, Bulgaria, 2700","","","https://www.freightnet.com/profile/208007.htm","No"
"Trans Capitolia EOOD","Chiprovtsi 21 Str , Ruse, Ruse, 7000","","","https://www.freightnet.com/profile/169048.htm","No"
"VASILIADIS TRANS","ELENOVO 139 , BLAGOEVGRAD, BULGARIA, 2700","","","https://www.freightnet.com/profile/155184.htm","No"
"IRAN TRUCKING LTD","13 Slavishte Street, Entrance A, Ground Floor, 1421 Sofia, Bulgaria , Sofia, Bulgaria, 1421","","","https://www.freightnet.com/profile/145504.htm","No"
"eurolink transport","11 tsar boris , petrich, bulgaria, 2850","","","https://www.freightnet.com/profile/136557.htm","No"
"Orozovtrans Ltd","Vasil Levski 2 , Stara Zagora, Bulgaria, 6000","","","https://www.freightnet.com/profile/55230.htm","No"
"NIM TRANS OOD","12, blv. Boykata , Gabrovo, Bulgaria, 5300","","","https://www.freightnet.com/profile/91015.htm","No"
"Erma Trans Ltd","Sitniakovo Blvd 23 , Sofia, 1517","","","https://www.freightnet.com/profile/20929.htm","No"
"Somat Ltd","1, Samokovsko shose Str , Gorubljane, Sofia, 1138","","","https://www.freightnet.com/profile/19518.htm","No"
"Balkanika Ltd","108 Gen. Danail Nikolaev Str , 40 Filipovo Str, Plovdiv, 4000","","","https://www.freightnet.com/profile/20653.htm","No"
"INTER EXPRESS LTD","14-NIKOLAEVSKA STR. , RUSSE, BULGARIA, 7012","","","https://www.freightnet.com/profile/23861.htm","No"
"Estrella Trans","ul. Besarabia 108 , Sofia, Bulgaria, 1517","","","https://www.freightnet.com/profile/105356.htm","No"
