"name","address","phone","website","profileUrl","isPremiumMember"
"Global Networking Services","Fret Aeroport Douala, Douala, Littoral/Cameroon, 237","+237677347560","https://www.globalnetworkingservices.com/","https://www.freightnet.com/profile/252460.htm","Yes"
"Femoé Transit Africa","Douala , Akwa, littoral, 237","","","https://www.freightnet.com/profile/221564.htm","No"
"Ethiopian cargo","Douala  , Douala, Cameroun, 2019","","","https://www.freightnet.com/profile/240782.htm","No"
"B.B. HARRODS CARGO","Douala , yaounde, Douala, cameroun, 15236","","","https://www.freightnet.com/profile/201458.htm","No"
"Rainbow express","Zone aéroportuaire , Zone portuaire, Douala, Littoral, 441","","","https://www.freightnet.com/profile/119212.htm","No"
"La Conciergerie de Chantier","5787 Yaounde  , Yaoundé, Cameroon, 5787","","","https://www.freightnet.com/profile/215767.htm","No"
"AIR ATLANTIC CARGO LTD","Galleri Fohato, BP 4110, Bonassama Bonaberi , Douala, Littoral Region, 237","","","https://www.freightnet.com/profile/152736.htm","No"
"OMO LOGISTICS FORWARDERS","Akwa , De Eglise Hilla Hotel, Douala, Cameroon, +237","","","https://www.freightnet.com/profile/117980.htm","No"
"GLOBAL CARGO AND LOGICTICS SARL","Avenue charles de Gaulle BP  651 , Douala, Littoral, 00237","","","https://www.freightnet.com/profile/110156.htm","No"
"CARGO AIRWAYS International S.A","BONAPRISO , Douala, Littoral, CM","","","https://www.freightnet.com/profile/46999.htm","No"
"Global Freightage services LTD","Bureau du Transport , Akwa, Cameroon Douala, 237","","","https://www.freightnet.com/profile/100534.htm","No"
