"name","address","phone","website","profileUrl","isPremiumMember"
"Manuport Logistics CM","N• 3 Rue de la Motte Piquet, Douala, Littoral, 00237","+237 681246889","http://manuport-logisticscm.com/","https://www.freightnet.com/profile/240513.htm","Yes"
"Worldwide Global Logistics and Forwarding SARL","Po Box 791, Douala, Littoral, 791","+237679898969","http://www.wglobalogistics.com/","https://www.freightnet.com/profile/188221.htm","Yes"
"RANDY LOGISTICS","Located at Bonanjo Guichet Unique , third building on your left, DOUALA, CAMEROON, +237","(+237) 653859167","https://www.randylogistics.com/","https://www.freightnet.com/profile/183984.htm","Yes"
"Universal Transit Sarl","P.O Box 3801 Rue Dikoume Bell-Douala , Douala, Littoral, 00237","","","https://www.freightnet.com/profile/163339.htm","No"
"Cargo Express Forwarding Company","Great Soppo Buea , Buea, Fako Division South West Region, P O Box 560","","","https://www.freightnet.com/profile/249674.htm","No"
"GIANT LOGISTICS SOLUTION","Douala- Cameroon , Rue 1.129 Prince Bell, Douala, Cameroon, central African Republic- Bangui & Chad, 15191","","","https://www.freightnet.com/profile/246554.htm","No"
"Sprintlog & safety","PO Box 144 Buea , Buea, Buea, 237","","","https://www.freightnet.com/profile/247154.htm","No"
"Fastmoves Logistics","Premier League building Molyko Buea Cameroon , Buea, Southwest Region, 00237","","","https://www.freightnet.com/profile/256253.htm","No"
"Rainbow Express","Entrée Gare Bessengue , Razel street,Clerks Qts, Douala, Littoral, 441","","","https://www.freightnet.com/profile/259309.htm","No"
"Dash Shifters Logistics","Centre ville , Yaounde, center Region, 00237","","","https://www.freightnet.com/profile/237304.htm","No"
"ndimarinegroup ltd","zone portuare  , quai 14 cnic uic, douala, cameroon, 2389","","","https://www.freightnet.com/profile/143321.htm","No"
"GLOLOG LTD","102 , Rue Memoze, Douala, Cameroon, +237","","","https://www.freightnet.com/profile/203716.htm","No"
"Global Freightage Services LTD","No. 706, Boulevard de la Republique, Bali , GFS Group Building, Douala Port Zone, Douala, Littoral, 00000","","","https://www.freightnet.com/profile/244681.htm","No"
"AB Capital Logistics Ltd","Ancienne Route, Bonaberi  , Douala, Cameroon, 237","","","https://www.freightnet.com/profile/206752.htm","No"
"NETRAC SARL","Carrefour Tiff, Bali , Douala Cameroon, Littoral, 00237","","","https://www.freightnet.com/profile/162034.htm","No"
"OMNIFREIGHT BVBA","Italielei 211, Antwerp, Belgium , transport@omnifreight.eu, Antwerp, Italielei, 211","","","https://www.freightnet.com/profile/251608.htm","No"
"GIANT LOGISTICS SOLUTION","Rue 1.129 Prince Bell,  Bali , Douala, Litoral Cameroon, 237","","","https://www.freightnet.com/profile/236388.htm","No"
"GLOBAL FREIGHTAGE SERVICES LTD","# 706, Boulevard de la Republique, Bali , 4th Floor, Building 'B', Douala, Littoral, +237","","","https://www.freightnet.com/profile/89650.htm","No"
"camerouncargologisticsinc","Douala , BP 1360 Rue Pau , Akwa, Douala , Douala, Douala, Camerooon, +237","","","https://www.freightnet.com/profile/250888.htm","No"
"Base Cameroon Ltd","82 Rue Dikoume Bell - Bali , Douala, Littoral, 0","","","https://www.freightnet.com/profile/184370.htm","No"
"INTERCONTINENTAL TRANSIT","Immeuble cinéma l'Eden - Bessengue , Douala, Cameroon, 15476","","","https://www.freightnet.com/profile/233793.htm","No"
"Bert-star Logistics","Rue port , Marche Sanaga, Douala, Cameroon, 00237","","","https://www.freightnet.com/profile/145712.htm","No"
"Express Forwarding Agency","Sodoko Bonaberi Douala , Great Soppo Buea, Douala, Littoral, 560 Buea","","","https://www.freightnet.com/profile/225164.htm","No"
"Handling and Transport","Bonapriso rue 1241 Paul Monthe , Face Afriland First Bank, Douala, Cameroon, 4007","","","https://www.freightnet.com/profile/208489.htm","No"
"SOGETRANS","AKWA  , DOUALA, CAMEROON, BP                    1333","","","https://www.freightnet.com/profile/216320.htm","No"
"IBTS LOGISTICS","CAREFOUR KAEYO ELLIE , DOUALA, cameroon, 237","","","https://www.freightnet.com/profile/211478.htm","No"
"JONGBANG LOGISTICS","+237677965682 , +237671372583, douala, cameroon, +237","","","https://www.freightnet.com/profile/211739.htm","No"
"Asah Freight Fowarder","Douala Akwa , Bounamoussadi, Douala, Littoral, +237","","","https://www.freightnet.com/profile/173887.htm","No"
"Ace Logistiks","No.4 Rue de la croix rouge Bastos , Yaounde, Centre, 00237","","","https://www.freightnet.com/profile/46663.htm","No"
"Express Forwarding Company Ltd","Akwa Douala , Douala, Cameroon, 560 Buea","","","https://www.freightnet.com/profile/157611.htm","No"
"AIR ALANDTIC CARGO LTD","B P 2560 AKWA DOUALA , DOUALA, LITTORAL REGION DOUALA, 237","","","https://www.freightnet.com/profile/108636.htm","No"
"RACH-TRANSIT","AKWA RUE JOFFRE , kribi, douala, CAMEROUN, 2760","","","https://www.freightnet.com/profile/222640.htm","No"
"M.A LOGISTICS AFRICA SERVICES","10, Blvd de la République , Situé derrière station Gulfin, Douala 1er, Bali, 3514","","","https://www.freightnet.com/profile/200260.htm","No"
"African InterContinental Group LLC.","Ancienne Route, Bonaberi - Douala. Cameroon , Cameroon, Littoral, 237","","","https://www.freightnet.com/profile/217180.htm","No"
"TRANSINOR CO, LTD","309, Rue Sylvani Akwa , Douala, Cameroon, PO. BOX 10190","","","https://www.freightnet.com/profile/131338.htm","No"
"samex sarl","douala hôtel solidarité , DOUALA, CAMEROON, 5310","","","https://www.freightnet.com/profile/210642.htm","No"
"ATLAS SHIPPING COMPANY","P.o.BOX: 15032 , Douala, Littoral, 15032","","","https://www.freightnet.com/profile/192168.htm","No"
"AFRISIL GLOBAL FORWARDING LTD","BP 4431 Rue Pau, Akwa Place, Douala, Cameroon , Douala, Douala, Cameroon, ooooo","","","https://www.freightnet.com/profile/193833.htm","No"
"SKYPE LOGISTICS SARL","PO BOX 3788 , DOUALA, DOUALA, CAMEROON, 0000","","","https://www.freightnet.com/profile/169867.htm","No"
"Intralex Cameroon","Immeuble Hogmeni, Bali , Douala, Cameroon, 000000","","","https://www.freightnet.com/profile/175965.htm","No"
"SAAT Global Logistics","PO Box 90 , Rei Bessenge, Douala, Littoral, 237","","","https://www.freightnet.com/profile/171680.htm","No"
"Vandish","Cameroon , Bamenda, Cameroon, 19970","","","https://www.freightnet.com/profile/163266.htm","No"
"Rajforwarding","Younde Cameroon , Younde, Cameroon, 00237","","","https://www.freightnet.com/profile/159800.htm","No"
