"name","address","phone","website","profileUrl","isPremiumMember"
"BLC inc","4075 Samson ST , 102, Laval, QC, H7W 2G3","","","https://www.freightnet.com/profile/264417.htm","No"
"Global Dynamic Supply Limited","2375 Brimley Road Scarborough , Scarborough, ON, M1S 3L6","","","https://www.freightnet.com/profile/260806.htm","No"
"Altair Logistics Ltd","3133 Orlando Drive , Mississauga, Ontario, L4V1C5","","","https://www.freightnet.com/profile/2575.htm","No"
"Nextflightcourier Worldwide Ltd","4360 AGAR DR , Richmond, British Columbia, V7B1A3","","","https://www.freightnet.com/profile/118359.htm","No"
"Orca Logistics","Suit 205- 155, 176th street , Surrey, BC, V3S 9S4","","","https://www.freightnet.com/profile/128230.htm","No"
"United Expediters Canada Inc.","2355 Derry Road E., Unit 48 Mississauga, Ontario, L5S 1V6, Canada , Mississauga,ON, Ontario,Canada, L5S 1V6","","","https://www.freightnet.com/profile/127516.htm","No"
"David Royes","541 Steeles Avenue West, Unit 70  , North York, Canada, M2M3T1","","","https://www.freightnet.com/profile/106291.htm","No"
"Core Logistics International","3133 Orlando Drive , Mississauga, Ontario, L4V1C5","","","https://www.freightnet.com/profile/51988.htm","No"
"Cargo Express","27 Gallucci Cres , Brampton, Ontario, L6P 1R3","","","https://www.freightnet.com/profile/89487.htm","No"
"BMR Express International","25 Sunforest Drive , Brampton, ON/Canada, L6Z 2Z3","","","https://www.freightnet.com/profile/94937.htm","No"
"White Witch Logistics","7 Walker Road East , Caledon East, Ontario, L7C 1G8","","","https://www.freightnet.com/profile/11899.htm","No"
