"name","address","phone","website","profileUrl","isPremiumMember"
"Beavership Canada","107-1025 King St E , Cambridge, ON, N3H 3P5","","","https://www.freightnet.com/profile/253688.htm","No"
"2Point Logistics Corp","7551 Mapleford Blvd , Regina, Saskatchewan, S4Y 0C6","","","https://www.freightnet.com/profile/256046.htm","No"
"Overseas Express Courier","4-7955 Torbram Road , Brampton, ON/Canada, L6T5B9","","","https://www.freightnet.com/profile/172428.htm","No"
"Manon Raymond","1120 rue Blanchet, app. 2 , Saint-Hyacinthe, Canada, J2S 1J 8","","","https://www.freightnet.com/profile/162586.htm","No"
"Jet Worldwide","2672 Sabourin Rue , St. Laurent, Quebec, H4S1M2","","","https://www.freightnet.com/profile/160577.htm","No"
"Swift Delivery Systems","80 Colonnade Road North , Unit 8, Ottawa, ON, K2E 7L2","","","https://www.freightnet.com/profile/132196.htm","No"
"All Ontario Express Inc","121 Bentley Street, Unit B , Markham, Canada, L3R3L1","","","https://www.freightnet.com/profile/120574.htm","No"
"World Line Cargo","1445 rue Begin , Montreal, QC, H4R1V8","","","https://www.freightnet.com/profile/107348.htm","No"
"CARGO CARE SHIPPING INC.","#343 - 8140, 128 STREET , SURREY, BC, V3W 1R1","","","https://www.freightnet.com/profile/53872.htm","No"
"K&P Transport Manitoba","446 Ritchot Street , Winnipeg, Manitoba, R2H 2X1","","","https://www.freightnet.com/profile/94135.htm","No"
"JSI Logistics","2880 Queen St E #4-297 , Brampton, Brampton, L6S 6H4","","","https://www.freightnet.com/profile/60233.htm","No"
"GMX Worldwide XPress & Global Logistics","769 Lajoie , Dorval, Quebec, H9P 1G7","","","https://www.freightnet.com/profile/13802.htm","No"
