"name","address","phone","website","profileUrl","isPremiumMember"
"Utrade Logistics","880 Decarie Blvd Suite # 6 Saint Laurent, Quebec H4L 3M1, Canada , Saint Laurent, Quebec, H4L 3M1","","","https://www.freightnet.com/profile/228808.htm","No"
"Maska International","5 Boul Vauquelin , Suite 308, Longueuil, QC, J4L 0A4","","","https://www.freightnet.com/profile/246739.htm","No"
"Logistics and Customs Services Inc","285 Jevlan Drive , Woodbridge, ON, L4L8G6","","","https://www.freightnet.com/profile/218275.htm","No"
"Carson International","1461 Johnston Rd Unit 208A , White Rock, BC, V4B 3Z4","","","https://www.freightnet.com/profile/207612.htm","No"
"Passport Cargo Inc.","3-2422 Dunwin Drive , Mississauga, ONTARIO, L5L 1J9","","","https://www.freightnet.com/profile/179532.htm","No"
"Clearsmith International Inc.","Castleridge , CALGARY, AB, T3J1y9","","","https://www.freightnet.com/profile/151513.htm","No"
"CUSTOMS HUB INC.","Skynet Worldwide Express 7720 Kimbel St, Mississauga, ON L5S 1A6, Canada , Mississauga, ontario, L5S 1A6","","","https://www.freightnet.com/profile/141476.htm","No"
"Affiliated Customs Brokers Limited","411 Des Recollets , Montreal, Quebec, H2Y 1W3","","","https://www.freightnet.com/profile/188.htm","No"
"Priority brokerage services","800 Islington Avenue , Toronto, Canada, M8Z6A4","","","https://www.freightnet.com/profile/59668.htm","No"
"S. M. Hewitt (Sarnia) Limited","Bldg A Bluwater Bridge Plaza , P O Box 606, Sarnia, Ontario, N7T 7J4","","","https://www.freightnet.com/profile/12946.htm","No"
