"name","address","phone","website","profileUrl","isPremiumMember"
"FreightNet Express Logistics Inc.","113-8300 92 Street, Delta, British Columbia, V4G 0A4","+1 604-336-9099","http://www.freightnetexpress.com/","https://www.freightnet.com/profile/175082.htm","Yes"
"Harnex Global Inc","114, 5200 dixie road, MISSISSAUGA, ONTARIO, L4W 1E4","6479264355","","https://www.freightnet.com/profile/263162.htm","Yes"
"WK Cargo International Inc.","102- 20, Blvd Charest Ouest, Quebec, Quebec / canada, G1K 1X2","418-747-0054","https://www.wkcargointl.ca/","https://www.freightnet.com/profile/245890.htm","Yes"
"Pro-Freight Logistics Solution Inc","33 Wiggens Crt, Scarborough, Toronto, Ontario, Canada, M1B 1K3","+1 6475507909","https://www.profreight.ca/","https://www.freightnet.com/profile/250927.htm","Yes"
"AeroPlus Logistics Corp.","2727 Steeles Ave W, Ste 103, North York, Ontario, Canada, M3J 3G9","+1-647-977-1661","https://aeropluslogistics.com/","https://www.freightnet.com/profile/255016.htm","Yes"
"Oricargo Global Logistics Inc.","1025 King St E, Unit 107, Cambridge, Ontario, N3H 3P5","+1-226-499-4959","https://www.oricargo.com/","https://www.freightnet.com/profile/253679.htm","Yes"
"Access Air Inc","6500 SILVER DART DRIVE, OFFICE 306, MISSISSAUGA, ONTARIO, L5P 1A2","(905) 676-8323","","https://www.freightnet.com/profile/141434.htm","Yes"
"GOGO SHIPS CARGO","566 INDIAN GROVE , TORONTO, Canada, M6P2J4","4182524646","https://www.gogoshipcargo.com/","https://www.freightnet.com/profile/261260.htm","Yes"
"LILYA LOGISTICS INC","1351, Rue Newton , Boucherville, Québec, J4B 5H2","+1 5145039560","http://www.lilyalogistics.com/","https://www.freightnet.com/profile/173622.htm","Yes"
"Last Minute Shippers Inc","3136 Mavis Road UNIT 200, Mississauga, Ontario, L5C 1T8","4168404865","http://www.lastminuteshippers.com/","https://www.freightnet.com/profile/91988.htm","Yes"
"BLUEOCEAN WORLDWIDE LOGISTICS INC","1732A-125 Omni Dr, Scarborough, Ontario, CANADA, M1P 5A9","+1 (418) 948 4090","http://www.blueoceanworldwidelogistics.com/","https://www.freightnet.com/profile/193225.htm","Yes"
"Transport World AI","150 King St, PO Box 212, Chester, NS/Canada, B0J1J0","902-818-8623","https://www.transportworldai.com/","https://www.freightnet.com/profile/252519.htm","Yes"
"Dash Freight International Inc.","P.O. Box 65112 , 358 Danforth Avenue, Toronto, Ontario, M4K 3Z2","","","https://www.freightnet.com/profile/6102.htm","No"
"ALB GLOBAL SOLUTIONS inc.","15 Richardson  , Beauharnois, Québec, Canada, J6N2S9","","","https://www.freightnet.com/profile/262525.htm","No"
"Truplanin Logistics Corp.","PO Box 1932 , Crossfield, AB, T0M 0S0","","","https://www.freightnet.com/profile/182206.htm","No"
"logistics group of open box","2175 Holly St, Abbotsford, BC, V2T 3Z8, Canada , Abbotsford, Canada, 2175","","","https://www.freightnet.com/profile/266003.htm","No"
"breeze forwarding","6021 parc ave , Montreal, QC, H2V4H4","","","https://www.freightnet.com/profile/263195.htm","No"
"KDS GLOBAL LOGISTICS INC","5170 Dixie Rd #303 , Mississauga, ON, L4W 1E3","","","https://www.freightnet.com/profile/265449.htm","No"
"Roro/ aglogistics","605 , Principale, Saint-Donat de Montcalm, Quebec, J0T 2C0","","","https://www.freightnet.com/profile/246690.htm","No"
"NJ Logistics Canada","1606 Boul Saint Regis Dorval , 1606 Boul Saint Regis Dorval, QC, Canada, H9P 1HC","","","https://www.freightnet.com/profile/235470.htm","No"
"ICAD Global Shipping","Avondale Ave , Toronto, Ontario, M2N","","","https://www.freightnet.com/profile/263719.htm","No"
"Cantranspo","333 Rue Chabanel O Suite 520 , Montreal, Quebec, H2N 2G1","","","https://www.freightnet.com/profile/264939.htm","No"
"E-CARGO INC","7875 Cote de Liesse , SAINT-LAURENT, Quebec, H4T 1G4","","","https://www.freightnet.com/profile/17956.htm","No"
"TRANSLOGISTICS SA","2400 Lucerne Road , suite 151, Montreal, Quebc, H3R 2J8","","","https://www.freightnet.com/profile/116922.htm","No"
"Maritime Freight & Logistics Inc.","6 2124 15St Sw , Calgary, Canada, T2T3Y8","","","https://www.freightnet.com/profile/259430.htm","No"
"FARROW GLOBAL LOGISTICS","475A ADMIRAL BLVD , MISSISSAUGA, ON, L5T2N1","","","https://www.freightnet.com/profile/262178.htm","No"
"shipvista.com","9-9 Royalcrest Rd , ETOBICOKE, ON, M9V 2L6","","","https://www.freightnet.com/profile/227988.htm","No"
"K2A WORLD LOGISTICS","405 THE WEST MALL  , SUITE 910, ETOBICOKE, ON, M9C 5J1","","","https://www.freightnet.com/profile/251818.htm","No"
"HEYRU CANADA INC.","300-330 St Mary Ave , WINNIPEG, MB, R3C 3Z5","","","https://www.freightnet.com/profile/210054.htm","No"
"Masmot Logistics Limited","5063 North Service Road , Burlington, Ontario, L7L 5H6","","","https://www.freightnet.com/profile/260148.htm","No"
"JNM Global Solution","7574 Tasman CRT  , Mississauga, Ontario, L4T2N2","","","https://www.freightnet.com/profile/251379.htm","No"
"IKL International Shipping","235 Waydom Drive , Ayr, Ontario, N0B 1E0","","","https://www.freightnet.com/profile/93115.htm","No"
"Golden Freight Forwarding and Marketing Inc","5945 Airport Rd Suite 185, Mississauga, ON L4V 1R9 , Mississauga, Ontario, L4V1R9","","","https://www.freightnet.com/profile/244278.htm","No"
"Ronco Freight International Inc.","2010 Winston Park Drive , Suite 200, Oakville, Ontario, L6H 5R7","","","https://www.freightnet.com/profile/19553.htm","No"
"MGF","7035 Ordan Drive Mississauga, ON L5T 1T1 , 1755 Boul St-Regis, Suite # 240, Dollard-Des-Ormeaux, QC H9B 2M9, Ontario, canada, L5T 1T1","","","https://www.freightnet.com/profile/257620.htm","No"
"Vfast Logistics Inc","114-5200 Dixie Road Mississauga  , Ontario, Canada, L4W 1E4","","","https://www.freightnet.com/profile/245879.htm","No"
"RRA Group Inc.","Unit 204 - 2060 McCallum Road , Abbotsford, British Columbia, Canada, V2S 3N4","","","https://www.freightnet.com/profile/245443.htm","No"
"Lantrax Logistics","19272 96 Ave #10 , Surrey, British Columbia, V4N 4C1","","","https://www.freightnet.com/profile/169658.htm","No"
"ATLAS CARGO","6365 NORTHWEST DRIVE , MISSISSAUGA, ONTARIO, L4V1J8","","","https://www.freightnet.com/profile/133336.htm","No"
"Canworld Logistics Inc.","1981 Boylen Rd #8 & 9, Mississauga ON L5S 1R9, Canada , Mississauga, ON - Ontario, L5S 1R9","","","https://www.freightnet.com/profile/255972.htm","No"
"FENDER INTERNATIONAL FORWARDING LTD","133 MESSIER STREET , SUITE 200, ST-HILAIRE, QUEBEC, J3H 2W8","","","https://www.freightnet.com/profile/100760.htm","No"
