"name","address","phone","website","profileUrl","isPremiumMember"
"TEC Freight  (A Division of TEC Business Solutions Inc.)","1048 Ronsa Court, Mississauga, Ontario/Canada, L4W 3Y4","(+1) 905-828-8132","https://www.wesolveit4you.com/tec-freight/","https://www.freightnet.com/profile/260185.htm","Yes"
"First Frontier Logistics","4000 steeles ave west unit 12 , woodbridge, Ontario, L4L4V9","","","https://www.freightnet.com/profile/262941.htm","No"
"Voltage express  ltd","Po box  26100 Valleyview PO , Kamloops, Canada, V2C0A9","","","https://www.freightnet.com/profile/222789.htm","No"
"B-Line Transport","5838 3rd street Beaverdell , Beaverdell, British Columbia, V0H 1A0","","","https://www.freightnet.com/profile/250954.htm","No"
"M.T.L. TRANSPORT","565 EDWARD VII , DORVAL, QC, H9P 1E7","","","https://www.freightnet.com/profile/170011.htm","No"
"Moses transport","Toronto  , Scarborough, Ontario, M1B2L3","","","https://www.freightnet.com/profile/197187.htm","No"
"SF Logistics","1918 St Regis Boul , Dorval, Quebec, H9P1H6","","","https://www.freightnet.com/profile/177826.htm","No"
"jacetrucklines ltd","8871 139 a st , surrey, bc/ca, v3v5y1","","","https://www.freightnet.com/profile/175356.htm","No"
"3PL Broker Inc.","18B-3200 Dufferin Street , Suite 180, Toronto, ON, M6A 0A1","","","https://www.freightnet.com/profile/152517.htm","No"
"TFF Transport","787 rue Nazaire-Laurin , Suite 101, Joliette, QC, J6E 0L6","","","https://www.freightnet.com/profile/160802.htm","No"
"Maproute","709 Rue Saint Pierre , Montreal, Quebec, h2y2n4","","","https://www.freightnet.com/profile/147257.htm","No"
"frowa international inc","32 APP 323 HOLMES STREET. , RED DEER, canada, T4N6L6","","","https://www.freightnet.com/profile/142322.htm","No"
"CARUS INC","3201 rue Eliane, 1905 boul St-Elzear Ouest, Laval, Quebec, H7P 5N6","","","https://www.freightnet.com/profile/143734.htm","No"
"Van Deck Trucking LTD","26 Unsworth Crescent , Ajax, Ontario, L1T 4X3","","","https://www.freightnet.com/profile/142076.htm","No"
"Caravan Group of Companies","5312 114 Avenue SE Calgary AB , Calgary, Alberta, T2C 4T9","","","https://www.freightnet.com/profile/141771.htm","No"
"MGA International","24 The East Mall Unit #1  , Toronto, Ontario, M8W 4W5","","","https://www.freightnet.com/profile/137743.htm","No"
"TRANSPORT TRANSETH","3882 RUE NINA , LAVAL, Quebec, H7P1G1","","","https://www.freightnet.com/profile/86630.htm","No"
"Danfoss Couriers & Freight","1588 Derwent Way , 101, Delta, BC, v3m 6z7","","","https://www.freightnet.com/profile/110879.htm","No"
"Movemasters","720 activa ave , kitchener, canada, n2e4e1","","","https://www.freightnet.com/profile/96379.htm","No"
"Onway Trucking Ltd.","Suite# 101 B, 4128A 97 Street , Edmonton, AB / Canada, T6E 5Y6","","","https://www.freightnet.com/profile/96674.htm","No"
"Global Inter Connect Inc.","8 Bonnieview Crt. , Brampton, Ontario, l6p2e5","","","https://www.freightnet.com/profile/91539.htm","No"
"Sureway Transport Ltd.","#1 - 1600 Derwent Way , Delta, British Columbia, V3M 6M5","","","https://www.freightnet.com/profile/53688.htm","No"
"Transport Vintrans","5798 Cote de Liesse , Suite 200, Montreal, Quebec, H4T 1B1","","","https://www.freightnet.com/profile/59017.htm","No"
"Ameri-Can Logistics Ltd","32146 King Road , Abbotsford, Vancouver, British Columbia, V2T 5Z5","","","https://www.freightnet.com/profile/17864.htm","No"
"JDI Logistics","PO Box 5777 , 300 Union Street, Saint John, New Brunswick, E2L 4M3","","","https://www.freightnet.com/profile/18805.htm","No"
"Marinetrans Logistics","58 Sahara Trail , Brampton, Ontario, L6R1P3","","","https://www.freightnet.com/profile/22389.htm","No"
"Parabrush Carrier Service Inc.","RR3 , Cottam, ON, N0R1B0","","","https://www.freightnet.com/profile/85935.htm","No"
