"name","address","phone","website","profileUrl","isPremiumMember"
"WORLD TRANSPOTRT INT","MADRID 1224 , ROGELIO UGARTE 1217, SANTIAGO DE CHILE, CHILE, 832 0000","+56 976970385","https://www.worldtransport.cl/","https://www.freightnet.com/profile/170034.htm","Yes"
"Tac Freight Forwarding","Cerro El Plomo 5630 of. 901,, Santiago, Chile, 7560742","+56226664241","http://www.transaircargo.cl/","https://www.freightnet.com/profile/259584.htm","Yes"
"C & A BLUE LOGISTICS Spa","Avda Las Condes 10465 Piso 5 Ofc 531 , Las Condes, Santiago de Chile, 7591468","","","https://www.freightnet.com/profile/168189.htm","No"
"C.L CARGO TRANSPORT SpA","info@cargo-transport.cl , Providencia -  Region Metropolitana, Santiago, Chile, 7500000","","","https://www.freightnet.com/profile/250348.htm","No"
"TIGER LOGISTICS","BARROS LUCO 1421 , San Antonio, Valparaiso, 265550","","","https://www.freightnet.com/profile/49089.htm","No"
"SCM FORWARDER SPA","COCHRANE 639  , OF 63, VALPARAISO, VALPARAISO, 2340000","","","https://www.freightnet.com/profile/192813.htm","No"
"Cargocorp Logistics Spa","AV Providencia 1208 of 309 , OF 309, Región, 77954","","","https://www.freightnet.com/profile/218291.htm","No"
"ROOTS TRADE","LOS MILITARES 5620 OF 905 , Santiago, metropolitana, 7561155","","","https://www.freightnet.com/profile/217928.htm","No"
"Cargo Comex SpA","Coronel Santiago Bueras 51, Maipú , Santiago, Chile, 9250186","","","https://www.freightnet.com/profile/182605.htm","No"
"Nowports","Av. Apoquindo 5950, Oficina 16-111, Santiago, Las Condes, 7550000","","","https://www.freightnet.com/profile/252556.htm","No"
"AGUILA  COMEX SPA","NUEVA DE LYON 124 OF 603 PROVIDENCIA , RM, CHILE, 7510078","","","https://www.freightnet.com/profile/252568.htm","No"
"MultiFreight Global","Las Pelargonias 842 of. 1309  , Concon, Valparaiso, 2521000","","","https://www.freightnet.com/profile/252123.htm","No"
"Logistica Flexi","Los Espinos 2941 , Macul, Santiago, 7810308","","","https://www.freightnet.com/profile/140165.htm","No"
"PRICER","Avenida El Retiro 1227, Warehouse 163 , Renca, Santiago, Chile, 7570014","","","https://www.freightnet.com/profile/157568.htm","No"
"Seemann y Cia Ltda.","Av. Providencia 1650 , of 1402, Santiago, Chile, 7500000","","","https://www.freightnet.com/profile/194897.htm","No"
"Inter-Freight Logistics SpA","Ramón Subercaseaux 1268 Oficina 1204 , Santiago, Chile, 8910131","","","https://www.freightnet.com/profile/230495.htm","No"
"Tradewings Chile","La Gioconda 4365 , Santiago, Metropolitana, 7561266","","","https://www.freightnet.com/profile/243313.htm","No"
"U-BERLIN LOGISTICS","Av. Principe de Gales 5921 , Santiago, CHILE, 7850298","","","https://www.freightnet.com/profile/141328.htm","No"
"CARGOCORP LOGISTICS SPA","AV. PROVIDENCIA # 1208 OF. 309 , PROVIDENCIA, SANTIAGO, REGION METROPOLITANA, 7500571","","","https://www.freightnet.com/profile/161931.htm","No"
"Seemann y Cia Ltda","Avenida Providencia 1650 , of 1402, Santiago, Chile, 7500000","","","https://www.freightnet.com/profile/195413.htm","No"
"CUPA SHIPPING, LLC","Providencia Santiago , Iquique, Chile, Santiago, Chile, Chile, 7500000","","","https://www.freightnet.com/profile/228318.htm","No"
"C-SAT SPA  Your best agent in Chile","SANTIAGO/SAN ANTONIO/IQUIQUE  ,  IMPORT & EXPORT /REMOVALS, Valparaiso, Chile, 2362389","","","https://www.freightnet.com/profile/90756.htm","No"
"SMART LOGISTICS CHILE LTDA","SAN MARTIN 133 SUITE A , SANTIAGO, SANTIAGO, 8340484","","","https://www.freightnet.com/profile/137559.htm","No"
"TABEX SPA","Las Condes 7700 , Santiago, International, 7550000","","","https://www.freightnet.com/profile/205214.htm","No"
"ACOSTA Y AGUAYO","Edificio Centro Aeropuerto Av. Américo Vespucio 1309 Of. 301 , Santiago, Chile, 9040423","","","https://www.freightnet.com/profile/144604.htm","No"
"SURASIA CHILE LTDA","LAS RAMADAS 716 SUITE 12 , SANTIAGO, CHILE, 8320047","","","https://www.freightnet.com/profile/103604.htm","No"
"Multimodal Logistics Chile Ltda","Dr, Sotero del rio 326 of 1001 , santiago, santiago, 8340381","","","https://www.freightnet.com/profile/105199.htm","No"
"CNS INTERTRANS  Co., Ltd","Rm2301, Aoxinya Building, Caitian South Road, Futian District,Shenzhen,China , Gangxia, Nanshan, 518000","","","https://www.freightnet.com/profile/180127.htm","No"
