"name","address","phone","website","profileUrl","isPremiumMember"
"Infinity Global Logistics LTD","Room 1801, Tower B, No. 588 Zhangyang Road, Pudong New Area, Shanghai, China, 200120, ShangHai, China,","","","https://www.freightnet.com/profile/252488.htm","Yes"
"Myriver New Sails International Logistics CO., LTD","4F, Oversea friendship BLD, Yingchun RD, Luohu District, Shenzhen, Guangdong, 518000","+8615813832873","http://www.myriver-sails.com/","https://www.freightnet.com/profile/239666.htm","Yes"
"Shenzhen Maxspeed Logistics Co., Ltd","Room#706-710, Section B, Pacific Commercial Trading Building,  No.4028 Jiabin Road, Luohu District, Shenzhen, China., FUTIAN, SHENZHEN, 518000","+8615622874173","http://www.szmaxspeed.com/","https://www.freightnet.com/profile/250176.htm","Yes"
"Shenzhen Daoyi International Logistics Co., Ltd","1# Cuizhu Rd., Nanlian, Longgang,Shenzhen, Guangdong, 518116","+8617388795117","https://www.dycargo.net/","https://www.freightnet.com/profile/181172.htm","Yes"
"Goodhope Logistics company Shenzhen China Limited","Room 1012,Zhonghao build, Baguasi Road ,Futian District, shenzhen, Guangdong, 518000","86-18938691638","https://goodhopefreight.com/","https://www.freightnet.com/profile/233451.htm","Yes"
"HEAD CARGO CO. , LTD","A113,No.4,Haoye Road,Heping Community, Fuhai Street, Baoan District, Shenzhen,China, Dongguan, China, 518100","+86-15914148661","","https://www.freightnet.com/profile/182897.htm","Yes"
"Sinotech Logistics Co., Ltd.","Floor 27th, Block A, World Trade Plaza, Fuhong Road, Futian District, Shenzhen, China, 518033","+86 15798237142","https://www.sinotechline.com/zh/","https://www.freightnet.com/profile/253855.htm","Yes"
"Shanghai LXC Global Logistics Co., Ltd.","606#, Bld. L3B, Hongqiao World Center, Zhuguang Rd., Qingpu Dist., Shanghai , shanghai, China, shanghai","","","https://www.freightnet.com/profile/264956.htm","No"
"Bondex Logistics Co., Ltd. (Chengdu Branch)","Floor 36, NIC (National Innovation Center), No.1777 North Section of Tianfu Avenue, Hi-Tech Zone, Wuhou District, Chengdu City, Sichuan Province, China , Chengdu, Sichuan, China, 610095","","","https://www.freightnet.com/profile/263167.htm","No"
"Shenzhen Hummingbird Logistics Co.,Ltd","Add: Room 523, Longsheng Business Building, No. 3, Fuhai Science and Technology Industrial Park, Fuyong Street, Bao'an District, Shenzhen City, Guangdong Province China    , Shenzhen, Baoan, 524500","","","https://www.freightnet.com/profile/261504.htm","No"
"sunshow","ROOM 1806, SHICHU CUSTOMS CLEARANCE BUILDING, NO.1028, SOUTH DONGMEN ROAD,518002 LUOHU DISTRICT, SHENZHEN,CHINA  , shenzhen, china, 518002","","","https://www.freightnet.com/profile/255919.htm","No"
"Chohelp International Forwarding Ltd","902-904 Tower One, Bay Int’l Center Country Garden，No.16 Chezhan Road, Nancheng Disrict , Dongguan, Guangdong, 523000","","","https://www.freightnet.com/profile/163438.htm","No"
"TJ China Freight","Tenglong Road, Longhua District, Shenzhen City, Guangdong Province. Building A, Longguang Jiuzhuang, Room 1108. , LongHua, Shenzhen, 465464","","","https://www.freightnet.com/profile/262716.htm","No"
"Shanghai Feihong International Cargo Transportation Agency Co. LTD","102, Building 6, 319 Tongli Road, Songjiang District, Shanghai, Song jiang, jiu ting, 201615","","","https://www.freightnet.com/profile/213174.htm","No"
"深圳云翼国际物流","广东省深圳市龙华区天汇大厦805 , 龙华, 中国, 362000","","","https://www.freightnet.com/profile/260326.htm","No"
"Shanghai Wecare Logistics Co.,LTD","Room 712,Block A East Coast,Chuansha Road, Pudong New Area,Shanghai,China 201299, Shanghai, Shanghai, 201299","","","https://www.freightnet.com/profile/236258.htm","No"
"Freightshop Technology Co., Ltd","广东省深圳市宝安区宝安大道5010号西部硅谷国际商务cbd中心b座 , 深圳市宝安区, 深圳市宝安区, 518000","","","https://www.freightnet.com/profile/259870.htm","No"
"SOARING INTERNATIONAL SPEDITION CO.,LTD","Room 1202, CMEC Plaza B, No.1028 Buji Road,Luohu District, Shenzhen , shenzhen, Guangdong, 510000","","","https://www.freightnet.com/profile/231278.htm","No"
"CNT GLOBAL FREIGHT CO. LTD.","Room 2605-2607, Building A, World Trade      Plaza, No. 9 Fuhong Road, Futian District , SHENZHEN, SHENZHEN, CHIN, 518000","","","https://www.freightnet.com/profile/250174.htm","No"
"Airstar Logistics company","广东省深圳市盐田区 , Shenzhen, 广东, 518000","","","https://www.freightnet.com/profile/258617.htm","No"
"Bridgelink Logistics Ltd","Address:Room1507, Building 175,, Shenzhen, Baishilong Community, Longhua District, 518000","","","https://www.freightnet.com/profile/258258.htm","No"
"Shenzhen Cargoes Depot Modern Logistics Co., Ltd.","701, Block A, Lushan Building, No.3023, Chunfeng Rd., Luohu District, Shenzhen, Guangdong, China , Luohu, Shenzhen, 518000","","","https://www.freightnet.com/profile/257411.htm","No"
"OVD International Air Cargo","RM709-710, Hemglu E Era Plaza, Pingji North Road, Longgang District, Shenzhen China , Shenzhen, China, 518111","","","https://www.freightnet.com/profile/257238.htm","No"
"Harvest International Logistics Co., Ltd","China , Hong Kong, Guangdong, Shenzhen, Guangdong, 518000","","","https://www.freightnet.com/profile/257243.htm","No"
