"name","address","phone","website","profileUrl","isPremiumMember"
"Guangdong Shengrong International Transport Co.,Ltd","(No. 178, North Building, 101-104）No. 38, Hangyunnan Street, Airport Road, Baiyun District, Guangzhou City, Guangdong Province , Guangzhou, China, 510000","+86 13823053919","http://www.gdsr.cc/","https://www.freightnet.com/profile/248005.htm","Yes"
"SHENZHEN TONCENT  INT'L LOGISTICS CO.,LTD","Room 4029, North JUNYI Business Center, South of Lixin road,Huaide, Fuyong, Baoan district, Shenzhen, Bao'An, Shenzhen, 518103","+86-13590306568/18002548153","","https://www.freightnet.com/profile/155437.htm","Yes"
"SDI Logistics Co Ltd","Room2104,Fuyuan Commerce .and trade center, 44th  Baoan,Shenzhen P.R.China, Baoan, China, 518101","0755-82591006","","https://www.freightnet.com/profile/169414.htm","Yes"
"Shenzhen CERT International Logistics Co. Ltd.","ROOM 32A-2,TOWER 3,LEHUI SCIENCE CENTER,NO.489, JIHUA ROAD,BANTIAN,LONGGANG DISTRICT, SHENZHEN, PRC, 518100","86-13554728465","","https://www.freightnet.com/profile/254898.htm","Yes"
"kirin transportation inc","Room 809 Semgo Building  , guangzhou, Canton, 641000","","","https://www.freightnet.com/profile/211084.htm","No"
"Union Wings Shipping.,Ltd","Shenzhen city lianhua street kangxin community north road 7057 , Nanshan district, China, 518000","","","https://www.freightnet.com/profile/249233.htm","No"
"Prochinafreight Co., Ltd","No 30, Caowei Road , Xixiang, Baoan District, Shenzhen, 518000","","","https://www.freightnet.com/profile/109510.htm","No"
"EXCELSIS INTERNATIONAL TRADING AS AGENTS  OF EKKLESIA SHIPPING AND GLOBE SUCESS CHINA","22 F, BLOCK A ZHONGMIN TIMES SQUAR , LUOHU, SHENZHEN, CHINA, 518000","","","https://www.freightnet.com/profile/176625.htm","No"
"COSUN LOGISTICS CO.LTD","RM  F~G , FL 12 . B Block  . Lushan Building ,Luohu District .Shenzhen ,China , Shenzhen,China, China, 518000","","","https://www.freightnet.com/profile/163113.htm","No"
"QINGDAO THAMOTRANS INTL LOGISTICS CO  LTD","ROOM 2131 , CENTURY BUILDING, NO.39 DONGHAI WEST ROAD , QINGDAO , SHANDONG PROVINCE, CHINA, 266071","","","https://www.freightnet.com/profile/163261.htm","No"
"SHENZHEN SHUNRUIDA INTERNATIONAL LOGISTICS CO.","A1202 Building 4 Tianan Cyber park, Huangge Rd., Longgang, Shenzhen, Guangdong, China , shenzhen, shenzhen, 0755","","","https://www.freightnet.com/profile/211834.htm","No"
"广州万嘉达国际货运代理Guangzhou wanjiada international freight forwarder","中国广东省广州市白云区新市齐富路腾运大厦109档 , Room 109, tengyun building, qifu road, baiyun district, guangzhou city, guangdong province, China, 白云, 广州, 510400","","","https://www.freightnet.com/profile/172763.htm","No"
"SHENZHEN MEIHE INTERNATIONAL LOGISTICS CO., LTD","ROOM10,19F, JINTIAN BUILDING, NO.1199 HE PING ROAD,LUOHU DISTRICT,SHENZHEN.CHINA , Shenzhen, China, 518002","","","https://www.freightnet.com/profile/171058.htm","No"
"Shenzhen Makeasy Int’l Logistics Co.,Ltd","Rm 428, Investment Mansion, No.4044 Pingshan Blvd, Pingshan District,  Shenzhen, China  , pingshan, shenzhen, 518000","","","https://www.freightnet.com/profile/146157.htm","No"
"AOL CO.,LTD","Unit 13, 17th Floor, Block B Jiansheng Building, No.1 of PIJI Avenue Buji, Longgang District,, Shenzhen, Guangdong, 518114","","","https://www.freightnet.com/profile/177743.htm","No"
"SDI Logistics Co Ltd","Room2104,Fuyuan Commerce .and trade center, 44th  Baoan,Shenzhen P.R.China , Room2104,Fuyuan Commerce .and trade center, 44th  Baoan,Shenzhen P.R.China, Shenzhen, Guangdong, 518000","","","https://www.freightnet.com/profile/167295.htm","No"
"M&L CONTAINER LINES","jiabin road luohu district shenzhen , jiabin road luohu district, SHENZHEN, China, 518021","","","https://www.freightnet.com/profile/177903.htm","No"
"Shenzhen Wanxun International Logistics Co.,Ltd.","13F, China Zhongjian Building, No.2105 Shennan East Road, Shenzhen, China. , Shenzhen, Guangdong, 518002","","","https://www.freightnet.com/profile/152856.htm","No"
"DALIAN TOP SHIP INTERNATIONAL TRANSPORTATION AGENC","RM1568 KAMEI BUILDING,NO.61 RENMIN ROAD,ZHONGSHAN DISTRICT DALIAN,CHINA , DALIAN, DALIAN, 116001","","","https://www.freightnet.com/profile/166326.htm","No"
"Just Supply Chain Service(Shen Zhen)","Room 3A07, building A, Kaidaan Center , No.33 Hengyi Rd, Silian Community, Shenzhen, Guangdong, 518116","","","https://www.freightnet.com/profile/168851.htm","No"
"QHI Logistics Co.,Ltd.","F26,ShenHua Commercial Building,NanHu Road,NanHu Street,LuoHu District,, Shenzhen, Guangdong, 518000","","","https://www.freightnet.com/profile/141280.htm","No"
"LONGSAIL INTERNATIONAL LOGISTICS CO.,LTD.","Address:3/F Wenhua Building West. Shennan East Rd. Shenzhen. China. , Address:3/F Wenhua Building West. Shennan East Rd. Shenzhen. China., Address:3/F Wenhua Building West. Shennan East Rd. Shenzhen. China., china, 518000","","","https://www.freightnet.com/profile/147935.htm","No"
"Spread Courier Asia","Warehouse 05-7 , Ist Customs Supervision Warehouse Area, Shanghai, China, 201202","","","https://www.freightnet.com/profile/140710.htm","No"
"Guangzhou Junfeng Supply Chain Co. Ltd","Floor 4th, Building 9, Creative Park , Gongye Road 2nd Wanggang, Baiyun District, GuangDong, 510440","","","https://www.freightnet.com/profile/138228.htm","No"
"Shanghai Yuetian Logistics Co., Ltd.","No. 1358, Fanghe Road , Minhang, Shanghai, 201109","","","https://www.freightnet.com/profile/119539.htm","No"
"Umbrella Logistics","Room 2410, CunJin Building, Dong Men Nan Road, LuoHu District, Shenzhen, China. , LuoHu, Shenzhen, 518000","","","https://www.freightnet.com/profile/132773.htm","No"
"SHANGHAI WINDOWS LOGISTICS COMPANY LIMITED","ROOM B512,2ND LIZHENG BUILDING, NO.777,CHANGZHI(E)ROAD,HONGKOU DISTRICT,SHANGHAI,CHINA  , HONGKOU, SHANGHAI, 200082","","","https://www.freightnet.com/profile/113318.htm","No"
"AL INT'L TRANSPOTATION CO., LTD","SUSHELU,201 DONG , KONGANTING.HUANGXIDONGLU, GUANGZHOU, CHINA, -","","","https://www.freightnet.com/profile/110602.htm","No"
"Guangzhou Zhenhong International Forwarding co., lltd","RM7016,GEPING BIZ BUILDING, NO.685 ,BAIYUN MAIN SOUTH ROAD, GUANGZHOU, CHINA, 020","","","https://www.freightnet.com/profile/92462.htm","No"
"Shanghai QuanXin International Express Company","#133,Nong551,LiAn Rd,MinHang District,Shanghai , xinzhuang, shanghai, 201199","","","https://www.freightnet.com/profile/57956.htm","No"
"Star Shipping International Ltd","RM. 1010 PENAVECO BLDG. , NO. 5 XUZHOU ROAD, Hexi, Tianjin, 30042","","","https://www.freightnet.com/profile/43961.htm","No"
"Guangzhou hurricane express company","D8,Park Jiangxia,Huangshi East Road,Baiyun district , Guangzhou, China, 510420","","","https://www.freightnet.com/profile/57371.htm","No"
"P&G Air Cargo & Express Co. Ltd.","D111-113, Hongsen International Logistics Center , Guangzhou, Guangdong, 510000","","","https://www.freightnet.com/profile/22773.htm","No"
