"name","address","phone","website","profileUrl","isPremiumMember"
"WELLFAST SHIPPING COMPANY LIMITED","218 Zhonghe Financial Building, 1220 Zhoujiazui Road, Yangpu, Shanghai, 200082","+86-21-65411527","http://www.wellfast.com/","https://www.freightnet.com/profile/12452.htm","Yes"
"Shenzhen E-boost Supply Chain Co,. Ltd","Room1308, Zhongan Building, Square road, Wenjing Community, Buji Street, Longgang District, Shenzhen, China, Shenzhen, China, 518112","13760436315","http://www.sz-eboost.com/","https://www.freightnet.com/profile/201907.htm","Yes"
"昌盛国际货运代理有限公司","青岛市香港中路6号, 青岛市香港中路6号, 青岛市香港中路6号, 青岛市香港中路6号, 266000","+86053289081362","","https://www.freightnet.com/profile/162201.htm","Yes"
"Shanghai Transtar International Freight Forwarding Co.,Ltd.","Room 550, Bldg 9, No 2241, Pingliang Road, Shanghai, 200090, China, Shanghai, Shanghai, 200090","13918582557","http://www.transtar-freight.com/","https://www.freightnet.com/profile/259227.htm","Yes"
"宁波豪会拼国际物流有限公司","浙江省宁波市江北区北岸财富中心4幢7-2-3, 江北区, 江北区, 315040","15905786655","","https://www.freightnet.com/profile/265156.htm","Yes"
"Apollo SCM Pty","NO.18 Hongkong Middle ROAD,QINGDAO, 266071, P.R.CHINA , QINGDAO, CHINA, 266071","+86-13964825686","http://www.apollo-scm.com/","https://www.freightnet.com/profile/95554.htm","Yes"
"Guangzhou Feiya International Freight Forwarding Co. Ltd","A118, Room 2301, No. 8 Jingang Avenue, Nansha Street, Nansha District, Guangzhou, China, Guangzhou, china, 530210","13422013986","https://feiyalogistics.myaipages.com/","https://www.freightnet.com/profile/213795.htm","Yes"
"TJ China Freight Co., Ltd","7/F,Cunjin building,No.3005 Dongmen south road,Luohu district , Shenzhen, Guangdong, 518000","+86-755-25117540","https://www.tj-chinafreight.com/","https://www.freightnet.com/profile/182892.htm","Yes"
"Ring Vietnam - HCM branch","M1 - 1.06, Jamona City, Dao Tri street, District 7  , Ho Chi Minh city, Ho Chi Minh city, 72907","+84988224022","","https://www.freightnet.com/profile/263006.htm","Yes"
"GrandPath International Logistics Co., Ltd.","6D-A028, Yi'An Zhifu Building, No.20, Shatianwei 3rd Street, Huanggekeng Community, Longcheng Street, Longgang, Shenzhen, 518000","+86 14776005849","","https://www.freightnet.com/profile/262703.htm","Yes"
"BLACK SEA INTERNATIONAL LOGISTICS CO.,LIMITED","XIXIANG BAO AN SHENZHEN GUANGDONG PROVINCE, SHENZHEN, CHINA, 518000","+86 18682285635","http://www.sz-bsil.com/","https://www.freightnet.com/profile/45149.htm","Yes"
"BLM cross-border logistics","Room 502, No.10, Lane 818, Qianhe 'nan Road, Shounan Street, Yinzhou District, Ningbo, Zhejiang, China, YinZhou, NingBo, 315000","+86 13136389195","","https://www.freightnet.com/profile/249013.htm","Yes"
"NINGBO GST LOGISTICS CO., LTD.","Ningbo,China, Yinzhou District, Room 19-8,Building 003,NO. 3,5,6,Century Oriental Commercial Plaza, 315043","13656889054","","https://www.freightnet.com/profile/255205.htm","Yes"
"YIT LOGISTICS LIMITED","Room 504C Meijing Building, No. 1155 Wenjin Road,, Shenzhen, Guangdong, 518001","86-755-25103658","http://www.yitlogistics.com.cn/","https://www.freightnet.com/profile/43655.htm","Yes"
"SHENZHEN HOSHINE INTERNATIONAL LOGISTICS CO LTD","C3-511, ZHONGJIA CREATIVE PARK, NO. 65, DONGHUAN SECOND ROAD, LONGHUA DISTRICT, SHENZHEN, CHINA, LONGHUA DISTRICT, CHINA, 518000","13480612267","","https://www.freightnet.com/profile/223040.htm","Yes"
