"name","address","phone","website","profileUrl","isPremiumMember"
"TX logistics","26 bach dang 2 , HCM, Quận Tân ZBinh, 23","","","https://www.freightnet.com/profile/264337.htm","No"
"Global Transportation","wuhan  , wuhan, wuhan, 430000","","","https://www.freightnet.com/profile/257680.htm","No"
"Longwind Logistics., LTD","Room 2308, Shenhua Commercial Building, 2018 Jiabin Road, Luohu District, Shenzhen, China , Shenzhen, Guangdong, 518000","","","https://www.freightnet.com/profile/224582.htm","No"
"Chongqing  Hunicorn Integrated Logistics CO., Ltd","Room 2703, T2 Times Center Guanyinqiao Jiangbei District, Chongqing,China , Chongqing, China, 400020","","","https://www.freightnet.com/profile/229720.htm","No"
"CPL Network","Qingdao,China , HK,China, Shinan, China, 21","","","https://www.freightnet.com/profile/224941.htm","No"
"GLA","2109, 21st Floor, HongChang Plaza,Shennan Dong Road NO 2001, Luohu district, Shenzhen, China                   , 2109, 21st Floor, HongChang Plaza,Shennan Dong Road NO 2001, Luohu district, Shenzhen, China, 2109, 21st Floor, HongChang Plaza,Shennan Dong Road NO 2001, Luohu district, Shenzhen, China, 2109, 21st Floor, HongChang Plaza,Shennan Dong Road NO 2001, Luohu district, Shenzhen, China","","","https://www.freightnet.com/profile/170495.htm","No"
"ji","haizhu , GUANGZHOU, GUANGDONG, 510240","","","https://www.freightnet.com/profile/136196.htm","No"
"Shenzhen Sino-ocean International Transportation Ltd","RM1203-1204，Hisee International Commercial Center,4096 Dongbin Road,Nanshan District,Shenzhen,Guangdong,China , Nanshan District, shenzhen, 518000","","","https://www.freightnet.com/profile/148173.htm","No"
"Fleet Logistics Corp.","Room 01-1715, Block B, Pacific Commercial Building, 4028 Jiabin Road, Luohu District, Shenzhen , Shenzhen, China, 518000","","","https://www.freightnet.com/profile/143819.htm","No"
"China Wellfast Logistics Co.,Ltd","Room 301 Zhonghe Financial Building,No.1220 Zhoujiazui Road,Shanghai China. , Shanghai, China, 200082","","","https://www.freightnet.com/profile/137498.htm","No"
"DONG GUAN ELITE SUPPLY CHAIN MANAGEMENT CO., LTD","NO.6,Industrial road,Litch Garden Park,Luwu, D1-1020, first floor, Building D, Foshan International Furniture Expo Mall,  No.189, Foshan Avenue ,Chan Cheng District, Foshan, Changping Town, Dongguan City, Guangdong Province, China, 523000","","","https://www.freightnet.com/profile/109779.htm","No"
"Shenzhen Longsail International Logistics Co,Ltd(WCA,WFN Member)","3F,Wenhua Building West .Shennan East Rd Shenzhen China , Shenzhen, China, 518000","","","https://www.freightnet.com/profile/61464.htm","No"
"Globe Success Int'l Transportation (Shenzhen) Ltd.","18FL.,Oversea Friendship Building,No.12 YingChun Rd,Shenzhen,China ZIP CODE: 518003 , Luohu district, China, 518003","","","https://www.freightnet.com/profile/106822.htm","No"
"Brighten Logistics","rm2601,sungang rd. , luohu,Shenzhen, luohu, China, 518000","","","https://www.freightnet.com/profile/65469.htm","No"
"Shenzhen JW logistics co.,ltd","Rm403-407 Black B,South International Plaza Yitian Road,Futian.Shenzhen,china , Shenzhen, China, 518020","","","https://www.freightnet.com/profile/59159.htm","No"
"Fast-Link (Shanghai) International Transportation Co. Ltd.","Rm. G & H, 7/F., Watanabe Business Center , No. 55, Lin Ping Bei Road, Shanghai, 200080","","","https://www.freightnet.com/profile/22546.htm","No"
