"name","address","phone","website","profileUrl","isPremiumMember"
"AlleasySCM","Guangdong , Shenzhen, China, 518111","","","https://www.freightnet.com/profile/261214.htm","No"
"TOPSTAR","Room 1403, Building 3,Xiongchuan Financial Center,198 Tianfu 2nd Street , High-Tech Zone, Chengdu, Sichuan 610093, China , CHENGDU, SICHUAN, 610093","","","https://www.freightnet.com/profile/261580.htm","No"
"星东国际物流(宁波）有限公司","浙 江 省 宁 波 市 鄞 州 区 兴 宁 路 4 2 弄 1 号 金 汇 大 厦 （ 8 - 8 ） , 鄞州区, 兴宁路, 315100","","","https://www.freightnet.com/profile/233526.htm","No"
"Sinotrans（HK）shipping limited","Rooms F&G, 20th Floor MG Tower, 133 Hoi Bun Road, Kwun Tong , Kowloon, Hong Kong, 999077","","","https://www.freightnet.com/profile/234388.htm","No"
"China Line Logistics Corporation Limite","shenzhen , shenzhen, shenzhen, shenzhen, 518000","","","https://www.freightnet.com/profile/207742.htm","No"
"SINOOCEAN GROUP LTD","4F, West  Block ,Building 428,No .43 Bagua Road , Futian district  ,Shenzhen city, Guangdong ,china, 518001","","","https://www.freightnet.com/profile/129851.htm","No"
"CANWAY INTERNATIONAL LOGISTICS CO.,LTD.","No.103, unit4 Room 5, Mei Xin Fei Cui Ming Ting Qing He Road , PANYUN,GUANGZHOU, CHINA, 511450","","","https://www.freightnet.com/profile/93031.htm","No"
"深圳锦坤物流","深圳市光明区白花洞物流园锦坤物流 , 龙华百川达工业区五楼, 龙华, 龙华, 518000","","","https://www.freightnet.com/profile/211184.htm","No"
"SHENZHEN E.S.G INTERNATIONAL LOGISTICS CO., LTD","RM 12g  Mingshang Court, ShenGang Garden , South Of Baoan Rd,  Luohu DC, Shenzhen, China, 518002","","","https://www.freightnet.com/profile/163310.htm","No"
"SHENZHEN WILLGLOBAL SCM CO., LTD","Rm.2107,21F.Hung  Cheong Plaza, Shennan East Rd, Shenzhen,China   , Hung  Cheong Plaza, Shennan East Rd, Shenzhen, Rm.2107,21F","","","https://www.freightnet.com/profile/202423.htm","No"
"Xiamen Finder Supply Chain Co.,Ltd","Unit Q,2F,No.18 Yunan Road,Xiamen,Fujian,China , Xiamen, China, 361000","","","https://www.freightnet.com/profile/159172.htm","No"
"Long Sailing International Logistics.Ltd","Wenhua Building,Luo Hu,Shenzhen , Luo Hu,Shenzhen, China, 518001","","","https://www.freightnet.com/profile/152571.htm","No"
