"name","address","phone","website","profileUrl","isPremiumMember"
"ShenZhen Smile Int'l Logistics Co.,LTD.","Room 1417,Building A, Bao Neng Hui Gu, Luohu District,Shenzhen,Guangdong,China. , shenzhen, china, 518001","","","https://www.freightnet.com/profile/174804.htm","No"
"Xian widesafe international logistics Ltd,.Co.","shannxi , xian, xian, shannxi, 710000","","","https://www.freightnet.com/profile/249103.htm","No"
"NOVA International Logistics (Chengdu) Ltd.","127018, г.Москва, улица Двинцев, 12к1Б , 602, Aiki Innovation Building, Shuangliu District, Chengdu, China, Чэнду, China, 611830","","","https://www.freightnet.com/profile/235451.htm","No"
"YH Logistics","Chuanxin Building, No. 18, South Renmin Road, Jinjiang District, Chengdu, China , Chengdu, China, 610000","","","https://www.freightnet.com/profile/221765.htm","No"
"Just Supply Chain Service Co.,Ltd","Room 3A13,Building B ,Hengyi Road 33th,Silian Community,Henggang Street,Longggang District,Shenzhen,Guangdong,China , SHEZNHEN, CHINA, 518000","","","https://www.freightnet.com/profile/208790.htm","No"
"诺瓦供应链管理（深圳）有限公司","广东省深圳市龙岗区布澜路182号宝泰大厦19楼1901-1907 , 龙岗区, 龙岗区, 518100","","","https://www.freightnet.com/profile/200541.htm","No"
"成都大洋物流有限公司","中国 , 四川, 高新区, 高新区, 610000","","","https://www.freightnet.com/profile/189506.htm","No"
"widesafe.com","10801Room,Block19,FengJingYuYuan,Fengcheng 8 Rd, Economy Techonology Development Zone, Xi'an City, Shaanxi Province, PRC  , xi'an, China, 710000","","","https://www.freightnet.com/profile/180314.htm","No"
"Hangzhou Tieji Freight Co.,Ltd.","Floor 21,Bldg 5,Lanjue Int\\\'l Center,No.358 Jincheng Road, Hangzhou,China , 萧山区, China, 311200","","","https://www.freightnet.com/profile/149326.htm","No"
"TOPRAIL INTERNATIONAL LOGISTICS CO., LIMITED","Room 2219 Block B,Tiansha Jinniu Square, No.8 Taoyuan Road,Nanshan District, Shenzhen, China, 518000","","","https://www.freightnet.com/profile/162084.htm","No"
"HLT(Ningbo) Logistics","Room 801, Tower A, Fubang Plaza, 66 Xingning Road, Jiangdong District,  Ningbo, China , Ningbo, Ningbo, 315040","","","https://www.freightnet.com/profile/144777.htm","No"
"Direct Logistics","707, Block A, World Trade Plaza, 9# Fuhong Road, Futian District, Shenzhen, China-518033 , Shenzhen, China, 518033","","","https://www.freightnet.com/profile/102287.htm","No"
"jetcom international logistics limited","Shanghai of China , Shanghai, China, 200423","","","https://www.freightnet.com/profile/84928.htm","No"
"CPTS","Rm607-B,World Trade Center , Tianjin, China, 300220","","","https://www.freightnet.com/profile/60180.htm","No"
