"name","address","phone","website","profileUrl","isPremiumMember"
"szsilversea","Luohu, Shenzhen, China, 罗湖, Luohu, 518001","19925305651","","https://www.freightnet.com/profile/228211.htm","Yes"
"CA STAR INTERNATIONAL TRANSPORTATION LIMITED","广东省深圳市龙岗区布吉街道南三社区中兴路13号亿盛大厦815 , 广东省深圳市龙岗区布吉街道南三社区中兴路13号亿盛大厦, 广东省深圳市龙岗区布吉街道, China, 518100","","","https://www.freightnet.com/profile/257812.htm","No"
"csl shipping","ningbo , shanghai, ningbo, zhejiang, 315000","","","https://www.freightnet.com/profile/264687.htm","No"
"SHENZHEN ONWARD INTERNATIONAL LOGISTICS CO., LTD.","深圳罗湖区迎春路12号海外联谊大厦1413室 , 选择子类, 广东, 515100","","","https://www.freightnet.com/profile/258424.htm","No"
"Kingstar Shipping (SHENZHEN) Co Ltd","RM706-708,AOKANGDE BLDG  , Shennan East Road, LUOHU, SHENZHEN/GUANGDONG, 518001","","","https://www.freightnet.com/profile/176325.htm","No"
"深圳美华国际","北美 , 欧洲, YANTIAN, GUANGDONG, CHINA (CY), 广州/深圳, 431002","","","https://www.freightnet.com/profile/255077.htm","No"
"Astar Shipping China Co.,Ltd","809-810,TowerB,IparkBuilding,DengliangRd,Nanshan District , Shenzhen, Guangdong ,China, 518054","","","https://www.freightnet.com/profile/254691.htm","No"
"深圳坤鑫国际货运","深圳市福田区坤鑫大厦 , 福田, 深圳, 福田","","","https://www.freightnet.com/profile/246090.htm","No"
"Dalian Kangning Logistics Co.,Ltd.","20F Sino-Trans Bldg,No.85 Renmin Road，   Zhongshan Dist., Dalian 116001, China , dalian, CHINA, 116000","","","https://www.freightnet.com/profile/245411.htm","No"
"GLOBE CARGO LOGISTICS (CHINA) LTD.","No. 668, Beijing East Road, Huangpu District, Shanghai , Huangpu District, Shanghai Municipality, 200001","","","https://www.freightnet.com/profile/221123.htm","No"
"Rhenus Logistics","Units 3011-3015,30/F, ShunHing Square,  No. 5002 Shennan East Road,Luohu District,  Shenzhen,518001, P.R. China , Shenzhen, China, 518048","","","https://www.freightnet.com/profile/227648.htm","No"
"SHENZHEN S&R INTERNATIONAL LOGISTICS","SHENZHEN , SHANGHANG, NINGBO, CHINA, QIJIA","","","https://www.freightnet.com/profile/210973.htm","No"
"深圳市欧美嘉国际货运代理有限公司","深圳市南山区招商街道桃花园社区 , 深圳市, 南山区, 88888","","","https://www.freightnet.com/profile/207205.htm","No"
"Accord logistics","29C, Block B, Building 1, Mingyuan Phase I, Joo Queen Road,  Longtang Community, Minzhi Street, Longhua New  District, Shenzhen,P.R. China , SHENZHEN, CHINA, 518000","","","https://www.freightnet.com/profile/206662.htm","No"
"Hola Int'l Sourcing Logistics Co., Ltd.","17th Floor, International Trade Commercial Bldg, Nanhu Rd, Luohu District, Shenzhen, China , shenzhen, shenzhen, 518002","","","https://www.freightnet.com/profile/203703.htm","No"
"TIANJIN WINNEW HEAVY MARINE CO.,LTD","RoomB-1109, JingYan Mansion, No.109 WeiJinNan Rd , Nankai district, Tianjin, 300310","","","https://www.freightnet.com/profile/115947.htm","No"
"The Ultimate solid logistics ltd changsha branch","Room 211-214,Dongtang Rui Fu,Shaoshan Rord431,Changsha , ChangSha, China, 410000","","","https://www.freightnet.com/profile/188907.htm","No"
"New Wang An Logistics(China)Co.,Ltd","Unit1506,15/F, Block A,Vigor Industrial Building,14-20 Cheung Tat Road,Tsing Yi New Territories,Hong Kong  , Room 201,unit 2 ,building 1,Jiuzhou grden, No.455, qinlv road,Zhuhai,PRC, xiangzhou, China, 51000","","","https://www.freightnet.com/profile/154305.htm","No"
"First Party Co Ltd","R.M1002 Hualian Building 233 Dong Feng Road West , , Guangdong,","","","https://www.freightnet.com/profile/7511.htm","No"
"SHENZHEN SUNSHOW INTERNATIONAL LOGISTICS  CO.,LTD.","8TH FL., Chaoshan Mansion, No.1036 South dongmen Rd., Luohu District,Shenzhen, China , luohu, china, 518001","","","https://www.freightnet.com/profile/131600.htm","No"
"China Shipping Lines Co., Ltd","Room 413,4/Fl.,Fude Business Building,Cuigang west Road, FuYong, Baoan District, Shenzhen, Guangdong, P,R,China , Fuyong, China, 518000","","","https://www.freightnet.com/profile/132036.htm","No"
"Long Sail International Logistics Co.Ltd","Floor 2nd,3rd,4th,7th and 12th, Wenhua Building West, Luohu District, Shenzhen,China, 518000","","","https://www.freightnet.com/profile/128204.htm","No"
"CHINA BULK CHARTERING CO.,LTD","SHUYUAN Road , Qingdao, Shandong, 266000","","","https://www.freightnet.com/profile/21623.htm","No"
"GET SHIPPING CO.,LTD.","2nd Floor, No.175 East Yan An Road, Shanghai(200002), China , Shanghai, China, 200002","","","https://www.freightnet.com/profile/89516.htm","No"
"Shanghai SRF International Co.,Ltd","china , shanghai, hongkou, 210000","","","https://www.freightnet.com/profile/111413.htm","No"
"SEA SHELL LOGISTICS","5109th,Diwang Building,Luohu district,Shenzhen , 903th,Aijia International Manssion,288th,Wuhu Road,Shanghai, Shenzhen, China, 518000","","","https://www.freightnet.com/profile/114593.htm","No"
"China Hurricane express co.,ltd","D5,Park Jiangxia,Huangshi East Road,Baiyun district,Guangzhou,China , Guangzhou, China, 510420","","","https://www.freightnet.com/profile/109170.htm","No"
"XIAMEN XINGHAN INTERNATIONAL FREIGHT TRANSPORT AGENT CO.,LTD","XIANGYU BUILDING FLOOR 12,ROOM A1. XIAMEN,CHINA , xiamen, china, 361000","","","https://www.freightnet.com/profile/94024.htm","No"
"Bon Trans Logistics Co.,Ltd","ROOM 7053, CITY SQUARE EAST BLOCK OFFICE BUILDING , 4025 JIABIN ROAD, LUOHU, Shenzhen, Guangdong, 518001","","","https://www.freightnet.com/profile/50186.htm","No"
"China Shipping Container Liner Guangzhou Co Ltd","24F, Guangzhou Intl Trade Center , No.1 Lihne Road West, Tian He, Guangzhou, Guangdong, 510610","","","https://www.freightnet.com/profile/23871.htm","No"
"T-LINK SHIPPING COMPANY LIMITED","SHENZHEN, CHINA , SHENZHEN, CHINA, 538000","","","https://www.freightnet.com/profile/92645.htm","No"
"Sea Way Shipping & Enterprises Ltd","1509 room,siping road ,hongkou area ,shanghai,china , shanghai, china, 200086","","","https://www.freightnet.com/profile/57672.htm","No"
"Dowin int'l logistics","free trade zone, fu tian district , shenzhen, China, 518048","","","https://www.freightnet.com/profile/85396.htm","No"
"Kingsun Shipping CO., ltd","Rm 3005, North Tower, Guangzhou World Trade Centre,371 Huan Shi Dong Road, Guangzhou, China 510035 , Guangzhou, Guangdong, 510035","","","https://www.freightnet.com/profile/85339.htm","No"
"Y&H CARGO","hangzhou ,china , hangzhou, China, 310004","","","https://www.freightnet.com/profile/55630.htm","No"
"ZLINE SHIPPING SHANGHAI COMPANY LIMITED","ROOM NO. 904, KAIRUN OFFICE BUILDING NO. 4 , 1611, NORTH SICHUAN ROAD, SHANGHAI, SHANGHAI, CHINA, 200080","","","https://www.freightnet.com/profile/62837.htm","No"
"CHINA GLOBAL MARITIME LINE","SHEKOU , SHENZHEN, CHINA, 518000","","","https://www.freightnet.com/profile/61008.htm","No"
