"name","address","phone","website","profileUrl","isPremiumMember"
"FREIGHT LOGISTIC SAS","CARRERA 83 33-09 INT 301, Barrio La Castellana, Medellin, ANTIOQUIA, 050032","3103958551","http://www.freightlogisticsa.com/","https://www.freightnet.com/profile/44517.htm","Yes"
"MAC LOGISTIC GROUP LTDA","CALLE 3 #17-03 - OFICINA 266, PARQUE INDUSTRIAL SAN JORGE, MOSQUERA, COLOMBIA, 250040","573178600675","http://www.maclogistic.com.co/","https://www.freightnet.com/profile/87260.htm","Yes"
"FALCON FREIGHT SA","ZONA FRANCA INTEXZONA BOD 4, WORLD TRADE CENTER 416 T C, BOGOTA, COLOMBIA, 110111","6018215858","https://www.falconfreight.com.co/","https://www.freightnet.com/profile/253677.htm","Yes"
"MARA BUSINESS GROUP SAS","AV CALLE 72 # 78 - 23 PISO 3, Bogota, Bogota, 111051","+573174052322","http://www.adlogistica.com.co/","https://www.freightnet.com/profile/113930.htm","Yes"
"NEPTUNE LOGISTICS SAS","CALLE 2#18-93 OF. 268 PARQUE INDUSTRIAL SAN JORGE , LA SIERRA - HACIENDA CASA BLANCA, MOSQUERA - CUNDINAMARCA, CUNDINAMARCA, 250047","","","https://www.freightnet.com/profile/263508.htm","No"
"Sermait sas","Cra 57 # 138 - 37 , Bogotá, Distrito Capital de Bogotá, 110111","","","https://www.freightnet.com/profile/202690.htm","No"
"ACL American Cargo Logistcs Ltda","CRA 69 F No 19 A 05 , , Bogota, 12345","","","https://www.freightnet.com/profile/13789.htm","No"
"LICARGA SAS","CL 79 SUR 47 D 85 , SABANETA, ANTIOQUIA, 055450","","","https://www.freightnet.com/profile/259963.htm","No"
"Ingelox SAS","Carrera 61 No. 100 - 78 , Bogota, Bogota, 111010","","","https://www.freightnet.com/profile/142951.htm","No"
"FOREX CARGO COLOMBIA  S.A.S","BOSQUE DIAG 21 # 42-15 , CARTAGENA, COLOMBIA, 0000","","","https://www.freightnet.com/profile/141974.htm","No"
"DISLOGICA","calle 80#70-23 , Barranquilla, Colombia, 080001","","","https://www.freightnet.com/profile/172717.htm","No"
"SLS HOLDING","AV CALLE 24 No 95 - 12 BG 36 , BOGOTA DC, MEDELLIN, CARTAGENA, BARRANQUILLA, CALI, BUENAVENTURA - COLOMBIA, 110911","","","https://www.freightnet.com/profile/56652.htm","No"
"TRANSARENAS INTERNATIONAL CARGO S.A.S.","Cra 49B # 74 - 67 , Barranquilla, Atlántico, 080001","","","https://www.freightnet.com/profile/178153.htm","No"
"EAGLE CARGO SAS","Carrera 83 No. 23-10 , n/a, n/a, Bogota, 110931","","","https://www.freightnet.com/profile/243264.htm","No"
"Global Logistics Company","Calle 93 No 49C - 149 Office: 309 , Barranquilla, Colombia, 80001","","","https://www.freightnet.com/profile/184903.htm","No"
"Asap Cargo SI SAS","Carrera 102 A #25H 45 of 302 , Bogotá, Cundinamarca, 110911","","","https://www.freightnet.com/profile/233093.htm","No"
"JV LOGISTIC SAS","CALLE 24C NO. 80C - 42 , OFICINA 304, BOGOTA, COLOMBIA, 57","","","https://www.freightnet.com/profile/44147.htm","No"
"FIDASS AMERICA SAS","CALLE 24C NO. 80C - 42 P 3  , BOGOTA, BOGOTA D.C., 57 1","","","https://www.freightnet.com/profile/116669.htm","No"
"Alianza Cargo Ltda","Calle25 G Nº 100-89 , Bogota, Distrito Capital, 01","","","https://www.freightnet.com/profile/10623.htm","No"
"XPERIAN LOGISTIC GROUP SAS","CALLE 24C # 80B – 19  OFICINA 201 Barrio Modelia , Bogotá, Bogota D.C., 110931","","","https://www.freightnet.com/profile/127518.htm","No"
"CARGOCOL SAS, BROKERS & FORWARDER","AV CRA 97 # 24C-75 BG 35 , BOGOTA, CUNDINAMARCA, 110911","","","https://www.freightnet.com/profile/155280.htm","No"
