"name","address","phone","website","profileUrl","isPremiumMember"
"Samer International d.o.o.","Remetinečka cesta 139,, Zagreb, Zagreb, HR-10000","+385 91 6058 431","http://www.samer.com/","https://www.freightnet.com/profile/255415.htm","Yes"
"ILIRIYUM AIRFREIGHT D.O.O.","Ulica bana Josipa Jelačića 80, 80, Velika Gorica, Croatia, 10410","+385919839514","","https://www.freightnet.com/profile/258101.htm","Yes"
"Oscar torrez","Zz 2 , Houston, Texas, 10437","","","https://www.freightnet.com/profile/260536.htm","No"
"LOG ADRIA D.O.O.","KUKULJANOVO 182/2 , RIJEKA, CROATIA, 51000","","","https://www.freightnet.com/profile/132877.htm","No"
"Smart Cargo","Jankomir 25 , Zagreb, 10000,","","","https://www.freightnet.com/profile/161563.htm","No"
"TRANS AVIO TIM d.o.o.","FABKOVICEVA 7  , UL.RUDOLFA FIZIRA 9, ZAGREB, CROATIA, 10000","","","https://www.freightnet.com/profile/172408.htm","No"
"Bandic Maritime d.o.o.","Smiljanica 2/II , Split, Croatia, Republic of, 21000","","","https://www.freightnet.com/profile/131045.htm","No"
"Adriatic Logistics Agency","Zrtava Fasizma 15 , Rijeka, Croatia, 51000","","","https://www.freightnet.com/profile/146034.htm","No"
"TransCom","Halilovici 10 - Carinski terminal , Sarajevo, Bosnia and Herzegovina, 71000","","","https://www.freightnet.com/profile/127277.htm","No"
"ADRIATIC LOGISTICS Ltd.","Janka Polic Kamova 8 , Rijeka, Croatia, 51000","","","https://www.freightnet.com/profile/109276.htm","No"
"Navis Logistika","Ulica Grada Chicaga 2A , Zagreb, Croatia, 10000","","","https://www.freightnet.com/profile/116575.htm","No"
"Transagent","Verdieva 6 , Rijeka, Croatia, 51000","","","https://www.freightnet.com/profile/85619.htm","No"
"Philmorshipping ltd.","Kneza Viseslava 1 , Zagreb, Croatia, 10000","","","https://www.freightnet.com/profile/90638.htm","No"
"Legis d.o.o.","Nautička 3 , Bakar, PGZ, 51222","","","https://www.freightnet.com/profile/54273.htm","No"
"Zim Sped International Freight Forwarders","Hum Na Sutli  158 , Hum Na Sutli, Krapinsko-Zagorska, 49231","","","https://www.freightnet.com/profile/3535.htm","No"
"Demars International d.o.o.","Zrtava fasizma 4 , Rijeka, Primorsko-Goranska, 51000","","","https://www.freightnet.com/profile/10225.htm","No"
"TD-Transporti","Brsecka 16 , , Zagreb, 10000","","","https://www.freightnet.com/profile/13541.htm","No"
"TransE.A.S.T. d.o.o.","Industrijska bb , Žminj, Istarska, 52341","","","https://www.freightnet.com/profile/14152.htm","No"
"LUKA d.d.","Sjeverna Luka bb , Split, Splitsko-Dalmatinska, 21000","","","https://www.freightnet.com/profile/20609.htm","No"
