"name","address","phone","website","profileUrl","isPremiumMember"
"Cyprus Global Logistics","3 Thalias street, Interorient House office 210-212, Limassol, 3781","+35725022100","http://www.cyprusgloballogistics.com/","https://www.freightnet.com/profile/18892.htm","Yes"
"AC ONE SEAPORT CARGODEALS LOGISTICS","134 ELEFTHERIAS STR, LIMASSOL, CYPRUS, 3042","0035799565463","","https://www.freightnet.com/profile/167898.htm","Yes"
"Flagman  Group Limited","Larnaka , Alethriko, 9 Melinas Merkouri, 4, Cyprus, 7570","","","https://www.freightnet.com/profile/148258.htm","No"
"Flagman Group","Meneou , Larnaca, Larnaca, 6027","","","https://www.freightnet.com/profile/230170.htm","No"
"TPC Movers","KAVALAS 7A , LIMASSOL, GERMASOGEYA, 4042","","","https://www.freightnet.com/profile/187413.htm","No"
"Kivotos Shipping & Logistics Services","31, Stratigou Makrigianni street,, Limassol, Cyprus, 3022","","","https://www.freightnet.com/profile/196923.htm","No"
"E & F Logistics Solutions Ltd","Tseriou Av.164, 2nd Fl, Of 7-8 , Strovolos, NICOSIA, Cyprus, 2045","","","https://www.freightnet.com/profile/194610.htm","No"
"Amhurst Brown Ltd","Miltonos 19A , Limassol, Limassol, 3047","","","https://www.freightnet.com/profile/194315.htm","No"
"MAVROUDIS GLOBAL TRANSPORTATION AND LOGISTICS LTD","CORNER OF KLIMENTOS AND KLEOMENOU , STR N0 7, 2ND FLOOR, NICOSIA, Cyprus, 1061","","","https://www.freightnet.com/profile/176909.htm","No"
"T. POLYFREIGHT LOGISTICS LTD","33 , MICHAEL ZAVOS STREET , AYIOS ATHANASSIOS, LIMASSOL, 4107","","","https://www.freightnet.com/profile/63765.htm","No"
"AIRTRANS GROUP","11 Florinis Street, City Forum, 4th Floor , , Nicosia, 1065","","","https://www.freightnet.com/profile/155586.htm","No"
"AIRTRANS","8 THOMAS ELIOT STREET LIMASSOL , Cyprus 3011 , limassol, Limassol, 3011","","","https://www.freightnet.com/profile/155540.htm","No"
"Cyprus Freight Logistics","101, Kyrenias Avenue, Emporiko Kentro  , Platy Aglantzia, Nicosia, Cyprus, 2113","","","https://www.freightnet.com/profile/147846.htm","No"
"BOMAR NAVIGATION CO.LTD.,","OFFICES 104 & 105 , BLOCK "" A "" , 8 , PALMYRAS STREET , LIMASSOL, CYPRUS, 3011","","","https://www.freightnet.com/profile/136927.htm","No"
"Savandrea Shipping & Forwarding Ltd","Tefkrou street, No.4 , , Larnaca, 6011","","","https://www.freightnet.com/profile/11884.htm","No"
"Zero Time Services LTD","127 Omonoias Avenue , P.O Box: 56806, Limassol, Limassol, 3310","","","https://www.freightnet.com/profile/84463.htm","No"
"PANCONSOL Freight Discount Forwarding","Ankara Street 118-120 , P.O.Box 53631, Limassol, 3042","","","https://www.freightnet.com/profile/16158.htm","No"
"L.A.K United Shipping & Ins. Agents Ltd","5 Vouligmenis Str. , Strovolos Industrial Area, Strovolos, Nisosia, 2033","","","https://www.freightnet.com/profile/107349.htm","No"
"EVEROCEAN SHIPPING LTD","AGIAS ZONIS 23 , LIMASSOL, CYPRUS, 3027","","","https://www.freightnet.com/profile/106526.htm","No"
"Mct Intershipping Ltd","11 Avdiron Street , near Ekali, Limassol, 3112","","","https://www.freightnet.com/profile/470.htm","No"
"Interfreight Logistics Ltd","37 Galileou Street , P O Box 56792, Post Code 3310, Limassol, 3315","","","https://www.freightnet.com/profile/9981.htm","No"
"FGA Cargo Logistics Ltd","77 Franklin Roosevelt Avenue , , Limassol, 3011","","","https://www.freightnet.com/profile/12521.htm","No"
"Everocean Shipping Ltd","23, Ayias Zonis Str. , , Limassol, 3027","","","https://www.freightnet.com/profile/1579.htm","No"
"THAS Maritime Co Ltd","67 Franklin Roosevelt Avenue , P.O. Box 71038, Limassol, 3840","","","https://www.freightnet.com/profile/13881.htm","No"
"Shoham Cargo Logistics Ltd","77 Franklin Roosevelt Avenue , , Limassol, 3602","","","https://www.freightnet.com/profile/20606.htm","No"
"A & S Ergatoudes","4 Lefkippous Street , P.O. Box 50301, Limassol, 3603","","","https://www.freightnet.com/profile/264.htm","No"
"Cargolink Freight Services Ltd","P.O. Box 1339 , Limassol, 3504","","","https://www.freightnet.com/profile/266.htm","No"
"Chr. & S. Clearing Services Ltd","P.O. Box 53423 , Limassol, 3302","","","https://www.freightnet.com/profile/267.htm","No"
"Freightways Transport Ltd","P.O. Box 3882 , Nicosia, 1687","","","https://www.freightnet.com/profile/268.htm","No"
"Seamodal Freight Services Ltd","116 Omonia Ave. , P.O.Box  51271 ( 3503), Limassol, 3048","","","https://www.freightnet.com/profile/453.htm","No"
