"name","address","phone","website","profileUrl","isPremiumMember"
"Liburnia Projects & Chartering s.r.o.","K letisti 1088/59 , Prague, Czech Republic, 16100","","","https://www.freightnet.com/profile/255347.htm","No"
"EUROGATE LOGISTICS  spol. s r.o.","Sokolovská 100/94 , Praha, Prague, 18000","","","https://www.freightnet.com/profile/201116.htm","No"
"ViT Logistics s.r.o.","K Hrusovu 293/2 , 102 03 Praha 10, Sterboholy, 0","","","https://www.freightnet.com/profile/151650.htm","No"
"Migma s.r.o.","Ostovskeho 253/3 , Praha 5, Czech Republic, 15000","","","https://www.freightnet.com/profile/170485.htm","No"
"ELIOX Transport & Logistic","Podebradova  , Nachod 869, Czech Rep., 547 01","","","https://www.freightnet.com/profile/137202.htm","No"
"Gebruder Weiss Spol.s r.o.","Cargo Terminal 3 , P.O. Box 132, Prague Airport Ruzyne, Prague, 160 08","","","https://www.freightnet.com/profile/272.htm","No"
"ZOOM CARGO s.r.o. Logistic International","Jugoslavskych partyzanu 23 , Praha 6,","","","https://www.freightnet.com/profile/8167.htm","No"
"International Logistic Gateway s. r. o.","Seifertova 2834/33 , Prerov, 750 02","","","https://www.freightnet.com/profile/10122.htm","No"
"spediceONLINE.cz","Pod Certovym Pahorkem 463 , Pribram 7, Czech Republic, 261 01","","","https://www.freightnet.com/profile/4719.htm","No"
"Delta International Cargo s.r.o.","K Letisti 57/1049 , Praha 6,","","","https://www.freightnet.com/profile/6926.htm","No"
"Autodoprava Jezek","Vysovice 157 , Prostejov, Olomoucký Kraj, 798 09","","","https://www.freightnet.com/profile/1494.htm","No"
"CARGOTEX s.r.o.","Na Machovne 1270 , Beroun, Czech Republic, 26601","","","https://www.freightnet.com/profile/57777.htm","No"
"Allyn International Services, Inc.","13391 McGregor Blvd. , Fort Myers, FL, 33919","","","https://www.freightnet.com/profile/52492.htm","No"
"Maurice Ward & Co. s.r.o.","Airport Logistic Park , Knezeves 185, Praha-Zapad, Stredokluky, 252 68","","","https://www.freightnet.com/profile/19583.htm","No"
"Lnc Group, S.R.O.","U Trati 384 , , Hlavni Mesto Praha, 100 00","","","https://www.freightnet.com/profile/1521.htm","No"
"Best Transport","Hajecka 14 , Brno, Moravskoslezský Kraj, 61800","","","https://www.freightnet.com/profile/1918.htm","No"
"J&M PAVLAT International","Tabor - Vsechov 2 , Tabor - Vsechov 2, 39131","","","https://www.freightnet.com/profile/2052.htm","No"
"Osnado","J. Tumy 170 , Stara Paka, 50791","","","https://www.freightnet.com/profile/3180.htm","No"
"Radegast Sped s.r.o.","Vaclavovicka 1566, Senov, Frydek-Mistek, 73934","","","https://www.freightnet.com/profile/4194.htm","No"
"ROVA CZ","Karla IV. 468 , Hradec Kralove, Kralovehradecký Kraj, 500 02","","","https://www.freightnet.com/profile/6536.htm","No"
"Transped-SOC, s.r.o.","Menzies Aviation Group Terminal , K letisti 57/1049, Praha 6, Ruzyne,","","","https://www.freightnet.com/profile/6884.htm","No"
"EUROFRIGO s.r.o.","Karlovarska 814/111 , Praha 6,","","","https://www.freightnet.com/profile/7282.htm","No"
"WEID s.r.o.","Tlumacovska 1738/24 , Praha,","","","https://www.freightnet.com/profile/7947.htm","No"
"Air-Sea, s.r.o.","Privozni 2 , Prague 7,","","","https://www.freightnet.com/profile/8687.htm","No"
"Zasilatelstvi Svoboda,s.r.o.","Csl. mladeze 183/19 , Decin IV, North Bohemia, 405 02","","","https://www.freightnet.com/profile/10582.htm","No"
"C.Spaarmann Czech spol. sro","Krupská 28 , Teplice, 41501","","","https://www.freightnet.com/profile/11264.htm","No"
"TPF Forwarding Network (Czech Republic)","HANSEATIC BUSINESS CENTRE, A.S. , 28. Pluku 524/25, Praha, Czech Republic, 10","","","https://www.freightnet.com/profile/108518.htm","No"
