"name","address","phone","website","profileUrl","isPremiumMember"
"Air & Ocean Worldwide ApS","Karlslunde Strandvej 106 A, Karlslunde, Denmark, 2690","40818530","","https://www.freightnet.com/profile/208619.htm","Yes"
"Transfirst A/S","Kilen 18-20, P.O. Box 155, Aabenraa, Denmark, 6200","+45 74 62 49 40","http://www.transfirst.dk/","https://www.freightnet.com/profile/284.htm","Yes"
"GTL GreenTechLogistics ApS","Ryesgade 3D, 2200 Copenhagen N, Denmark , Copenhagen, Denmark, 2200","","","https://www.freightnet.com/profile/246925.htm","No"
"Road Link Solutions","Tobaksgården 7A , Horsens, Denmark, 8700","","","https://www.freightnet.com/profile/260529.htm","No"
"Jumbo Transport Eastern Europe A/S","Gammelager 1 , Brondby, Denmark, 2605","","","https://www.freightnet.com/profile/127284.htm","No"
"DTK Air & Sea","Sydhavnsgade 7, 2 , Aarhus c, Denmark, 8000","","","https://www.freightnet.com/profile/183593.htm","No"
"AARHUS CONTAINER TRUCKING ApS","Oceanvej 13 - 8000 Aarhus C - Denmark , Aarhus, AARHUS CONTAINER TRUCKING ApS, 8000","","","https://www.freightnet.com/profile/223692.htm","No"
"CargoStream ApS","Grønsvinget 40a , Herlev, Denmark, 2730","","","https://www.freightnet.com/profile/162392.htm","No"
"Strait Air, DENMARK,SWEDEN,NORWAY,FINLAND, ESTONIA","Snorresgade 18-20 , Copenhagen, Denmark HQ, 2300","","","https://www.freightnet.com/profile/155330.htm","No"
"East Logistics ApS","Frankrigsvej 7 , Nykobing Falster, Denmark, 4800","","","https://www.freightnet.com/profile/150000.htm","No"
"Scan-Shipping A/S","18-20 Snorresgade , Copenhagen, 2300","","","https://www.freightnet.com/profile/16244.htm","No"
"Vanguard Logistics","SKAGERRAKVEJ 7 , NORDHAVN, Hovedstaden, 2150","","","https://www.freightnet.com/profile/21025.htm","No"
"Team Freight A/S","Spangsbjerg Møllevej 100 , Esbjerg, Syd Denmark, DK-6705","","","https://www.freightnet.com/profile/21407.htm","No"
"mario maria","avenida sil , 2156, Los angeles, USA, 02145","","","https://www.freightnet.com/profile/137319.htm","No"
"Frode - Laursen as","Vittenvej 90 , Hinnerup, Denmark, 8382","","","https://www.freightnet.com/profile/53932.htm","No"
"Vanguard Logistics","Sundkaj 9 , Østerbro, Copenhagen, 2100","","","https://www.freightnet.com/profile/47676.htm","No"
"Buyers Logistics Scandinavia A/S","Tommerup Stationsvej 10 , Kastrup, København, Hovedstaden, 2770","","","https://www.freightnet.com/profile/16963.htm","No"
"LipShipping ApS","Fyrreparken 35 , DK-8961 Allingaabro, Århus, Midtjylland,","","","https://www.freightnet.com/profile/6653.htm","No"
"ScanAm Transport A/S","Bådehavnsgade 2C , København, Hovedstaden, 2450","","","https://www.freightnet.com/profile/19573.htm","No"
"Overseas Logistics","Kogevej 93 , Høje-Taastrup, Hovedstaden,","","","https://www.freightnet.com/profile/7968.htm","No"
"DA Custom Broker ApS","Faenoesund Park 5 stmf , Middelfart, Denmark, 5500","","","https://www.freightnet.com/profile/60894.htm","No"
"Prime Cargo A/S","Profilvej 4 , Kolding, Denmark, 6000","","","https://www.freightnet.com/profile/59091.htm","No"
"Frode Laursen A/S","Vittenvej 88 - 90 , Vitten, Hinnerup, 8382","","","https://www.freightnet.com/profile/2145.htm","No"
"Eurouter A/S","Sindalsvej 23 , Risskov, 8000","","","https://www.freightnet.com/profile/278.htm","No"
"East Logistics Aps","Frankrigsvej 7 , Nykoebing F, ., 4800","","","https://www.freightnet.com/profile/2278.htm","No"
"Holship Danmark A/S","Havnen , P.O. Box 240, Holbaek, 4300","","","https://www.freightnet.com/profile/2800.htm","No"
"Dan Cargo A/S","Park Allè 350 A , Brøndby, Sjælland, 2605","","","https://www.freightnet.com/profile/21701.htm","No"
