"name","address","phone","website","profileUrl","isPremiumMember"
"UNIQUE EXPRESS SOLUTIONS FZCO","DJIBOUTI INTERNATIONAL FREE TRADE ZONE , DIFTZ, DJIBOUTI CITY, DJIBOUTI, 294150","","","https://www.freightnet.com/profile/217669.htm","No"
"Honest Logistics","Djibouti free zone , Djibouti, Djibouti, 0000","","","https://www.freightnet.com/profile/262495.htm","No"
"Naasworld Shipping FZE","LIU-1-12 , Djibouti Freezone, Djibouti, Djibouti, 190717","","","https://www.freightnet.com/profile/256236.htm","No"
"KONCI DJIBOUTI FREE ZONE","Djibouti city Algalux Building , Djibouti, Djibouti, 34","","","https://www.freightnet.com/profile/253153.htm","No"
"STAR GENERAL LOGISTICS","Djibouti ETHIOPIA, Somalia, Kenya , DJIBOUTI, DJIBOUTI, DJIBOUTI, 1668","","","https://www.freightnet.com/profile/209842.htm","No"
"DELTA EXPRESS AFRICA SARL","AIRPORT ROAD, DJIBOUTI , DJIBOUTI, DJIBOUTI, 11066","","","https://www.freightnet.com/profile/195553.htm","No"
"KFGLOBALLINK EURL","AV- GEORGE CLEMENCEAU , DJIBOUTI, djibouti, 4442","","","https://www.freightnet.com/profile/136849.htm","No"
"Aaroco Global Trans & Logistic Ltd.","Etablissements MARILL, 8 Rue Marchand, Djibouti , Djibouti, Djibouti, 10000","","","https://www.freightnet.com/profile/145293.htm","No"
"TransFluid Sarl","av g clemenceau , djibouti city, Djibouti, 3898","","","https://www.freightnet.com/profile/90217.htm","No"
"Groupe Marill","8, rue Marchand , BP 57, Djibouti,","","","https://www.freightnet.com/profile/14531.htm","No"
"Inchcape Shipping Services","P O Box 81 , , Djibouti,","","","https://www.freightnet.com/profile/16141.htm","No"
"Massida Logistics","B.P. 661  , , Djibouti,","","","https://www.freightnet.com/profile/20256.htm","No"
