"name","address","phone","website","profileUrl","isPremiumMember"
"JIS GLOBAL SRL","Ave. John F Kennedy No. 88 Suite 406, Jardines Del Norte, Distrito Nacional, Santo Domingo, 10601","+1(829) 596 6113","http://jisglobaldr.com/","https://www.freightnet.com/profile/213984.htm","Yes"
"Cargomar SRL","Av. John F. Kennedy, Km 7.5, Los prados, Centro Comercial Kenny, Suite 307, Santo Domingo, Republica Dominicana, whatsApp 1(809) 899-3440","1.809.899.3440","http://operations@cargomardr.com/","https://www.freightnet.com/profile/100798.htm","Yes"
"CTC LOGISTICS SRL","Av Gustavo Mejia Ricart no. 77, Ensanche Piantini, Santo Domingo, República Dominicana, 10125","+1 809-508-2409","http://www.ctcdo.com/","https://www.freightnet.com/profile/84873.htm","Yes"
"Innova Solutions Group","Calle Correa y Cidron #106. Plaza Sarah Luz , Suite 203. La Feria, Distrito Nacional, Distrito Nacional, 10101","","","https://www.freightnet.com/profile/133985.htm","No"
"GLC Global Logistics Cargo","Av. Romulo Betancourt # 51,Edif D\'Colombina, suite 203 , Mirador Norte, Santo Domingo, Dominican Republic, 1119","","","https://www.freightnet.com/profile/133743.htm","No"
"KARGA ISS CORP","AV. SARASOTA 33, BELLA VISTA , Bella Vista, Santo Domingo, DN, 10111","","","https://www.freightnet.com/profile/138601.htm","No"
"Amell Cargo & Courier","Calle Transversal No. 3  Jardines del Sur , Santo Domingo, Santo Domingo, 11105","","","https://www.freightnet.com/profile/9754.htm","No"
"C. Logistics Solutions","C/ Juan Sánchez Ramírez # 13, Gazcue, Santo Domingo, Distrito Nacional, 809","","","https://www.freightnet.com/profile/17462.htm","No"
"Grupo Peralmar","Santo Domingo  , Santo Domingo, Republica Dominicana, 22555","","","https://www.freightnet.com/profile/244733.htm","No"
"C Logistics Solutions","Cale Juan Sanchez Ramirez # 13 , Gascue, Santo Domingo, D.N., 10205","","","https://www.freightnet.com/profile/116638.htm","No"
