"name","address","phone","website","profileUrl","isPremiumMember"
"TRANSLOGISTICS S.A.","Quisquis 1502 y Tulcan, Guayaquil, Guayas, 090301","+593998245930","http://www.translogistics.com.ec/","https://www.freightnet.com/profile/95062.htm","Yes"
"CGLogistics S.A.","Av. Fco. de Orellana Km. 1.5 y Juan Tanca Marengo, Ed. Cofín, P.3, Of.3, Guayaquil, Guayas, 00000","+51917360720","http://www.cglogistics.com.ec/","https://www.freightnet.com/profile/91170.htm","Yes"
"AMS DEL ECUADOR","Quisquis 1502 y Tulcan  , Guayaquil, Guayas, 090301","","","https://www.freightnet.com/profile/263126.htm","No"
"LINK CARGO","31 de Mayo y 1 de Mayo , Quito, Ecuador, 171103","","","https://www.freightnet.com/profile/266096.htm","No"
"VyO Cargo S.A.","Cordova 810 y Victor Manuel Rendon , Edif Torres de la Merced Piso 15, Guayaquil, Guayas / Ecuador, 090150","","","https://www.freightnet.com/profile/146376.htm","No"
"INTEROCARGSER S.A.","Victor Manuel Rendon #600 , y Escobedo, Guayaquil, Guayas, 090107","","","https://www.freightnet.com/profile/183614.htm","No"
"GLOBAL CARGO ECUADOR","Av. San Luis, Edf. San Rafael Business Center, piso 5, oficina 5B , Isidro Ayora 3-019 y Cayambe, Sangolqui, Ecuador, 171103","","","https://www.freightnet.com/profile/130075.htm","No"
"ACL, ALLCARGO LOGISTIC S.A.","Victor Manuel Rendon 600 , Baquerizo Moreno y Cordova, Piso 4 Oficina 402, Ecuador, EC090306","","","https://www.freightnet.com/profile/166649.htm","No"
"Overseas Dolmar Line","Av. Francisco de Orellana  234  Edf Blue Towers Piso 7 Of 707 , Guayaquil, Ecuador, 090150","","","https://www.freightnet.com/profile/100208.htm","No"
"TRANSPORT SOLUTIONS TSTM SA","Edif Albobanco piso 1 oficina 101 , Av Rodolfo Baquerizo Nazur, Guayaquil, Guayas, 090501","","","https://www.freightnet.com/profile/172931.htm","No"
"MASTER GLOBAL LOGISTICS","AV 6 DE DICIEMBRE , IGNACIO BOSSANO, PICHINCHA, QUITO, 170518","","","https://www.freightnet.com/profile/219407.htm","No"
"CARGOWSHIPPING S.A.","URDESA CENTRAL, CALLE CEDROS 122 Y TODOS LOS SANTOS. EDIF. CEDROS 2 CENTER, OFICINA 2 PLANTA BAJA. DIAGONAL A LA CAMARA DE COMERCIO ECUATORIANA CHINA. , GUAYAQUIL, GUAYAS, 090507","","","https://www.freightnet.com/profile/186366.htm","No"
"FECARGO","Jiguas 127D y Victor Emilio Estrada , Urdesa, Guayaquil, Guayas, 090507","","","https://www.freightnet.com/profile/108033.htm","No"
"INTERMARES SA","SAUCES 1 MZ F30 SOLAR 36  , GUAYAS, GUAYAQUIL, 090502","","","https://www.freightnet.com/profile/189210.htm","No"
"INTERCOMEX Freight Forwarders & Worldwide Movers","Nueva Ventura Aguilera N58-88 y Juan Molineros , Quito, Pichincha, EC170513","","","https://www.freightnet.com/profile/187615.htm","No"
