"name","address","phone","website","profileUrl","isPremiumMember"
"Cairo Freight Systems","64 Sakr Quoreish Buildings, Sheraton-Heliopolis, Cairo - Egypt. , Customs Dry Port, Room #2, 10Th of Ramadan, Cairo - Egypt. Ordonia, Borg El Ahlam A 4th Floor No 44, cairo, egypt, 11977","","","https://www.freightnet.com/profile/228998.htm","No"
"SBA HUB","10 Dr Lashine street, Maryotia , Haram, Haram, Al Jizah, 11121","","","https://www.freightnet.com/profile/234117.htm","No"
"scantrade","14 amin zaki , cairo, cairo, 11347","","","https://www.freightnet.com/profile/193610.htm","No"
"SFS Logistics","3 markz malomat st. 1154 wazarah square Sheraton cairo-egypt , Cairo, Egypt, 11779","","","https://www.freightnet.com/profile/148401.htm","No"
"international freight system","14 Magdy st.Nozha Elgidida , cairo, nozha elgidida, 11714","","","https://www.freightnet.com/profile/143947.htm","No"
"Link Cargo","10 EL Gizera El Wosta, Zamalek,, Cairo, Egypt, 1211","","","https://www.freightnet.com/profile/143937.htm","No"
"Dgl Internaional","2 S, Misr Tameer Buildings, Square 1258 Z , Cairo, Al Qahirah, 19516","","","https://www.freightnet.com/profile/134557.htm","No"
"mirrage","2,el khoulfa al rashedin , el nozha , 2.Ahmed basha ,loran ., Alex, cairo, egypt, 111599","","","https://www.freightnet.com/profile/108952.htm","No"
"Super Freight Int'l","Masakn sheraton , Cairo, Egypt, 11223","","","https://www.freightnet.com/profile/108347.htm","No"
"Cairo aviation","5 Mostafa Refaat , Sheraton ,buildings, Cairo, Arab republic of Egypt, 111111","","","https://www.freightnet.com/profile/109388.htm","No"
