"name","address","phone","website","profileUrl","isPremiumMember"
"amazon marine","villa 129 second district new cairo, new cairo, Cairo, 11865","+201010600971","http://www.amazonmarine.ltd/","https://www.freightnet.com/profile/170858.htm","Yes"
"M&R for Shipping logistics Services Company","59 Rabaa Investment Bldgs., Golf ST,  Nasr City, Cairo, EGYPT, NASR CITY, CAIRO, 11538","+201152220904","http://www.mr-logistics.com/","https://www.freightnet.com/profile/246877.htm","Yes"
"EFG LOGISTICS SERVICES","Sheraton Heliopolis, CAIRO, EGYPT, 12311","01222139032","https://www.efg-mena.com/","https://www.freightnet.com/profile/257409.htm","Yes"
"Smart Express","Nasr City, Cairo, Egypt, 112134","M : +201157009700 WhatsApp & Calls & wechat","http://www.smartexpress-eg.com/","https://www.freightnet.com/profile/185479.htm","Yes"
"Tact Freight for shipping & customs clearance","Nasr City, Cairo - Egypt, Cairo, Nasr City, 11371","+201275888559","https://www.tactfreight.com/","https://www.freightnet.com/profile/256362.htm","Yes"
"Seven seas AMG shipping","26 July St, El kournish road block no:18, Alexandria, Egypt, Alexandria, Alexandria, 21500","01553379900","https://www.sevenseas-amg.com/","https://www.freightnet.com/profile/259264.htm","Yes"
"Mwani Logistics","Sheraton Buildings, Cairo- Egypt., Sheraton Buildings, Cairo, Egypt, 11757","0222663500","https://mwanilogistics.com/","https://www.freightnet.com/profile/260208.htm","Yes"
"EWA Group","22 BaniElAbassi Street, Sultan Hussein, Alexandria, Egypt, 15 Kamal ElDin Hussein , Sheraton, Cairo., Alexandria, Egypt, 126500","034855900","http://www.ewa-group.com/","https://www.freightnet.com/profile/254411.htm","Yes"
"Matrix Freight System","35 w El Fostat New City , Cairo - Egypt, EGYPT, Cairo, 11555","01123311666","","https://www.freightnet.com/profile/261982.htm","Yes"
"DPL Logistics","8 Al shaid ahmed mokhtar, Cairo, AI Qahirah, 02345","01288815257","https://dpl-logistics.org/about.html","https://www.freightnet.com/profile/250861.htm","Yes"
"ICON LOGISTICS INTERNATIONAL","6th Naguib El-Rihani St., Mahatet El Raml, Alexandria, Egypt , Alexandria, Alexandria, 21563","","","https://www.freightnet.com/profile/182548.htm","No"
"C.knights","street 3, 5th Zone , Sheraton Elmatar, Cairo, Sheraton Almatar, 11799","","","https://www.freightnet.com/profile/263236.htm","No"
"El Bedaya Logistics","22 El Horreya St., Block B, 5th Floor, 18 El Raml Station, Al Mesallah Sharq, Al Attarin, Alexandria Governorate , Alexandria, NA, 22111","","","https://www.freightnet.com/profile/255698.htm","No"
"Egress International","Building #6, Road 9 (b) , El Maadi, Cairo, 11431","","","https://www.freightnet.com/profile/14723.htm","No"
"Multi Global Logistics","6th of October - Alfardoos , october, Choose your province, 345356","","","https://www.freightnet.com/profile/262608.htm","No"
