"name","address","phone","website","profileUrl","isPremiumMember"
"Tivoli Ship agent","10 Abo Obida ebn el garah st. El Nozha , Cairo, Cairo Governorate, Egypt, Cairo, 1234","","","https://www.freightnet.com/profile/252794.htm","No"
"Wadi El Melouk","El Geish St., Front of Saudi Arabia Embassy, Suez, Suez, 43522","","","https://www.freightnet.com/profile/43959.htm","No"
"Ocean Express","45 Sultan Hussein Street, above bank Audi, floor 3 , Alexandria, Egypt, 00000","","","https://www.freightnet.com/profile/235289.htm","No"
"El safa shipping agencies","17,sidi lalou str. Gate no 6 el goumruk , Nil, Alexandria, Egypt, 21111","","","https://www.freightnet.com/profile/166521.htm","No"
"International Shipping & Transport Co.","29 Farid Street Holiopolis, Cairo, Egypt 11341 , Hiliopolis, Cairo/Egypt, 11341","","","https://www.freightnet.com/profile/141944.htm","No"
"commercial shipping co","26 el naser street alexandria egypt , alexandria, egypt, 2541","","","https://www.freightnet.com/profile/136174.htm","No"
"Seaways Marine & Shipping Agency Services - Egypt","El Gomhoria St. Front Hsbc Bank , Bld No .3 O Seconf Floor , Office No. 8, Port Said, Port Said, 42534","","","https://www.freightnet.com/profile/105096.htm","No"
"Transit Freight","5 Golf building , Sporting , Alexandria , Alexandria, Egypt, 21411","","","https://www.freightnet.com/profile/106880.htm","No"
"MCS Logistics","El-Attareen , Alexandria, Alexandria, Egypt, 00203","","","https://www.freightnet.com/profile/50263.htm","No"
"challenger.group","mohamed farid st, suez , port tawfik, suez, egypt, 00202","","","https://www.freightnet.com/profile/51334.htm","No"
