"name","address","phone","website","profileUrl","isPremiumMember"
"Sea Wise Marine Services","EL-Gomhorya St. , Port Said, EGYPT, 42511","","","https://www.freightnet.com/profile/256171.htm","No"
"AC BLUE STAR MARINE SERVICES CO.","Saad Zaghloul st - Elkhaleel Tower , 4th floor, PORT SAID, EGYPT, 42111,762 PORT SAID","","","https://www.freightnet.com/profile/154748.htm","No"
"Folkland Marine","Portsaid Elsharq , portsaid, Egypt, 42511","","","https://www.freightnet.com/profile/248078.htm","No"
"khair TSC","alexandria , cairo, alexandria, egypt, 21131","","","https://www.freightnet.com/profile/156705.htm","No"
"Ocean Shipping Services/Egypt","​ 29 street ,Block 5 , Ras Elbar, Damietta, Egypt, 34737","","","https://www.freightnet.com/profile/154663.htm","No"
"EGY CO FOR MARINE SUPPLIES","75 El Tor St,Port Said , portsaid, egypt, 066","","","https://www.freightnet.com/profile/153630.htm","No"
"freedom shipping co.","77 Street, Ras Elbar City , :	 2nd Floor, Sports Club Building City or Town, Ras Elbar, Damietta, 34711","","","https://www.freightnet.com/profile/153265.htm","No"
"The National Co, for Trade & Logistic services","Containers road-Damietta port-Damietta -Egypt , Damietta, Damietta, 34511","","","https://www.freightnet.com/profile/144805.htm","No"
"diamond marine services","18 st elmanakh , portsaid , portsaid, egypt, 025","","","https://www.freightnet.com/profile/139351.htm","No"
"Edwardo Marine Services Co.","Mahmoud Sidky & Panama St. El-Mahrosa Tower. Port Said , Port Said, Egypt, 42111","","","https://www.freightnet.com/profile/135499.htm","No"
"Kartos Marine Services","Head Office : PortSaid , Elshark District Elmanshia square , el yasky Tower , Office No:- 2 , portsaid, egypt, 322556","","","https://www.freightnet.com/profile/132697.htm","No"
"Seaways Marine Services - Egypt","42111, El Gomhoureya St., El Shark District, Port Said, Landmark: HSBC Bank Bldg 2nd Floor, Office No. 8, Port Said, Egypt, Port Said, Suez canal, 42111","","","https://www.freightnet.com/profile/119833.htm","No"
"SeaBird Marine Services","Memphis & Nahda street , FreePort Building, 1th Floor, Port Said, 42523","","","https://www.freightnet.com/profile/12801.htm","No"
"SUEZ MARINE SERVICES(SUMACO)","14  GOHAR  ELKAYED  STREET PORTAWFIK .SUEZ. EGYPT , SUEZ, EGYPT, 20120","","","https://www.freightnet.com/profile/99817.htm","No"
"Anfal Shipping agency","15 Babel and El Gomhoria St , Port Said, Egypt, 42111","","","https://www.freightnet.com/profile/98478.htm","No"
"MONDYAL MARINE SERVICES","4 elgomrok elkadem st , alexandria, egypt, 22441","","","https://www.freightnet.com/profile/62025.htm","No"
"East Mediterranean & Middle East Intermodal Co","2 El Akabawy St.  , Alexandria, 21111","","","https://www.freightnet.com/profile/18295.htm","No"
