"name","address","phone","website","profileUrl","isPremiumMember"
"logistics map services - lmex","22 emtdad said zakaria st , sheraton, cairo, 11511","0222678640","http://www.lmexllc.com/","https://www.freightnet.com/profile/243426.htm","Yes"
"BMC SHIPPING LINE","243  SUEZ CANAL ST., BEHIND THE OLYMPIC CLUB-                            WABOUR EL MAYAH – ABOVE QNB BANK, ALEXANDRIA , ALEXANDRTIA, EGYPT, 02","","","https://www.freightnet.com/profile/250184.htm","No"
"pan marine shipping","Alexandria  , alexandria, Alexandria, 003","","","https://www.freightnet.com/profile/235835.htm","No"
"YANG MING Shipping (EGYPT) S.A.E.","Alexandria  , Alexandria, Egypt, 11211","","","https://www.freightnet.com/profile/147762.htm","No"
"rodymar shipping line","6 mahmoud sedky  , alexandria brance, cairo branch, egypt, 2468","","","https://www.freightnet.com/profile/86538.htm","No"
"Vanguard logistics services","sultan hussien street , azarita, Alexandria, Egypt, 22521","","","https://www.freightnet.com/profile/178023.htm","No"
"GOLDEN WAY LOGISTICS","Alexandria , near dekheila port, Alexandria, Egypt, 21928","","","https://www.freightnet.com/profile/160297.htm","No"
"Inchcape Shipping Services","20 El Pharana St. , Azartia  , Alexandria, Egypt, 20156","","","https://www.freightnet.com/profile/140762.htm","No"
"Ocean Blue Shipping company","23 Ismailiya Street , Kafr Abdo  , Alexandria, Egypt, 21529","","","https://www.freightnet.com/profile/151275.htm","No"
"egy sewed shipping co","11 el maraghy st,suez egypt , suez, egypt, 112211","","","https://www.freightnet.com/profile/118164.htm","No"
"International Navigation Agency","Foaad Str , Ext: 23 Metwaly str, Alexandria, 21111","","","https://www.freightnet.com/profile/13381.htm","No"
"M.S.A SHIPPING AGENCIES SERVICES - EGYPT","Head Office: El-Qanal Bld. - Al aRuba & 23 july Street -Port Fouad - Port Said -Egypt , Suez Port Branc:  El Nemsa Tower-( 23 july) Sreet t-Second floor- Office NO. 7 - Port Tawfik - Suez Port - Egypt, Port Said, Port Said, 42534","","","https://www.freightnet.com/profile/105029.htm","No"
"EMDB","4 elbatalsa street , alex, egypt, 31111","","","https://www.freightnet.com/profile/55954.htm","No"
"A & S Logistics","103 Sakr Quraish , Heliopolish - Villa 29, Cairo, Egypt, 11361","","","https://www.freightnet.com/profile/49816.htm","No"
"BMC Line Shipping Line","8, Victor Baseilly , El Azarita, floor 2 flat 9, Alexandria, 21121","","","https://www.freightnet.com/profile/18302.htm","No"
