"name","address","phone","website","profileUrl","isPremiumMember"
"Alterlog OU","Ravi 7, Tallinn, Estonia, 10134","37253771472","","https://www.freightnet.com/profile/194227.htm","Yes"
"Brothers Logistics OU","Endla tn 4,, Tallinn, Choose your province, EE-10142","","","https://www.freightnet.com/profile/256195.htm","No"
"TD Services OU","Noole tee 15-2 , Tallinn, Jarvekula , Rae Vald, Harjumaa, Harjumaa, 75201","","","https://www.freightnet.com/profile/260857.htm","No"
"Allando Trailways","Narva mnt 53-11 , Tallinn, Estonia, 10153","","","https://www.freightnet.com/profile/259353.htm","No"
"Enkel Chartering & Logistics","Uuslinna 9/4-48 , Tallinn, Harjumaa, EE-11415","","","https://www.freightnet.com/profile/235374.htm","No"
"Cargo Zoomer OÜ","Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7-2, 10141 , Tallinn, Harju maakond, 10141","","","https://www.freightnet.com/profile/243926.htm","No"
"Celisar LTD","Luise tn 19/1, Kesklinna linnaosa, 10142 Tallinn, Harju maakond , Tallinn, Harjumaa, 10142","","","https://www.freightnet.com/profile/243529.htm","No"
"okyanus oü","tallinn , tallinn, tallin, 74626","","","https://www.freightnet.com/profile/229065.htm","No"
"Europe Express","Järvevana tee 9--40, 11314 Tallinn, Estonia, European Union. , Tallinn, Harjumaa, 11314","","","https://www.freightnet.com/profile/206963.htm","No"
"East-West Shipping Agency","Peterburi tee 47 , Tallinn, Harjumaa, 11415","","","https://www.freightnet.com/profile/171251.htm","No"
"East-West Shipping Agency OÜ","St.Peterburi str.47 , Tallinn, Estonia, 11415","","","https://www.freightnet.com/profile/144911.htm","No"
"Blue Cargo Eesti OÜ","Peterburi tee 49, 11415 Tallinn , Tallinn, Estonia, 11415","","","https://www.freightnet.com/profile/168401.htm","No"
"UNIVERSE SHIPPING COMPANY","PIRITA TEE 20P , TALLINN, ESTONIA, 10127","","","https://www.freightnet.com/profile/140441.htm","No"
"Nordic Logistics OÜ","Kalda tee 10/53 , Tartu, Tartumaa, 50703","","","https://www.freightnet.com/profile/141829.htm","No"
"ScanMarine Estonia Ltd.","A.H.Tammsaare tee 47 , Tallinn, Harjumaa, 11316","","","https://www.freightnet.com/profile/128441.htm","No"
"LAKILOG OÜ","Pärnu mnt 102c , Tallinn, Harjumaa, 11312","","","https://www.freightnet.com/profile/133639.htm","No"
"Via3L Spedition OÜ","Kalmari tee 10 , Lagedi, Harjumaa, 75327","","","https://www.freightnet.com/profile/135187.htm","No"
"UMM Logistics","Tammsaare tee 47, 11316 Tallinn, Estonia , Tallinn, Estonia, 11316","","","https://www.freightnet.com/profile/133475.htm","No"
"Hanson Logistics OÜ","Ädala 4a , Tallinn, Harjumaa, 10614","","","https://www.freightnet.com/profile/106689.htm","No"
"Tallship Ltd","Lastekodu 43 , Tallinn, Estonia, 11912","","","https://www.freightnet.com/profile/103953.htm","No"
"iLogistics LTD","Kallasmaa 1A , Maardu, Harjumaa, 74111","","","https://www.freightnet.com/profile/86337.htm","No"
"Ferroline Grupp Ltd","Betooni 6 , Tallinn, Harju, 13616","","","https://www.freightnet.com/profile/16190.htm","No"
"CF & S Agents Ltd","Ahtri 12 , Tallinn, Harju, 10151","","","https://www.freightnet.com/profile/9794.htm","No"
"Hansatrans OU","Kalda 9 , Tallinn, Estonia, 11625","","","https://www.freightnet.com/profile/105418.htm","No"
"Europiir Logistics","Peterburi tee 46 , Tallinn, Estonia, 11415","","","https://www.freightnet.com/profile/95848.htm","No"
"KLG Eesti AS","Peterburi tee 34 , Tallinn, Harju, 11415","","","https://www.freightnet.com/profile/12737.htm","No"
"Allando Trailways","Narva Str. 53 , Tallinn, Harju, 10152","","","https://www.freightnet.com/profile/2190.htm","No"
"Jupiter Plus AS","Savi str. 26 , Parnu, Parnumaa, 80010","","","https://www.freightnet.com/profile/21718.htm","No"
"Paljassaare Tolliladu","41, Paljassare Str. , Tallinn, Harju, 10313","","","https://www.freightnet.com/profile/1593.htm","No"
"Asperaamus  Transport & Logistics","Madala 11-64 , Tallinn, Harju, 10315","","","https://www.freightnet.com/profile/4360.htm","No"
"NBI Spedition Ltd","Akadeemia street 47 , Tallinn, Harju,","","","https://www.freightnet.com/profile/6381.htm","No"
"Inflot AS","Vilja 5 , Tuukri 58, Muuga port, Maardu, Harju,","","","https://www.freightnet.com/profile/7528.htm","No"
"AS Volfro","Karu 11A , Tallinn, Harju,","","","https://www.freightnet.com/profile/8347.htm","No"
"CISIS Ltd","Salve 4 , Tallinn, Harju, 11612","","","https://www.freightnet.com/profile/9381.htm","No"
"AR Logistic OU","Peterburgi tee 47 , Tallinn, Harju, 11415","","","https://www.freightnet.com/profile/12230.htm","No"
"Intertrade & Speditor","Narva mnt. 63 , Tallinn, Harju, 13626","","","https://www.freightnet.com/profile/18260.htm","No"
"ScanAm Transport Baltics OÜ","J.Poska 51A , Tallinn, Harju, 10150","","","https://www.freightnet.com/profile/19577.htm","No"
"Bolltec Logistic Ou","Kesk 1b , Sillamae, Ida-virumaa, 40231","","","https://www.freightnet.com/profile/19959.htm","No"
"Transporters.ee Ltd","Joe 2, II Korrus , Tallinn, 10151","","","https://www.freightnet.com/profile/21808.htm","No"
"Oakridge Ltd","Estonia pst 5 , Tallinn, Harjumaa, 10143","","","https://www.freightnet.com/profile/55843.htm","No"
