"name","address","phone","website","profileUrl","isPremiumMember"
"Pallet Trading & Logistics plc","Djibouti st  , Bole, Addis Ababa, Ethiopia, 1000","","","https://www.freightnet.com/profile/257724.htm","No"
"Laguz Trading and Logistics","Africa avenue, Dembel city center, Addis Ababa, Ethiopia , Adis Ababa, Ethiopia, 0000","","","https://www.freightnet.com/profile/259049.htm","No"
"Honest logistics","Ethio-China friendship St Wengelawit Building 4th floor Addis Ababa, ET. , Addis Ababa, Ethiopia, 000000","","","https://www.freightnet.com/profile/162837.htm","No"
"PGL Logistics","Kazanchis , Kasanchis, Addis Ababa, Ethiopia, Ethiopia, 38413","","","https://www.freightnet.com/profile/262428.htm","No"
"RSL- Red Sea Logistics (AMEN)","Bole Medhanialem, Awlo Business center , Addis Ababa, Addis Ababa, 16256","","","https://www.freightnet.com/profile/160834.htm","No"
"BS International Logistics","Bole , Addis Ababa, Ethiopia, 7198","","","https://www.freightnet.com/profile/260359.htm","No"
"Input Africa Worldwide Logistics and Forwarding","2nd Floor, Bitweded Bahiru Abreham Tower , Addis Ababa, Ethiopia, 1000","","","https://www.freightnet.com/profile/259750.htm","No"
"Logiskills Transit Services","Street . Sierra Leone , Yeshitam Building 6th floor, Addis Ababa, Ethiopia, 20636","","","https://www.freightnet.com/profile/222316.htm","No"
"Arkel international business plc","Ethiopia , Addis Ababa, Ethiopia, 183025","","","https://www.freightnet.com/profile/113646.htm","No"
"BAFS Logistics and Trading","Ethio-China Street (Wollo Sefer) , Addis Ababa, Ethiopia, 1000","","","https://www.freightnet.com/profile/250791.htm","No"
"Ethiochinet Logistics Technology","Aymen Commercial Center, Mexico , Addis Ababa, Ethiopia, New","","","https://www.freightnet.com/profile/252278.htm","No"
"Sprint Logistics PLC","Bass Addis Building 4th floor , Addis Ababa, Ethiopia, 1000","","","https://www.freightnet.com/profile/248955.htm","No"
"Tamar Transit","+251941617374 , Addis Ababa, Addis Ababa, 3214","","","https://www.freightnet.com/profile/188861.htm","No"
"OFI Transport Service PLC","Addis Ababa , Addis, Ethiopia, lem hotel station ,matiyas building 3rd floor","","","https://www.freightnet.com/profile/244206.htm","No"
"Maf logistics plc","Megenaga , Amare Abraham building 11th floor, Addis Ababa, Ethiopia,","","","https://www.freightnet.com/profile/210695.htm","No"
"Logiskills Transit Services","Seirra Leone street , Beklobet , Yeshitam Building 6th floor, Addis Ababa, Ethiopia, 20636","","","https://www.freightnet.com/profile/220006.htm","No"
"MTA CUSTOMS CLEARING AGENT","GULELLE SUB CITY , HOUSE NO 674 , ADDIS ABABA, ETHIOPIA, 34565","","","https://www.freightnet.com/profile/137778.htm","No"
"FANNA EXPRESS","Kirkos market center , Bole Mickael Rim building, Addis Abeba, Addis Abeba, NA","","","https://www.freightnet.com/profile/155394.htm","No"
"Multilines Ethiopia","677 Rainbow Blud. , Addis Ababa, showa, 4787","","","https://www.freightnet.com/profile/145310.htm","No"
"Oromiya logistic","12 , Addis Abeba, Addis Abeba, 125","","","https://www.freightnet.com/profile/174676.htm","No"
"PACKFORD","DESSET BUILDING, BOLE SUB CITY , Addis Ababa, ETHIOPIA, 1110","","","https://www.freightnet.com/profile/200653.htm","No"
"GPS Logistics Plc","Addis Ababa , Gerji Area, Addis Ababa, Ethiopia, 41875","","","https://www.freightnet.com/profile/138167.htm","No"
"Ceetah P.L.C","Near Gotera, next to Agona Cinema Baleker Building 7th Floor Room No. 702 Kirkos Sub-city, Kebele- 06 House No. 009/702 Addis Ababa, Ethiopia , Addis Ababa, Ethiopa, 10000","","","https://www.freightnet.com/profile/151403.htm","No"
"M.N CUSTOMS CLEARING SERVICE","ADDIS ABABA KOLFE KERANIO SUB CITY , ADDIS ABABA, ETHIOPIA, 0911 185099","","","https://www.freightnet.com/profile/161243.htm","No"
"ATDAGU LOGISTICS AND TRADING PLC","Laphto  , Addis Ababa, Ethiopia, 1234","","","https://www.freightnet.com/profile/181365.htm","No"
"None","Addis ababa , Saris aboo, Saris, Ethiopia, 251","","","https://www.freightnet.com/profile/168406.htm","No"
"Binboz. Services","Bole , Addis Ababa, Addis Ababa, Ethiopia, AABIA","","","https://www.freightnet.com/profile/159844.htm","No"
"Tegona Logistics","Yeka Sub-City, Megenagna , Addis Ababa, Ethiopia, 00000","","","https://www.freightnet.com/profile/142252.htm","No"
"Tegona Logistics PLC","Addis Ababa , Addis Ababa, Ethiopia, 00000","","","https://www.freightnet.com/profile/142634.htm","No"
"ELRED TRADING PLC","Addis Ababa around lebu onthe road to laphto ZMA Building 2nd floor Off no.207 , Addis Ababa, Ethiopia, 1040","","","https://www.freightnet.com/profile/137566.htm","No"
"TPF Forwarding Network (Ethiopia)","Kirkos sub-city, Kebele 15 , House No 353, Kirkos, ETHIOPIA, 00","","","https://www.freightnet.com/profile/108521.htm","No"
"CLS Logistics Services PLC","9716 Addis Ababa, Ethiopia , Addis Ababa, Ethiopia, 9716","","","https://www.freightnet.com/profile/97860.htm","No"
"WORLD TRANSIT PLC","Bole Medhanialem,BEZA Buldg. , 3rd floor, Addis Abeba, Ethiopia, 1000","","","https://www.freightnet.com/profile/116540.htm","No"
"Nicon Plc","Nazra Hotel building , Meskel flower road, Addis Ababa, Ethiopia, 2455 code 1250","","","https://www.freightnet.com/profile/111708.htm","No"
"Zereyad Group Transit and Forwarding Plc","Bole road,CETU Bldg , Addis Ababa, Ethiopia, 19614","","","https://www.freightnet.com/profile/107423.htm","No"
"NICON PLC","Sub city -Kirkos , Woreda -03, Addis Ababa, Ethiopia, 2455","","","https://www.freightnet.com/profile/97676.htm","No"
"Arkel International Logistics Plc","Bole international Airport , Addis Ababa, Ethiopia, 23466-1000","","","https://www.freightnet.com/profile/96184.htm","No"
"Kidist Berhanu Custom Clearing Service","Bole K/K, Kebele – 12/13, House # 316/3/402 , Addis Abeba, Ethiopia, n/a","","","https://www.freightnet.com/profile/98787.htm","No"
"Talytranzitplc","A.kaliti , Addis ababa, addis ababa, 1000","","","https://www.freightnet.com/profile/87545.htm","No"
"Zereyad Group Transit & Forwarding PLC","Kirkos kifleketema, kebelle 06, House no 463 , , Adis Abeba,","","","https://www.freightnet.com/profile/8264.htm","No"
"Horn Of Africa Logistics & Shipping Service (HALSS) P.L.C","Debrezeit Road next to Agona Cinema , Addis Ababa-Ethiopia, Ethiopia, 25566/1000","","","https://www.freightnet.com/profile/61318.htm","No"
"LEWA plc","Mikililand Road , P.O.Box 16340, Adis Abeba,","","","https://www.freightnet.com/profile/12041.htm","No"
"Deuko International","Ethio-China Ave. , Wongelawit Building, Adis Abeba, N/A","","","https://www.freightnet.com/profile/49438.htm","No"
"Packford International","P.O. Box 2355, code 1110 , Dasset Building, Adis Abeba, 1110","","","https://www.freightnet.com/profile/9987.htm","No"
"ETS Marill","P O Box 25587 , , Adis Abeba, 1000","","","https://www.freightnet.com/profile/14534.htm","No"
"Tabtra Plc","Bole Road  , , Adis Abeba, 30811","","","https://www.freightnet.com/profile/17417.htm","No"
"Packford International","P.O. Box 2355 Code 1110 , Addis Ababa, Ethiopia, 1110","","","https://www.freightnet.com/profile/114163.htm","No"
"Momentum Logistics & Construction PLC","p.o.box 70028 , Addis Ababa, Ethiopia, 70028","","","https://www.freightnet.com/profile/130348.htm","No"
"ERGO IMPORT AND EXPORT","Addis AbabaBole sub city , Addis Ababa, Addis Ababa, 1000","","","https://www.freightnet.com/profile/183419.htm","No"
