"name","address","phone","website","profileUrl","isPremiumMember"
"Universal Logistics Solutions Pte Ltd","73 Millet Street, Viria East, Vatuwaqa, Suva, Fiji, 679","679 3317223","http://www.universallogistics.com.fj/","https://www.freightnet.com/profile/187728.htm","Yes"
"WORLDWIDE FREIGHT & LOGISTICS","CLUB LANE | OPPOSITE , BAYLY CLINIC , LAUTOKA, FIJI ISLANDS, 679","","","https://www.freightnet.com/profile/196270.htm","No"
"EIF International","108 Raojibhai Patel street , T5 & T6 , RD Complex, Suva, Other, 679","","","https://www.freightnet.com/profile/197075.htm","No"
"Cross Ocean Freight Logistics Pte Ltd","Office 7 & 8 , Walu Street, Lautoka, Fiji, 00679","","","https://www.freightnet.com/profile/245583.htm","No"
"PFS","SUVA , LAUTOKA, SUVA, FIJI, 0000","","","https://www.freightnet.com/profile/115066.htm","No"
"Shipping Services (Fiji) Pte Limited","PO Box 121677 , Lami, Suva, 12677","","","https://www.freightnet.com/profile/204839.htm","No"
"CFR LINE FIJI PTE LTD","LOT 7 KIKAU ST , SUVA, FIJI, 273","","","https://www.freightnet.com/profile/204375.htm","No"
"Vesi Logistics & Forwarding","1 Waterfront Road , Veitari, Lautoka, Fiji Islands, 679","","","https://www.freightnet.com/profile/181798.htm","No"
"AMIGO LOGISTICS SERVICES","Lot 1 , Wainivula Rd, Caubati, Suva, Fiji Islands, 3700","","","https://www.freightnet.com/profile/160793.htm","No"
"VITI LOGISTICS PTE LTD","23 VITOGO PARADE, LAUTOKA CITY. FIJI ISLANDS , LAUTOKA CITY, FIJI ISLANDS, 5108","","","https://www.freightnet.com/profile/158746.htm","No"
"Kore freight services","Vuninokonoko Back Road , Pacific Harbour, FIJI, 622","","","https://www.freightnet.com/profile/150254.htm","No"
"Cross air and ocean Freight Forwarding Pte Ltd","4 walu Street,shop 1 Marine drive Lautoka , Lautoka, Fiji, 3700 LTKA","","","https://www.freightnet.com/profile/146589.htm","No"
"Executive Logistics (Fiji) PTE Limited","Suite 8B  , Pacific Crown Complex, Suva, Fiji Islands, 17506","","","https://www.freightnet.com/profile/146114.htm","No"
"Airro shipping","Suva , Suva, Fiji, 0000","","","https://www.freightnet.com/profile/144789.htm","No"
"Ahai Logistics Ltd","Suite 7,1st Floor, Popular Building, Naviti Street, Lautoka, Fiji, P.O Box 4893","","","https://www.freightnet.com/profile/120529.htm","No"
"CFR Line Fiji","Lot 16 , Marine Drive, Lautoka, Fiji Islands, fjnan","","","https://www.freightnet.com/profile/119789.htm","No"
"Pacific Logistics","Waimau rd, lot 25, Suva, Fiji, 0000","","","https://www.freightnet.com/profile/90601.htm","No"
"C P World Logistics (Fiji) Ltd","1 foster Road walu Bay Suva , 1 Veitari Road,waterfront Lautoka, Suva, Fiji, 679","","","https://www.freightnet.com/profile/100455.htm","No"
"Williams & Gosling Ltd","80-82 Harris Rd , Suva, Central, 00679","","","https://www.freightnet.com/profile/15131.htm","No"
"Forum Brokers Agencies Ltd","Toorak , Suva, Central,","","","https://www.freightnet.com/profile/19121.htm","No"
"Movements International Fiji","Toorak st , suva, Fiji, 679","","","https://www.freightnet.com/profile/45176.htm","No"
"All Freight Logistics Fiji","Lot 6 Jai Hanuman Road, Vatuwaqa GPO Box 12435 Suva, Fiji , SUVA, FIJI ISLANDS, 12435","","","https://www.freightnet.com/profile/128188.htm","No"
"'Ahai Logistics Ltd","Suite 7, Level 1, Popular Bldg , P O Box 4893, Lautoka, Lautoka, Fiji, 0000","","","https://www.freightnet.com/profile/130889.htm","No"
