"name","address","phone","website","profileUrl","isPremiumMember"
"Nordic Forwarder OY","Merituulentie 424 , port of Kotka, Kotka, Kymenlaakso, 48310","","","https://www.freightnet.com/profile/456.htm","No"
"FLG Finnish Logistics Group","PL 81099 Vetokuja 4 , Vantaa, Uusimaa, 01610","","","https://www.freightnet.com/profile/255026.htm","No"
"K-express Oy","Rahtikuja 1B , Vantaa, Finland, 01530","","","https://www.freightnet.com/profile/163443.htm","No"
"Russian Cargo Service Oy","Vanha Porvoontie 231 C , Vantaa, Uusimaa, 01380","","","https://www.freightnet.com/profile/62137.htm","No"
"OMEGA-TRANS OY","KOTOLAHDENTIE 19, KOTKA FI-48310 FINLAND , KOTKA, FINLAND, FI-48310","","","https://www.freightnet.com/profile/87782.htm","No"
"Freightgate Oy","Hakintie 7 , Vantaa, Uusimaa, 01380","","","https://www.freightnet.com/profile/3775.htm","No"
"Maxim Trade Transport Ay.","Tiilitehtaantie 14 , 21530 paimio, turku , , Helsinki, 21530","","","https://www.freightnet.com/profile/89031.htm","No"
"SCAN GLOBAL LOGISTICS OY","KOTOLAHDENTIE 5  , KOTKA, KOTKA, 48310","","","https://www.freightnet.com/profile/60784.htm","No"
"Logistics Finland","Puolalankatu 1 , Turku, Varsinais-Suomi, 20100","","","https://www.freightnet.com/profile/2527.htm","No"
"Scan Global Logistics (Finland) Oy","Koivuhaantie 2 - 4 D , Vantaa, Uusimaa, 01510","","","https://www.freightnet.com/profile/19574.htm","No"
"Speed Oy Ltd","Laivapojanaukio 2 , Helsinki, Uusimaa, 00180","","","https://www.freightnet.com/profile/292.htm","No"
"Transcontainer Ltd.","Laivapojankuja 10 , Helsinki, Uusimaa, 00180","","","https://www.freightnet.com/profile/293.htm","No"
"Varova Oy","Hämeentie 15 , PL18, Helsinki, Uusimaa, 00500","","","https://www.freightnet.com/profile/296.htm","No"
"Northern Overseas Ltd Oy","Lansilaituri 1 , Turku, Varsinais-Suomi, 20200","","","https://www.freightnet.com/profile/8887.htm","No"
"VG Cargo Oy","Kotolahdentie N.11 , Kotka, Kymenlaakso, 48310","","","https://www.freightnet.com/profile/10113.htm","No"
"Buyers Logistics Scandinavia, OY","Rahtitie 1 C , Vantaa, Helsinki, Uusimaa, 01530","","","https://www.freightnet.com/profile/16965.htm","No"
"Kotkan Varastointi ja Jakelu Oy","Asentajankatu 10 , Kotka, Kymenlaakso, 48770","","","https://www.freightnet.com/profile/17492.htm","No"
"Cardel Logistic Oy","Vanha Porvoontie 231 , Vantaa, Uusimaa, 01380","","","https://www.freightnet.com/profile/17557.htm","No"
"Metrosol OY","Suntiontie 14 A , Neuvoton, Kotka, Kymenlaakso, 49490","","","https://www.freightnet.com/profile/20586.htm","No"
"Skandi Forwarding Oy Ltd","Hovinsaarentie 27 , Kotka, Southern Finland, 48200","","","https://www.freightnet.com/profile/23084.htm","No"
"Oy Hacklin Hamiko Ltd","Palokankaantie 6 , Hamina, Finland, 49460","","","https://www.freightnet.com/profile/112096.htm","No"
