"name","address","phone","website","profileUrl","isPremiumMember"
"GLOBAL TRADE SERVICES","20 passage de la Luciline, CCI CENTER, ROUEN, Normandie, 76000","0033681549376","","https://www.freightnet.com/profile/258444.htm","Yes"
"Cargotify","Bureau 326, 78 Avenue des Champs-Élysées,, Paris, France, 75008","+33752930964","http://cargotify.com/","https://www.freightnet.com/profile/263436.htm","Yes"
"FREIGHT INTERNATIONAL TRANSPORTATION (FIT)","5 Chemin de la Dime - Bat B, Roissy en France, IDF, 95700","+33 1 34 29 09 85","","https://www.freightnet.com/profile/114229.htm","Yes"
"WIGO LOGISTICS SAS","2 rue des voyelles Cargo 6, Roissy CDG Airport, Tremblay en France, Tremblay en France, 93290","+ 33 1 82 37 10 30 /+ 33 9 82 57 73 00","http://www.wigologistics.com/eng/index.php","https://www.freightnet.com/profile/151633.htm","Yes"
"e-novFreight forwarding","29 rue paul plonquet , giraumont, france, 60150","0033629570994","https://www.enovfreight.com/","https://www.freightnet.com/profile/195029.htm","Yes"
"SKYMAR","34 RUE DU BUGEY, CHALAMONT, FRANCE, 01320","0609808794","https://www.ffa.cc/com/skymar/","https://www.freightnet.com/profile/259938.htm","Yes"
"DEBEAUX TRANSIT","RUA SAMPAIO VIANA, 277, 3º ANDAR, CJ 33 , SAO PAULO, BRASIL, 04004-000","+33 (0)609808794","https://www.debeaux.com/","https://www.freightnet.com/profile/259937.htm","Yes"
"No Limit Forward","4 rue victor hugo , Esbly, Île de France, 77450","","","https://www.freightnet.com/profile/259262.htm","No"
"Swift Cargo","75 Bangbaecheon-ro 2an-gil Seocho-gu , Seoul, South Korea, 06691","","","https://www.freightnet.com/profile/263655.htm","No"
"TGD Consolidations","14 Rue de la Belle Borne , Bat D, ROISSY CDG, FRANCE, 95724","","","https://www.freightnet.com/profile/243993.htm","No"
"EASY MOVE","Zone cargo  , 32 rue des Voyelles, Roissy CDG airport, France, 95700","","","https://www.freightnet.com/profile/159128.htm","No"
"TRANSPOOLING","4 Rue du Mont Blanc , Immeuble Le Toro - Bureau A003, CORBAS, FRANCE, 69960","","","https://www.freightnet.com/profile/127916.htm","No"
"ESALCO PARIS","1 rue de la Haye , Tremblay En France, France, 93290","","","https://www.freightnet.com/profile/251129.htm","No"
"FRETZEN","223 AV EMILE COUNORD  , BORDEAUX, france, 33300","","","https://www.freightnet.com/profile/237622.htm","No"
"MATHEZ FREIGHT","AEROPORT NICE COTE D’AZUR TERMINAL CARGO , Nice, FRANCE, 06200","","","https://www.freightnet.com/profile/148675.htm","No"
"FRACHT FRANCE","14 Rue de la Belle Borne , Sogaris Cargo 5, Bat 1, ROISSY CDG, FRANCE, 95701","","","https://www.freightnet.com/profile/58409.htm","No"
"PROACTIV LOGISTICS","ZAC GARONOR  , BAT2B ZONE EST, AULNAY SOUS BOIS, FRANCE, 93600","","","https://www.freightnet.com/profile/235221.htm","No"
"Garantie Transports","2 AV DORIAN , N/A, Paris, France, 75012","","","https://www.freightnet.com/profile/222301.htm","No"
"GARANTIE TRANSPORTS SASU","yvanloic@garantietransports.com , 2 AV DORIAN, Paris, 75012","","","https://www.freightnet.com/profile/225153.htm","No"
"CONCEPT ET DEVELOPPEMENT","56 BD CLEMENCEAU , Cormeilles en parisis, cormeilles en parisis, france, 95240","","","https://www.freightnet.com/profile/205883.htm","No"
"Global Delivery Concept","86 rue Voltaire , Montreuil, France, 93100","","","https://www.freightnet.com/profile/142749.htm","No"
"ALPHA DIOULMAKER COMMODITIES","15 rue du jeu de mail , DUNKERQUE, Nord, 59140","","","https://www.freightnet.com/profile/185878.htm","No"
"Fleetever","442 rue Georges Besse , Nîmes, Gard, 30000","","","https://www.freightnet.com/profile/205168.htm","No"
"Nelog","18-26 RUE GOUBET , PARIS, FRANCE, 75019","","","https://www.freightnet.com/profile/168417.htm","No"
"AIR MASTER CARGO FRANCE","14 BUS RUE DE LA GRANDE BORNE , CDG AIRPORT, LE MESNIL AMELOT, FRANCE, 77990","","","https://www.freightnet.com/profile/166779.htm","No"
"Raine Freight Services","Chateau Bavolier , St christoly de blaye, France, 33920","","","https://www.freightnet.com/profile/150960.htm","No"
"LTFC LOGISTICS","26 rue des Carrières , CHATEAU GUIBERT, FRANCE, 85320","","","https://www.freightnet.com/profile/134637.htm","No"
"On Air Logistic","8 rue Ampère , Gonesse, France, 95500","","","https://www.freightnet.com/profile/108432.htm","No"
"NAXCO GROUP","110-114 rue victor hugo , levallois, france, 92686","","","https://www.freightnet.com/profile/142349.htm","No"
"FIRST STLC","7 RUE DU TE - BAT 3448 , BP10266, ROISSY CDG Cedex, FRANCE, 95704","","","https://www.freightnet.com/profile/140586.htm","No"
"AGILITY","17 B ROBERT SCHUMAN , MARSEILLE, FRANCE, 13002","","","https://www.freightnet.com/profile/139741.htm","No"
"Geodis Projects Oil & Gas","30-32 rue d'Athènes , Z.I des Estroublans, Vitrolles, France, 13127","","","https://www.freightnet.com/profile/139217.htm","No"
"AGENCE MARITIME Global Freigh Services G.F.S","618 logements Bt 27 Mohammadia - Alger , 29, Jean Labro 13016 Marseille - France, Algeria / France, www.gfs-logistics.fr","","","https://www.freightnet.com/profile/134619.htm","No"
"VELOGIC","22 BOULEVARD CHARLES MORETTI ,  LA PALMERAIE DU CANET, Marseille, PACA, 13014","","","https://www.freightnet.com/profile/13145.htm","No"
"Zoom Freight","3 Rue Du Pied-Sec , BP 18133, Roissy CDG Cedex, Paris, Ile de France, 95701","","","https://www.freightnet.com/profile/23079.htm","No"
"France Cargo International FCI","17 avenue Marc Sangnier , Villeneuve la Garenne, Hauts de Seine, 92397","","","https://www.freightnet.com/profile/16436.htm","No"
"SCTIL","Cargo 4 - BP 18248 , 2, rue des voyelles, ROISSY CDG Cedex, France, 95703","","","https://www.freightnet.com/profile/88482.htm","No"
"AF INTERNATIONAL (Agence Fret International)","24/26 rue du noyer , ZA du moulin, ROISSY EN FRANCE, FRANCE, 95700","","","https://www.freightnet.com/profile/100356.htm","No"
"Stpi","82, Rue De Roissy , Tremblay en France, Ile de France, 93290","","","https://www.freightnet.com/profile/4585.htm","No"
"ATM GLOBAL LOGISTICS FRANCE","Pobox 342 , Cargoport, Lyon saint exupery airport, France, 69125","","","https://www.freightnet.com/profile/55254.htm","No"
"The Desire Group","11340 Champs Elysee , Paris, Ile de France, 78209","","","https://www.freightnet.com/profile/52057.htm","No"
"EXECUTIVE AIR AND SEA GROUPE","50 RUE DES CHARDONNERETS , ZA PARIS NORD 2, ROISSY CDG, FRANCE, 95700","","","https://www.freightnet.com/profile/83267.htm","No"
"Easy Freight SAS","8, rue du Cercle , BP 12054, Roissy en France, Ile de France, 95723","","","https://www.freightnet.com/profile/11455.htm","No"
"ABC Ricard FL","41-45 rue Blanqui , BP 103, Saint Ouen, Ile de France, 93403","","","https://www.freightnet.com/profile/4623.htm","No"
"Debeaux Transit","1-3 Rue Du Pied-Sec , BP 18186, Roissy CDG Cedex, Paris, 95702","","","https://www.freightnet.com/profile/23078.htm","No"
"Derudder","68 BD Jules Durand , Le Havre, Haute Normandie, 76600","","","https://www.freightnet.com/profile/17369.htm","No"
"Vanderhoeft & Cie SA","8 rue des Deux Cèdres , Roissy CDG, Paris,","","","https://www.freightnet.com/profile/8173.htm","No"
"Atm Transports Sarl","Cours De La Gare , Morteau, 25500","","","https://www.freightnet.com/profile/2236.htm","No"
"Transport Market Place","9 Rue Des Brindes , Le Havre, Haute Normandie, 76600","","","https://www.freightnet.com/profile/4543.htm","No"
"A&G Cargo","Unit17, Golden Industrial Bldg , 16-26 Kwai Tak Street Kwai Chung  NT, Hong Kong, IDF, 75000","","","https://www.freightnet.com/profile/5854.htm","No"
"AIRWAN International","rue Michel Poulmarch BP 30462 , Rouen Multimarchandises, Saint Etienne du Rouvray cedex, Haute Normandie, 76806","","","https://www.freightnet.com/profile/6649.htm","No"
"SEA R WAY","GARE D'ARENC , 14 Rue d'Anthoine, Marseille, PACA, 13002","","","https://www.freightnet.com/profile/9312.htm","No"
"Davies Turner France SAS","12, rue de Fourqueux , Saint Germain en Laye, 78100","","","https://www.freightnet.com/profile/18575.htm","No"
"CACS","Rue Du Trait D'union Zone De Fret 2 , BAT.3700, BP12298, Roissy, 95704","","","https://www.freightnet.com/profile/21645.htm","No"
"A.A.T.E.","PAU/PUF INT'L AIRPORT , 12, Avenue de Verdun, Module 'C', BILLERE, Pyrenees atlantiques, 64140","","","https://www.freightnet.com/profile/24117.htm","No"
