"name","address","phone","website","profileUrl","isPremiumMember"
"Hegelmann Multimodal Georgia","A.Beliashvili str145 , Tbilisi, Georgia, 0156","","","https://www.freightnet.com/profile/255680.htm","No"
"Averon LLC","vazha-pshavela st.45 , Tbilisi, Georgia, 0181","","","https://www.freightnet.com/profile/265231.htm","No"
"Air Solutions","41a Chvchavadze Ave , Chvchavadze Ave, Tbilisi, Georgia, 0162","","","https://www.freightnet.com/profile/210244.htm","No"
"LGC Logisitcs Georgia","Tbilisi International airport , Tbilisi, GEORGIA, 0184","","","https://www.freightnet.com/profile/264798.htm","No"
"Corporate shipping agency","KONSTITUTSIA ST 74 , Poti, Georgia, 4400","","","https://www.freightnet.com/profile/242257.htm","No"
"Amanati LLC","8 Bochorma st. , Tbilisi, Georgia, 0144","","","https://www.freightnet.com/profile/262185.htm","No"
"Cargomarket Ltd","A. Kazbegi 24b , Tbilisi, GE, 0177","","","https://www.freightnet.com/profile/138509.htm","No"
"Logixment Georgia Ltd","32 Samegrelo , Poti, Samegrelo, 4400","","","https://www.freightnet.com/profile/92587.htm","No"
"KTL Kaukasus Transport Logistik","Ketevan Tsamebuli Ave. 54  0144, Tbilisi, Georgia , Tbilisi, Georgia, 0144","","","https://www.freightnet.com/profile/251438.htm","No"
"PrimeLogistics LLC","Digmis Masivi, Quarter IV, House 24, office 87 , Tbilisi, Tbilisi, 1059","","","https://www.freightnet.com/profile/192742.htm","No"
"PRO GLOBAL Spedition LLC","Chitaiia , Tbilisi, Georgia, 0144","","","https://www.freightnet.com/profile/254007.htm","No"
"GSG Freight Forwarding","Georgia , Sololaki, Tbilisi, Poti, 4400","","","https://www.freightnet.com/profile/156533.htm","No"
"Bene Group LLC","Petre Kavtaradze str. #60 , Tbilisi, Georgia, 0186","","","https://www.freightnet.com/profile/250313.htm","No"
"Atlantis Global Solutions LLC","Georgia, City Poti, G. Saakadze Street, N 216 , Poti, Georgia, 4400","","","https://www.freightnet.com/profile/249295.htm","No"
"VEGA GROUP","TBILISI , Tbilisi, Tbilisi, 01019","","","https://www.freightnet.com/profile/215286.htm","No"
