"name","address","phone","website","profileUrl","isPremiumMember"
"Ziem Logistics","Rehblöcken 11a, Hamburg, Germany, 22359","+4915125012225","https://ziem-logistics.com/","https://www.freightnet.com/profile/256096.htm","Yes"
"Lufthansa Cargo","Frankfurt Airport , Frankfurt, Germany, 0000","","","https://www.freightnet.com/profile/231660.htm","No"
"24 Cargo Germany","Im Taubengrund 23 , Kelsterbach, Hessen, 65451","","","https://www.freightnet.com/profile/220895.htm","No"
"MaxTop Logistics GmbH","cargo city sued geb 567b , frankfurt am main, germany, 60549","","","https://www.freightnet.com/profile/163583.htm","No"
"Cargomind Speditions GmbH","CArgo City Sued 537 , Frankfurt, Germany, 60549","","","https://www.freightnet.com/profile/128216.htm","No"
"myGermany Package Forwarder OHG","Im Dorfe 1 , Ballstedt, Thüringen, 99439","","","https://www.freightnet.com/profile/134239.htm","No"
"International Logistics","Möllner Landstr. 45e , Oststeinbek, Germany, 22113","","","https://www.freightnet.com/profile/105408.htm","No"
"MG Cargo Service","Liebigstrasse 2-20 , 22113, Hamburg, Germany, 22113","","","https://www.freightnet.com/profile/110471.htm","No"
"Ruslan-Salis GmbH","Industriestr, 56 , Schkeuditz, Germany, 04435","","","https://www.freightnet.com/profile/86996.htm","No"
"Lufthansa","2-6 Von-Gablenz-Strasse , Koln, Nordrhein-Westfalen, 50679","","","https://www.freightnet.com/profile/9103.htm","No"
