"name","address","phone","website","profileUrl","isPremiumMember"
"Jb direcket fracht","Frankfurter Straße 42 , 3, Griesheim, Germany, 64347","","","https://www.freightnet.com/profile/265746.htm","No"
"Forwarderworld GmbH","Langenharmer Weg 223-225 , Norderstedt, Norderstedt, 22844","","","https://www.freightnet.com/profile/146786.htm","No"
"WB-Consult","Birkenhorst 4 , Heist, Germany, 25492","","","https://www.freightnet.com/profile/253022.htm","No"
"zipmend GmbH Express","Große Reichenstraße 27 , Hamburg, Hamburg, 20457","","","https://www.freightnet.com/profile/140636.htm","No"
"Joerg Rainer Kaminski, KNT-International","Am Rausch 16 , Gelnhausen, Germany, 63571","","","https://www.freightnet.com/profile/235127.htm","No"
"Bloedorn EastTrans GmbH","Giselherstr. 1 , Dortmund, NRW, 44319","","","https://www.freightnet.com/profile/161451.htm","No"
"Forwarderworld","Schwarzlosestrasse 16 , Hamburg, Germany, 22041","","","https://www.freightnet.com/profile/146869.htm","No"
"AB Kurier UG","am brandskamp 2 , porta westfalica, D, 32457","","","https://www.freightnet.com/profile/140995.htm","No"
"Delport Business Xpress","Sirius Business Park , Werner-von-Siemens-Strasse 2, Pfungstadt, Hessen, 64319","","","https://www.freightnet.com/profile/92237.htm","No"
"time:matters GmbH","A company of Lufthansa Cargo , Gutenbergstr 6, Neu-Isenberg, Hessen, 63263","","","https://www.freightnet.com/profile/16385.htm","No"
"Independent Freight Forwarders","Prausnitzerstr 5 , Springe, Niedersachsen, 31832","","","https://www.freightnet.com/profile/1892.htm","No"
