"name","address","phone","website","profileUrl","isPremiumMember"
"Shine Express GmbH","Cargo City Süd 567 B, Airport Frankfurt, Frankfurt am Main, Hessen, 60549","+4969247458590","http://www.shine-germany.de/","https://www.freightnet.com/profile/257350.htm","Yes"
"Forwarderworld GmbH","Gutenbergring 67a, Norderstedt, Germany, 22848","00494049200046","http://www.forwarderworld.net/","https://www.freightnet.com/profile/145276.htm","Yes"
"Corporate Service Munich GmbH","Muenchner Strasse 1c, BERGKIRCHEN, Germany, 85232","+49211361146501","https://www.csg-muc.com/","https://www.freightnet.com/profile/167360.htm","Yes"
"MARTIN Internationale Spedition GmbH","Westhafenstr. 1, Berlin, Germany, 13353","+4930921037360","https://martin-spedition.de/","https://www.freightnet.com/profile/265261.htm","Yes"
"GT-Global Transport Services GmbH","Mörfelderstrasse 111, Kelsterbach, Deutschland, 65451","061077633042","https://global-trans.de/","https://www.freightnet.com/profile/147167.htm","Yes"
"Con-Atik GmbH","Stickgraser Damm 85a, Delmenhorst, Deutschland, 27751","00491714835934","","https://www.freightnet.com/profile/255242.htm","Yes"
"B I S Beyoglu Internationale Spedition GmbH, Hamburg","Wendenstrasse 279, Hamburg, Germany, DE-20537","+ 49 (0) 40 - 88 14 52 37","http://www.bis-spedition.com/","https://www.freightnet.com/profile/98195.htm","Yes"
"Nyansapo shipping & procurement","haenflingstr. 7 - 9, muelheim, nrw, 45472","+49 208 43910955","http://www.nsplogistics.com/","https://www.freightnet.com/profile/139053.htm","Yes"
"Global Cargoflow GmbH","Willy-Brandt-Strasse 23 , Hamburg, Hamburg, 20457","","","https://www.freightnet.com/profile/266002.htm","No"
"Olizub","Falkenseer Chaussee , Falkenseer Chaussee 243, Berlin, Berlin, 13583","","","https://www.freightnet.com/profile/251588.htm","No"
"MCTBL INTERNATIONAL GMBH","Schnackenburgallee 45 D , Hamburg, Hamburg, 22525","","","https://www.freightnet.com/profile/262209.htm","No"
"M9 Logistics GmbH","Adolf Kolping Str 16 , München, Hessen, 80336","","","https://www.freightnet.com/profile/194057.htm","No"
"Emex Express | Frankfurt Airport, Germany","The Squaire 12 , Frankfurt airport, Frankfurt, Hessen, 60549","","","https://www.freightnet.com/profile/188798.htm","No"
"HMT Hansa Maritim Transport GmbH","Weidacher Str. 26 , Filderstadt, Baden-Wurttemberg, 70794","","","https://www.freightnet.com/profile/16380.htm","No"
"PLATTLOG GmbH","Cargo City Süd 568A , Frankfurt am Main, Hessen, 60549","","","https://www.freightnet.com/profile/250162.htm","No"
"Fastmoves Logistics","molyko , Mayors Street Buea, Buea, south west, 00237","","","https://www.freightnet.com/profile/253802.htm","No"
"B.L.A.S (Bremen Logistics and Shipping) GmbH","Bachstrasse , 65, Bremen, Bremen, 28199","","","https://www.freightnet.com/profile/185641.htm","No"
"Cargo Marketing Spedition GmbH","Nordendstrasse 14 , Moerfelden-Walldorf, Hessen, 64546","","","https://www.freightnet.com/profile/10934.htm","No"
"KSH GmbH","Einsteinstrasse 7 , Unterschleissheim, Bavaria, 85716","","","https://www.freightnet.com/profile/233688.htm","No"
"Barakaeast","Wipperfürther Str. 29-31 , Köln, Germany, 51103","","","https://www.freightnet.com/profile/249772.htm","No"
"GW Forwarding GmbH","Hofweg 77b , Hamburg, Hamburg, 22085","","","https://www.freightnet.com/profile/151687.htm","No"
"Magic Air Services GmbH","Cargo City Süd, Geb. 534 , Frankfurt, Germany, 60549","","","https://www.freightnet.com/profile/146191.htm","No"
"imi Solutions UG (haftungsbeschränkt)","Weg am Wehrholz 5 , Waldems, Germany, 65529","","","https://www.freightnet.com/profile/167388.htm","No"
"ABX DEUTSCHLAND GmbH","Camp-King Allee 1  , Obersell, GERMANY, 61440","","","https://www.freightnet.com/profile/239388.htm","No"
"Elbe-Gate Logistics GmbH","Wöhlerstr. 8A , Hamburg, Hamburg, 22113","","","https://www.freightnet.com/profile/221826.htm","No"
"Bantmann Trade & Consulting UG","Leopoldstr.10 , Essen, NRW, 45139","","","https://www.freightnet.com/profile/235084.htm","No"
"EXPRESS-CARGO e.K.","Ottensweide 19 , Hamburg, Hamburg, 21109","","","https://www.freightnet.com/profile/134919.htm","No"
"BIS BEYOGLU INTERNATIONALE SPEDITION GMBH","Wendenstraße 279 , HAMBURG, HAMBURG, 20537","","","https://www.freightnet.com/profile/135375.htm","No"
"Fairlogis Global Transport & Logistic Solution GmbH","Bahnhofsplatz 1 , Rüsselheim, Hessen, 65428","","","https://www.freightnet.com/profile/187683.htm","No"
"HLS Hanseatic Logistic Solutions Germany GmbH","Martinistr. 50 , Bremen, Bremen, 28195","","","https://www.freightnet.com/profile/201109.htm","No"
"Maritime Cargo Logistics GmbH","Mattentwiete 8 , , Hamburg, 20457","","","https://www.freightnet.com/profile/8666.htm","No"
"Haffki Spedition Gmbh","Fahrenhorster Strasse 15 , Bremen, 28279","","","https://www.freightnet.com/profile/2654.htm","No"
"Samawat GmbH","Martinistr. 62-66 , Bremen, Bremen, 28195","","","https://www.freightnet.com/profile/169302.htm","No"
"Magic Air Services GmbH","Frankfuer Airport , Cargo City South, Bldg 534, Frankfurt am Main, GERMANY, 65934","","","https://www.freightnet.com/profile/180333.htm","No"
"Mega-Log UG","Hochkamp 1b , Oststeinbek, Schleswig-Holstein, 22113","","","https://www.freightnet.com/profile/171097.htm","No"
"ALLSTA Spedition GmbH","Industriestrasse 37 , Bremen, Grmany, 28199","","","https://www.freightnet.com/profile/150055.htm","No"
"GR-SPED Internationale Spedition GmbH","Mittelweg 10 , Achim, Niedersachsen, 28832","","","https://www.freightnet.com/profile/11962.htm","No"
