"name","address","phone","website","profileUrl","isPremiumMember"
"Onumah excellent logistics and clearing ltd","p.o.box 411, newtown, tema, Ghana, 00233","0278518554, 0249442318","http://www.oexcellentlogistics.com/","https://www.freightnet.com/profile/136690.htm","Yes"
"BJH Logistics Services Ltd","Time Tells Building , Suit 5, community 5 link street, P. O. Box BT 202, Tema, Greater Accra, Main Harbor, 23322","+233244058592","http://www.bjhlogistics.com/","https://www.freightnet.com/profile/55848.htm","Yes"
"Greenline Logistics Ghana Ltd","Westport Building, 7 Papa Gyaesayor Street, Takoradi , Imperial Plaza, 6 Senchi Street, Airport Residential Area, Accra, Accra, Ghana, +233","","","https://www.freightnet.com/profile/265601.htm","No"
"PH LOGISTICS GHANA","Aviance,Cargo Village.Airport , Accra, Ghana, +233","","","https://www.freightnet.com/profile/251888.htm","No"
"Fenat Eagles LTD","B/113 Lebanon Zone 5 Ashaiman, Box AS 220 TEMA , Tema, Select State for USA, Canada, or Mexico, +233","","","https://www.freightnet.com/profile/255330.htm","No"
"danfulzone shipping","box 3611 , tema, ghana, 00233","","","https://www.freightnet.com/profile/238198.htm","No"
"ACHIE CONSULT AND ASSO. LTD","BOX TT 148 TEMA NEWTOWN GHANA , BOX TT 148 TEMA NEWTOWN GHANA, TEMA, GHANA, 02332","","","https://www.freightnet.com/profile/161449.htm","No"
"South Africa international shipping","Plt2 blk7 Suame-Kumasi  , Kumasi, Ghana, 00233","","","https://www.freightnet.com/profile/231686.htm","No"
"BASILEIA  CLEARING AND FORWARDING LIMITED","SITE 18, OPPOSITE GMG, COMMUNITY 1. TEMA , TEMA, TEMA, 233","","","https://www.freightnet.com/profile/227394.htm","No"
"Costless Shipping and Forwarding Ltd","2nd Floor Room 10 , Naaeteh Block, P. O. Box CODTD192, Tema, Tema, Greater Accra, 23322","","","https://www.freightnet.com/profile/169958.htm","No"
"Axim Global Ltd(Procurement and Logistics)","Tema Harbour,1st floor Blackstarline Building. , N/A, Tema, Ghana, N/A","","","https://www.freightnet.com/profile/136964.htm","No"
