"name","address","phone","website","profileUrl","isPremiumMember"
"O Kristoni Freight Services","ground floor of black star line building, harbour area, tema, Accra, Ghana, +233","0278145334","https://www.globalstewardsghana.net/","https://www.freightnet.com/profile/170206.htm","Yes"
"ALS GLOBAL SHIPPING & LOGISTICS LTD","Kwabenya,  Kumasi, ACCRA, GHANA, 00233","+233243314438","http://www.alsshipping.com/","https://www.freightnet.com/profile/181177.htm","Yes"
"OVAL SHIPPING AND LOGISTICS LTD GHANA","Naaeteh House Community 5, Adjacent Hanch Kitchen Tema,, TEMA AND TAKORADI, GHANA, 00233","00233(0)302970687","","https://www.freightnet.com/profile/213888.htm","Yes"
"Bison Imperial Global Ltd","SAMTASHIE AFRICA BUILDING, OLD MERIDIAN HOTEL, COMMUNITY ONE, TEMA, GHANA, 00233","0322498145","http://bisonshipping.org/","https://www.freightnet.com/profile/229105.htm","Yes"
"Sujonaline Logistics Limited","BOX TT 61, TEMA, GHANA, 233","0243906602","","https://www.freightnet.com/profile/262053.htm","Yes"
"COSTLESS SHIPPING AND FORWARDING LTD","TIME TELLS BUILDING SUIT 5, COMMUNITY 5 LINK STREET, TEMA, GREATER ACCRA, 23322","0244058592","http://www.clshippingghana.com/","https://www.freightnet.com/profile/245454.htm","Yes"
"Smart Shipping Company Limited","Tema Community Site 3, TDC Housing , Tema, TEMA, 23321","","","https://www.freightnet.com/profile/260205.htm","No"
"Smart Shipping Company Limited","Smart Shipping Company Ltd Site 3, Tema Community One, Tema, Ghana , Tema, Ghana, 00233","","","https://www.freightnet.com/profile/266236.htm","No"
"ZODIAC MARINE SERVICES","POST OFFICE BOX CO 4028, TEMA , 10 DOUGLAS STREET FULL GOSPEL ROAD COMM12, TEMA, GHANA, 233","","","https://www.freightnet.com/profile/94539.htm","No"
"PENNGIDD","P.O.BOX 187, AVIANCE-AIRPORT , ACCRA, GHANA, +23321","","","https://www.freightnet.com/profile/154522.htm","No"
"Centric Logistics Ltd","P.o. Box SC 422, Tema , Tema, Tema/Ghana, 00233","","","https://www.freightnet.com/profile/168989.htm","No"
"KANDIEL LOGISTICS","P.O. BOX CO. 2514 TEMA , P.O. BOX CO. 2514 TEMA, TEMA, GHANA, 00000","","","https://www.freightnet.com/profile/226999.htm","No"
"Shabadoo Star Limited","B10/90 Nii Kpakpa street Gbawe  , Gbawe Accra, Ghana, 233","","","https://www.freightnet.com/profile/262417.htm","No"
"Multiliner Shipping Services Limited","Hse No 14, Nii Adu Sampah Str, Weija , Weija, Accra, Ghana, 00233","","","https://www.freightnet.com/profile/162545.htm","No"
"WILLCELLS GHANA LIMITED","P. O. BOX CO 5153, COMM. 1 TEMA, GHANA , TEMA, GREATER ACCRA, GHANA, 233","","","https://www.freightnet.com/profile/198295.htm","No"
"MAXISERVE ENTERPRISE","AMTASHIE BUILDING, NEAR OLD MERIDIAN HOTEL, COMM. 1 , TEMA, GHANA, N/A","","","https://www.freightnet.com/profile/257236.htm","No"
"PACIFIC HEAVENS LOGISTICS","TEMA COMM.4 CORAL HOUSE -GHANA , TEMA, GHANA, 233","","","https://www.freightnet.com/profile/155672.htm","No"
"Faithwings Ventures Company Limited","Room 4A, Agency Block, Tema Main Harbour , P. O. Box CS 8581, Tema, Ghana, 233","","","https://www.freightnet.com/profile/173811.htm","No"
